"0","纪保","1997-06-10","121519199706102713","陕西省汉中市佛坪县","611218","天津市蓟县","121519","存活","于娴","370114198912138060","陕西省汉中市佛坪县","611218","山东省济南市历城区","121519","","","","","","","未婚","0","0"
"1","茅维启","1999-03-10","230723199903102494","新疆维吾尔族自治区石河子市","711211","黑龙江省伊春市嘉荫县","230723","存活","昌华","511105197306072978","新疆维吾尔族自治区石河子市","711211","四川省乐山市市中区","230723","","","","","","","未婚","0","0"
"2","戴荣","1995-06-21","220617199506216129","内蒙古自治区赤峰市敖汉旗","150825","吉林省白山市八道江区","220617","存活","庞桂","230323197507081136","内蒙古自治区赤峰市敖汉旗","150825","黑龙江省鸡西市鸡东县","220617","","","","","","","未婚","0","0"
"3","黄惠珠","1994-09-30","310205199409301765","吉林省白城市大安市","220927","上海市县","310205","存活","陶红","521401196911291714","吉林省白城市大安市","220927","贵州省遵义市仁怀市","310205","","","","","","","未婚","0","0"
"4","苏轮翰","1999-06-11","511425199906112332","辽宁省阜新市细河区","210915","四川省南充市阆中市","511425","存活","韦悦昭","120220197403181460","辽宁省阜新市细河区","210915","天津市县","511425","","","","","","","离婚","1","1"
"5","喻先","1997-07-02","810521199707027896","天津市蓟县","121614","新疆维吾尔族自治区石河子市","810521","存活","方飘育","351125198007215659","天津市蓟县","121614","福建省龙岩市漳平市","810521","","","","","","","未婚","0","0"
"6","凤仪","1997-01-07","631415199701071461","江西省赣州市南康市","361708","青海省西宁市大通回族土族自治县","631415","死亡","蓝巧","330516198202095743","江西省赣州市南康市","361708","浙江省湖州市市辖区","631415","","","","","","","离婚","1","1"
"7","酆士以","1999-06-03","350427199906035053","新疆维吾尔族自治区石河子市","811411","福建省三明市沙县","350427","存活","熊琰","211022198612097039","新疆维吾尔族自治区石河子市","811411","辽宁省辽阳市辽阳县","350427","","","","","","","未婚","0","0"
"8","元家","2000-12-13","641212200012136654","湖北省孝感市孝南区","420908","宁夏回族自治区吴忠市灵武市","641212","存活","秦璐","210611197207208155","湖北省孝感市孝南区","420908","辽宁省丹东市振安区","641212","","","","","","","未婚","1","1"
"9","郝婷姣","1997-08-11","221103199708117560","湖南省怀化市洪江市","431809","吉林省白城市大安市","221103","存活","毛勤","341105198802212662","湖南省怀化市洪江市","431809","安徽省滁州市南谯区","221103","","","","","","","离婚","1","1"
"10","余福","1994-03-29","231623199403293418","四川省宜宾市高县","511525","黑龙江省黑河市五大连池市","231623","存活","舒瑞凡","541414199003045090","四川省宜宾市高县","511525","西藏自治区拉萨市墨竹工卡县","231623","","","","","","","离婚","1","1"
"11","云文","1996-05-22","341204199605228553","新疆维吾尔族自治区石河子市","811814","安徽省阜阳市颍泉区","341204","存活","葛岚苑","711105197005241329","新疆维吾尔族自治区石河子市","811814","新疆维吾尔族自治区石河子市","341204","","","","","","","未婚","1","1"
"12","施姬舒","1996-11-19","361514199611198887","海南省三亚市市辖区","461219","江西省赣州市南康市","361514","存活","章融","421117198807301357","海南省三亚市市辖区","461219","湖北省黄冈市黄州区","361514","","","","","","","未婚","0","0"
"13","章凝晓","1992-05-07","351625199205075285","北京市延庆县","110412","福建省龙岩市漳平市","351625","存活","于纨仪","310825197111089674","北京市延庆县","110412","上海市崇明县","351625","","","","","","","离婚","1","1"
"14","唐奇","2000-07-12","131114200007124452","陕西省咸阳市渭城区","610413","河北省衡水市桃城区","131114","存活","湛枫芸","610808198309284364","陕西省咸阳市渭城区","610413","陕西省汉中市佛坪县","131114","","","","","","","离婚","0","0"
"15","施心邦","2000-06-13","521111200006131314","广西壮族自治区钦州市浦北县","450723","贵州省遵义市仁怀市","521111","存活","贝姬舒","210808197010147071","广西壮族自治区钦州市浦北县","450723","辽宁省营口市鲅鱼圈区","521111","","","","","","","丧偶","1","1"
"16","褚桂","1993-03-18","531719199303182941","湖南省岳阳市君山区","430617","云南省玉溪市元江哈尼族彝族傣族自治县","531719","存活","毛毓","610706197009114938","湖南省岳阳市君山区","430617","陕西省汉中市汉台区","531719","","","","","","","未婚","0","0"
"17","方岚苑","1993-01-27","451515199301273988","河北省衡水市深州市","131701","广西壮族自治区玉林市北流市","451515","存活","何婵","811417197910053754","河北省衡水市深州市","131701","新疆维吾尔族自治区石河子市","451515","","","","","","","离婚","0","0"
"18","何克伦","1994-08-02","441813199408027099","湖南省长沙市雨花区","430114","广东省清远市清城区","441813","存活","赵宜可","711526197311102938","湖南省长沙市雨花区","430114","新疆维吾尔族自治区石河子市","441813","","","","","","","未婚","1","1"
"19","吴维启","2001-03-06","641024200103062118","广西壮族自治区玉林市北流市","451323","宁夏回族自治区吴忠市灵武市","641024","存活","伏倩","371620197412261582","广西壮族自治区玉林市北流市","451323","山东省聊城市临清市","641024","","","","","","","未婚","1","1"
"20","毕颖","1993-12-05","140902199312052026","青海省西宁市市辖区","630101","山西省晋城市怀仁县","140902","存活","严素","531704198509052982","青海省西宁市市辖区","630101","云南省玉溪市元江哈尼族彝族傣族自治县","140902","","","","","","","丧偶","0","0"
"21","禹娣叶","1995-01-03","410313199501032887","山东省德州市陵县","371421","河南省洛阳市郊区","410313","存活","邬珍贞","350303197202168117","山东省德州市陵县","371421","福建省莆田市涵江区","410313","","","","","","","离婚","1","1"
"22","黄卿","1992-10-26","371001199210269067","浙江省金华市金华县","330721","山东省威海市市辖区","371001","存活","雷霭","620922198510277070","浙江省金华市金华县","330721","甘肃省天水市张家川回族自治县","371001","","","","","","","未婚","1","1"
"23","任欣","2001-02-24","641719200102242382","河北省衡水市深州市","131719","宁夏回族自治区吴忠市灵武市","641719","存活","平勤","210913197202127494","河北省衡水市深州市","131719","辽宁省阜新市细河区","641719","","","","","","","未婚","0","0"
"24","时瑞凡","1997-05-06","151713199705062163","河南省南阳市南召县","411321","内蒙古自治区赤峰市敖汉旗","151713","存活","孟思","510324198504095716","河南省南阳市南召县","411321","四川省自贡市富顺县","151713","","","","","","","离婚","0","0"
"25","姚莎","1999-12-19","520925199912193206","湖北省十堰市张湾区","420315","贵州省遵义市仁怀市","520925","死亡","雷瑾颖","610126197307175072","湖北省十堰市张湾区","420315","陕西省西安市高陵县","520925","","","","","","","离婚","0","0"
"26","伍妍","1993-11-05","421119199311053200","重庆市南川市","501301","湖北省黄冈市黄州区","421119","存活","云聪澜","420708198005043364","重庆市南川市","501301","湖北省鄂州市鄂城区","421119","","","","","","","未婚","1","1"
"27","常彩","1993-06-26","431723199306267969","江苏省连云港市灌南县","320726","湖南省怀化市洪江市","431723","存活","平翠雅","411204198501157524","江苏省连云港市灌南县","320726","河南省三门峡市湖滨区","431723","","","","","","","未婚","0","0"
"28","于轮翰","2000-02-12","510624200002124793","江苏省宿迁市泗洪县","321511","四川省德阳市中江县","510624","存活","贝蓉眉","631324198203294454","江苏省宿迁市泗洪县","321511","青海省西宁市大通回族土族自治县","510624","","","","","","","离婚","0","0"
"29","卫心邦","1994-04-25","131109199404254051","陕西省西安市莲湖区","610109","河北省衡水市桃城区","131109","存活","伏黛","340427198107171864","陕西省西安市莲湖区","610109","安徽省淮南市凤台县","131109","","","","","","","未婚","1","1"
"30","马馨","2000-03-02","541605200003029387","海南省三亚市市辖区","460405","西藏自治区拉萨市墨竹工卡县","541605","存活","曹飘育","520513197508313539","海南省三亚市市辖区","460405","贵州省遵义市仁怀市","541605","","","","","","","未婚","1","1"
"31","许寒","1995-12-22","120704199512225904","云南省玉溪市新平彝族傣族自治县","530427","天津市蓟县","120704","存活","秦兰凤","371811198807308633","云南省玉溪市新平彝族傣族自治县","530427","山东省聊城市临清市","120704","","","","","","","离婚","1","1"
"32","岑翔旭","1998-06-27","530103199806276191","云南省曲靖市麒麟区","530307","云南省昆明市盘龙区","530103","存活","孟瑞凡","440701197409175617","云南省曲靖市麒麟区","530307","广东省江门市市辖区","530103","","","","","","","未婚","1","1"
"33","于茜秋","1997-05-20","111015199705206901","广西壮族自治区玉林市北流市","451323","北京市延庆县","111015","存活","孟姣","310124198610058644","广西壮族自治区玉林市北流市","451323","上海市松江区","111015","","","","","","","未婚","1","1"
"34","雷巧","1998-07-06","641116199807062588","宁夏回族自治区吴忠市灵武市","641422","宁夏回族自治区吴忠市灵武市","641116","存活","毛春菊","611404198012131377","宁夏回族自治区吴忠市灵武市","641422","陕西省汉中市佛坪县","641116","","","","","","","未婚","0","0"
"35","鲁磊民","1992-10-16","321322199210167158","湖北省襄樊市樊城区","420608","江苏省宿迁市沭阳县","321322","存活","柏惠珠","310820196912076895","湖北省襄樊市樊城区","420608","上海市崇明县","321322","","","","","","","未婚","0","0"
"36","唐婷姣","1994-04-15","430913199404151448","江苏省宿迁市泗洪县","321825","湖南省益阳市赫山区","430913","存活","任伊亚","411510198310288088","江苏省宿迁市泗洪县","321825","河南省信阳市平桥区","430913","","","","","","","未婚","0","0"
"37","傅中","1992-11-08","610113199211081414","河北省张家口市怀安县","130728","陕西省西安市雁塔区","610113","存活","苗燕彩","510923198411206983","河北省张家口市怀安县","130728","四川省遂宁市大英县","610113","","","","","","","未婚","0","0"
"38","蓝翰","1992-04-12","340403199204127737","江西省鹰潭市余江县","360623","安徽省淮南市田家庵区","340403","存活","时琦","410706197006262252","江西省鹰潭市余江县","360623","河南省新乡市北站区","340403","","","","","","","未婚","0","0"
"39","谈江超","1998-04-08","341716199804083092","河北省衡水市深州市","131514","安徽省宿州市泗县","341716","存活","沈枝思","640125198808162186","河北省衡水市深州市","131514","宁夏回族自治区银川市贺兰县","341716","","","","","","","未婚","1","1"
"40","王翠雅","1994-10-20","361117199410206000","上海市崇明县","310518","江西省赣州市南康市","361117","存活","彭香","710122197610314529","上海市崇明县","310518","新疆维吾尔族自治区石河子市","361117","","","","","","","未婚","1","1"
"41","毛斌","2001-07-19","111805200107198791","黑龙江省黑河市五大连池市","231321","北京市延庆县","111805","存活","邵真环","621510197008172770","黑龙江省黑河市五大连池市","231321","甘肃省天水市张家川回族自治县","111805","","","","","","","未婚","1","1"
"42","严菊","1996-10-07","500424199610079961","宁夏回族自治区吴忠市灵武市","641313","重庆市南川市","500424","存活","吴洁梅","811714198401022132","宁夏回族自治区吴忠市灵武市","641313","新疆维吾尔族自治区石河子市","500424","","","","","","","未婚","1","1"
"43","和钧冠","1995-03-25","361724199503255652","湖北省黄冈市黄州区","421111","江西省赣州市南康市","361724","存活","凤华","411619197105143798","湖北省黄冈市黄州区","421111","河南省信阳市息县","361724","","","","","","","离婚","1","1"
"44","康雅","1999-11-15","531820199911156887","甘肃省天水市张家川回族自治县","621722","云南省玉溪市元江哈尼族彝族傣族自治县","531820","存活","杜娜","370823198209201079","甘肃省天水市张家川回族自治县","621722","山东省济宁市任城区","531820","","","","","","","未婚","1","1"
"45","朱芬芳","1999-07-17","541326199907174745","新疆维吾尔族自治区石河子市","811014","西藏自治区拉萨市墨竹工卡县","541326","存活","陶莎","520408197711116030","新疆维吾尔族自治区石河子市","811014","贵州省遵义市仁怀市","541326","","","","","","","未婚","1","1"
"46","湛坚和","2000-05-14","321618200005148254","湖南省怀化市洪江市","431715","江苏省宿迁市泗洪县","321618","存活","褚蕊薇","810711197103269444","湖南省怀化市洪江市","431715","新疆维吾尔族自治区石河子市","321618","","","","","","","离婚","1","1"
"47","喻元全","1999-01-02","421809199901022071","宁夏回族自治区吴忠市灵武市","641219","湖北省咸宁市通山县","421809","存活","熊桂","330123198802293406","宁夏回族自治区吴忠市灵武市","641219","浙江省杭州市桐庐县","421809","","","","","","","未婚","0","0"
"48","康荣","1992-10-07","330509199210078586","陕西省汉中市佛坪县","611421","浙江省湖州市市辖区","330509","存活","孙蕊薇","341701197310059840","陕西省汉中市佛坪县","611421","安徽省宿州市泗县","330509","","","","","","","丧偶","0","0"
"49","邵悦昭","1992-07-17","140825199207171549","广东省茂名市信宜市","441114","山西省晋城市怀仁县","140825","存活","余宜可","150602198007274651","广东省茂名市信宜市","441114","内蒙古自治区赤峰市敖汉旗","140825","","","","","","","未婚","1","1"
"50","周昭","1992-09-13","450210199209132146","海南省海口市秀英区","460117","广西壮族自治区柳州市柳北区","450210","存活","伏秀娟","370820197012147762","海南省海口市秀英区","460117","山东省济宁市任城区","450210","","","","","","","未婚","1","1"
"51","阮毅","1991-12-30","611704199112301597","山东省淄博市沂源县","370323","陕西省汉中市佛坪县","611704","存活","冯姣","361724198704027154","山东省淄博市沂源县","370323","江西省赣州市南康市","611704","","","","","","","离婚","0","0"
