"庞瑗琰","110121197312299614","旧宫镇商业街甲61号","13703154144","济南公义国际工程技术有限公司","无","待扶助","壹仟圆/年","未开始","中国工商银行","个人户名:庞瑗琰","6471839563253384011","一年"
"蓝筠柔","110128199503162446","广顺北大街16号望京华彩商业中心4层","13906988652","北京干晶合股份有限公司","两个女孩","待扶助","贰仟圆/年","未开始","中信银行","个人户名:蓝筠柔","6234160563253378253","两年"
"项林有","110227198612037670","清河中街68号华润五彩城购物中心西区4层","15003688435","沈阳元宏贸易有限公司","无","扶助中","贰仟圆/年","2008","中国农业发展银行","个人户名:项林有","6272163563253379050","五年"
"水芳","110511199006284399","前门廊坊二条8号","13401870548","南京万飞计装饰工程有限责任公司","两个女孩","待扶助","壹仟圆/年","未开始","中国民生银行","个人户名:水芳","6843325563253381257","四年"
"安江超","110519198503057385","霄云路26号","13608740184","成都元宝汇集团股份有限公司","无","扶助中","贰仟圆/年","1997","中信银行","个人户名:安江超","6919590563253384406","一年"
"汪亨奇","110610199511264042","马甸西村甲16号","13702966487","上海康百通建筑产业集团有限公司","一个","扶助中","贰仟圆/年","1998","国家开发银行","个人户名:汪亨奇","6966381563253382040","五年"
"董龙","110911197008116813","天通苑国泰东三区2号楼","13802910657","深圳干捷建筑装饰工程有限公司","一个","待扶助","壹仟圆/年","未开始","中国光大银行","个人户名:董龙","6176252563253377356","两年"
"沈平保","110925197307273807","大黄庄222号","13901403483","南京富金春房产经纪有限公司","一个","待扶助","贰仟圆/年","未开始","中国建设银行","个人户名:沈平保","6581176563253376964","三年"
"阮娣叶","111112198111193948","志新东路志新小区33号楼底商","13103295470","大连公义贸易有限公司","两个女孩","扶助中","壹仟圆/年","1990","华夏银行","个人户名:阮娣叶","6780348563253381379","四年"
"孙君琴","120112198310271768","慧忠路亚运村安慧里2区4号楼","15503876199","北京进吉洪物业管理有限公司","一个","扶助中","壹仟圆/年","2010","华夏银行","个人户名:孙君琴","6908868563253383190","五年"
"孟枫芸","120302197704291937","悼陵监民俗村108号国艳烙糕宴","13707532146","北京洪源土石方工程有限公司","无","扶助中","贰仟圆/年","1981","中国光大银行","个人户名:孟枫芸","6865980563253380100","三年"
"施进","120425197302253947","古北水镇沙岭81-2","15205930196","成都美辉贸易有限公司","无","待扶助","壹仟圆/年","未开始","中国银行","个人户名:施进","6164369563253383616","一年"
"张翠雅","121403197510313187","金宝街88号金宝汇购物中心5楼","13107616070","沈阳全盛台土石方工程有限公司","一个","扶助中","贰仟圆/年","1995","中国建设银行","个人户名:张翠雅","6352081563253384422","五年"
"方以","121528197503185081","梨园镇砖厂南里40号楼华远好天地商业区2楼","15307388976","深圳福富巨房产经纪有限公司","无","待扶助","贰仟圆/年","未开始","中国工商银行","个人户名:方以","6555807563253381510","五年"
"昌顺","121705197208247273","牡丹园西里16号楼","15504496989","天津美飞房地产开发有限公司","一个","扶助中","壹仟圆/年","2005","国家开发银行","个人户名:昌顺","6825252563253380725","三年"
"方岚苑","121827197710044063","管庄镇旺角","15702570023","厦门浩通聚房地产开发有限公司","两个女孩","待扶助","贰仟圆/年","未开始","中国农业银行","个人户名:方岚苑","6225441563253377585","两年"
"康成","130514199506029293","永外果园8号欣雅汇生活广场4F-16","15101517265","天津进吉洪建筑产业集团有限公司","两个女孩","扶助中","壹仟圆/年","2016","中国邮政储蓄银行","个人户名:康成","6500220563253381135","五年"
"卫莲","131019197202168717","东长安街甲1号东方君悦大酒店1楼","13301533277","杭州台生益贸易有限公司","一个","扶助中","壹仟圆/年","1998","中国民生银行","个人户名:卫莲","6896878563253379714","五年"
"伍保","131117199706138259","十里河闽龙广场4楼美食城","15804804100","上海洪生环境建设股份有限公司","一个","待扶助","贰仟圆/年","未开始","中国工商银行","个人户名:伍保","6732800563253378898","四年"
"金河哲","131407199507031044","顺一条8号","15103436109","济南广洪宝股份有限公司","两个女孩","扶助中","壹仟圆/年","2000","华夏银行","个人户名:金河哲","6817373563253379942","五年"
