"祁庆","110125199603307102","小黄庄北街环贸新生活斜对面","15503852604","鲢鱼","方庄南路157号","C051881326847","2019-03-24"
"湛娜","110826197002245529","亦庄经济技术开发区天宝南街上海沙龙商业街","13805409069","鲤鱼","双井双花园南里2区13号楼商业4号","H087093845061","2019-03-08"
"苗翔旭","111014198308093954","张坊镇大峪沟村九区23号","13508494574","鲤鱼","三里屯路19号三里屯太古里北区地下一层","I042675392278","2019-05-11"
"项士以","120625198305292521","京原路7号","15604513811","丁桂鱼","罗马湖左堤路1号","P097633862834","2019-06-16"
"黄河哲","121214197310185756","广顺北大街16号望京华彩商业中心4层","15503822716","南美白对虾","太师屯镇光明村一号","O095244050366","2019-05-22"
"齐江超","121310199907069430","丰体南路丰体时代","13803391489","鲤鱼","燕平路石油大学西门","M003148958200","2019-03-02"
"元邦","130101197505226523","小黄庄北街环贸新生活斜对面","13502000599","鳡鱼","朝阳门南小街大方家胡同芳嘉园11号","O040535318882","2019-06-26"
"伍岚苑","130107198310107438","楼梓庄路87号附近","13908618353","鲈鱼","黄花城水长城景区九渡河村九渡河桥南","K029493866287","2019-06-08"
"褚亮","130118198909083050","东安门大街53号","13403402719","鳡鱼","穆家峪镇阁老峪华润希望小镇5-1","R082111130689","2019-05-11"
"熊龙","130420198806227980","朝阳路花北西社区","13500532259","鳗鱼","南楼梓庄化工路18号","B022903758874","2019-05-22"
"马伟刚","131012198912145022","东皇城根南街76号","15908010437","鲫鱼","工人体育场南路1号富国海底世界","M084504779614","2019-05-03"
"成言","131805199705148567","大杨山森林公园内","15505211747","加州鲈","东皇城根南街76号","J024688181865","2019-03-15"
"明鹏泽","131818198904032233","东直门内大街235号，簋街西边","13802861143","鲢鱼","沿河景观路47-4号","N090795302286","2019-04-18"
"康才发","140519198505184833","雁栖镇京加路跃进北京世升旁","15602808377","鳄 龟","六道口清华东路25号","E061966744892","2019-03-01"
"钱云莲","140701199208232159","建国门外永安里10号","13202758406","丁桂鱼","南四环中路城南嘉园14号楼华联公益西桥购物中心4层","P002374905767","2019-06-13"
"卜仪","140723198104038872","行宫街59号","15301851982","青鱼","鲁谷建材市场","M016150799205","2019-06-21"
"岑健世","141205198906188266","李家坟7号院创意总社1949","13103732399","鳗鱼","东亿国际传媒产业园8号西区演播大厅A座二楼","K073063422799","2019-05-04"
