"1","潘安","431804199104157292","湖南省岳阳市石佛营路与朝阳北路交叉口西北角串通店内","13600970869","巴哈马","BQI312200057268","船舶电气","二级无线电电子员","","2014-04-10 00:00:00","BQI312200057268"
"2","成丽","321217197105294826","江苏省南京市百子湾路29号","13302811710","宏智","BCZ121201343170","船舶驾驶","船长","","2008-07-03 00:00:00","BCZ121201343170"
"3","孙惠颖","370819197112297488","山东省青岛市东北旺苗圃厂部一区平房23号","15508410084","威娜星","DJT135200478328","船舶驾驶","水手","","2004-10-06 00:00:00","DJT135200478328"
"4","费先乐","461114198506234175","海南省三亚市七星东街七星园11号","15603893248","罗兰泉","JWC113201395481","船舶驾驶","二副","","2008-12-19 00:00:00","JWC113201395481"
"5","彭锦瑗","350415198208282454","福建省厦门市回龙观龙禧三街东亚上北北侧底商14-19","15001427875","东玉","DVX215200150427","轮机管理","机工","","2012-02-18 00:00:00","DVX215200150427"
"6","贾会进","641401197903294386","宁夏市健安东路安贞西里二区3号楼","13801063923","烈城","BPE134200125716","船舶驾驶","三副","","2012-09-05 00:00:00","BPE134200125716"
"7","莫庆邦","641802197904256227","宁夏市回龙观西大街9号 东亚上北 北侧底商16-10","15605508331","宏明","YQK311201283307","船舶电气","一级无线电电子员","","2005-02-07 00:00:00","YQK311201283307"
"8","韩怡秋","410925197108038555","河南省新乡市盘营沟路首城国际22号楼","13801660738","丽河","BGZ112201019265","船舶驾驶","大副","","2005-07-09 00:00:00","BGZ112201019265"
"9","庞璐园","451004197502077813","广西市昌崔路北邵洼地铁","13902578663","永毅","BEK212200889234","轮机管理","大管轮","","2010-01-25 00:00:00","BEK212200889234"
"10","洪锦薇","461801198601147934","海南省三亚市崇文门外大街国瑞购物中心3F西南","15505620365","高丽上海","JVB235200061159","轮机管理","机工","","2008-08-29 00:00:00","JVB235200061159"
"11","萧滢","811411197401011505","香港市陆港城商业步行街内104-105号","15002170601","烟海黄河","JDA112201213096","船舶驾驶","大副","","2007-06-04 00:00:00","JDA112201213096"
"12","张媛思","531705199401168526","云南省曲靖市百子湾后现代城门口环岛北50米","15000363590","秀兰泉","DMF225201493373","轮机管理","机工","","2013-06-14 00:00:00","DMF225201493373"
"13","计林","520705197708061335","贵州省六盘水市回龙观新龙城北街北区15号龙虾33私房菜","13108605395","兴亚蔚山","JQE235200247146","轮机管理","机工","","2013-04-15 00:00:00","JQE235200247146"
"14","项影","810123199003258161","香港市春泽路与临泓路交叉口南行80米路西","13902418827","福满桥","BYM133200966120","船舶驾驶","二副","","2005-06-21 00:00:00","BYM133200966120"
"15","唐婷","540817197103113258","西藏市华远好天地商业中心37号楼3层301室","15607657585","文兰泉","BGO212200890226","轮机管理","大管轮","","2007-06-09 00:00:00","BGO212200890226"
"16","安聪秋","450703198411058674","广西市站前北街","13906297725","宏扬","JNH215200756273","轮机管理","机工","","2010-02-08 00:00:00","JNH215200756273"
"17","阮香淑","810713198207026036","香港市回龙观新龙城北街北区15号龙虾33私房菜","13503355115","东玉","YIV221201411439","轮机管理","轮机长","","2012-10-16 00:00:00","YIV221201411439"
"18","车哲杰","220718199809049232","吉林省通化市四季青阜石路西山国际城甲69号11号楼107","15100760545","威兰德WIN","YZN321200443813","船舶电气","一级无线电电子员","","2014-02-25 00:00:00","YZN321200443813"
"19","林瑶","510210197612165016","四川省德阳市黄寺大街佰隆大厦4层","15203115244","兴亚汉城","YUO311200323344","船舶电气","一级无线电电子员","","2005-09-07 00:00:00","YUO311200323344"
"20","彭朗乐","520607198403262022","贵州省安顺市开放路113号南四层609室","13603788942","向济","DZX322200652940","船舶电气","二级无线电电子员","","2009-12-17 00:00:00","DZX322200652940"
"21","闵枝","221515199411297788","吉林省四平市华远好天地商业中心37号楼3层301室","15806925825","正利香港","BOJ233200743467","轮机管理","二管轮","","2009-09-21 00:00:00","BOJ233200743467"
"22","吕广","631115197303058185","青海市机场生活区西平街一号","13904502607","宏勇","YIT225200785135","轮机管理","机工","","2008-07-26 00:00:00","YIT225200785135"
"23","申泽伯","650122198003296247","新疆市横七条龙隆昌大厦底商","15300527027","映春","DFV131200981800","船舶驾驶","船长","","2013-12-28 00:00:00","DFV131200981800"
"24","水娅叶","421120196910194544","湖北省襄樊市砖厂南里33号楼3层","13508438831","现代和谐","JSR314200070564","船舶电气","GMDSS限用操作员","","2012-04-22 00:00:00","JSR314200070564"
"25","葛彬","150501198005155418","内蒙古市双花园南里三区23号楼103室","13000125996","罗兰泉","JTE314200643871","船舶电气","GMDSS限用操作员","","2006-03-24 00:00:00","JTE314200643871"
"26","孙涛","340326199512161181","安徽省芜湖市百子湾路易构空间对面","13200853265","兴亚蔚山","YVG321200144413","船舶电气","一级无线电电子员","","2011-05-03 00:00:00","YVG321200144413"
"27","纪树","611423197902118936","陕西省铜川市黄村镇滨河街5号","13300266839","宏智","DDY234201263016","轮机管理","三管轮","","2014-03-01 00:00:00","DDY234201263016"
"28","龚可","151203199809115349","内蒙古市北青云路青云小区对面","13403783989","东璐","BYZ235201387584","轮机管理","机工","","2012-04-22 00:00:00","BYZ235201387584"
"29","柳冰娜","311103197812219235","上海市亦庄荣昌东街地铁站旁","13902588594","印尼之星","DEC212200251660","轮机管理","大管轮","","2014-04-01 00:00:00","DEC212200251660"
"30","徐姣昭","320921198504234781","江苏省扬州市二拨子工业园区中路102号","15907952503","宏智","DKP131201270993","船舶驾驶","船长","","2010-07-15 00:00:00","DKP131201270993"
"31","梅伦冠","330801198411277618","浙江省嘉兴市百子湾路16号","15008763738","立志","BBD321201098483","船舶电气","一级无线电电子员","","2007-05-17 00:00:00","BBD321201098483"
"32","戚珊雅","150328197802045209","内蒙古市朝阳路八里庄东里1号莱锦a区3号楼03a","13403385475","向洲","YWM311201084208","船舶电气","一级无线电电子员","","2014-01-16 00:00:00","YWM311201084208"
"33","阮君","641707198304179891","宁夏市站前北街","13501466698","东璐","JUJ111200791106","船舶驾驶","船长","","2004-08-17 00:00:00","JUJ111200791106"
"34","杜芳兰","210928198502047061","辽宁省沈阳市礼贤街西口往东100米路北","15603104380","罗兰泉","DQP122200413607","船舶驾驶","大副","","2007-05-11 00:00:00","DQP122200413607"
"35","殷诚","620323197711187852","甘肃省白银市长辛店东三坡三里58号","15102690388","阳明伊比萨","BJN223201233363","轮机管理","二管轮","","2012-01-21 00:00:00","BJN223201233363"
"36","谢轮","511815198611162372","四川省广元市华远好天地商业中心37号楼3层301室","13006856431","正利香港","BMP213200258804","轮机管理","二管轮","","2007-04-22 00:00:00","BMP213200258804"
"37","胡仁天","611121197608233752","陕西省延安市黄村镇滨河街5号","13604335758","威兰德大连","JVQ235201096515","轮机管理","机工","","2009-06-28 00:00:00","JVQ235201096515"
"38","邢世利","631822199403072628","青海市礼贤街西口往东100米路北","15308202865","海丰联信","JST215201093692","轮机管理","机工","","2013-12-02 00:00:00","JST215201093692"
"39","苏菊蓓","530913196912288183","云南省玉溪市广顺北大街六佰本商业街","15200296124","宏明","YZK123201079362","船舶驾驶","二副","","2013-07-17 00:00:00","YZK123201079362"
"40","谈磊风","220801199408307992","吉林省通化市横七条龙隆昌大厦底商","15701294827","秀兰泉","YSA121201467262","船舶驾驶","船长","","2005-04-05 00:00:00","YSA121201467262"
"41","黄瑾荔","441519198702267951","广东省深圳市二拨子工业园区中路102号","15608347012","映春","BSF312200555070","船舶电气","二级无线电电子员","","2014-04-01 00:00:00","BSF312200555070"
"42","叶学","221012197504054271","吉林省辽源市文华西路赵记蜜制烤翅旁","13804303696","正利香港","BUZ313201237642","船舶电气","GMDSS通用操作员","","2005-07-09 00:00:00","BUZ313201237642"
"43","卞茜姬","441410198203098800","广东省揭阳市神路街39号","15805388195","宏光","DNP313201239954","船舶电气","GMDSS通用操作员","","2012-08-02 00:00:00","DNP313201239954"
"44","冯超伦","331607199103254997","浙江省金华市窦店镇瓦窑头夹克的虾房山店","15305945781","威兰德芝曼娜","DTG323200219174","船舶电气","GMDSS通用操作员","","2008-06-17 00:00:00","DTG323200219174"
"45","戴鹏","430602197910185058","湖南省衡阳市文慧园西路内100米","13900310301","罗兰泉","JLW124201229625","船舶驾驶","三副","","2009-09-09 00:00:00","JLW124201229625"
"46","水辉","641406198601319441","宁夏市窦店镇瓦窑头夹克的虾房山店","15100118299","谨草","JZO122200652864","船舶驾驶","大副","","2012-03-25 00:00:00","JZO122200652864"
"47","马滢","430304196908142853","湖南省永州市亮甲店桥头亮甲店路美怡汽车服务有限公司亮甲店分公司隔壁","15903823517","罗兰泉","JIR214200081360","轮机管理","三管轮","","2010-07-07 00:00:00","JIR214200081360"
"48","卓瑗爽","440313197704101616","广东省珠海市大屯北路金泉美食宫一层大屯里312-8","15802236749","宇宙","JDT313201099643","船舶电气","GMDSS通用操作员","","2005-01-19 00:00:00","JDT313201099643"
"49","甄亮盛","231305197606079600","黑龙江省哈尔滨市亚运村北苑路安慧里四区15号楼","15906661317","宏光","JRM131200029386","船舶驾驶","船长","","2013-10-11 00:00:00","JRM131200029386"
"50","王惠桂","311113199505237193","上海市石景山路2号北京台湾街C01区3号楼首层","13503258697","威娜星","BJC122200299680","船舶驾驶","大副","","2005-06-30 00:00:00","BJC122200299680"
"51","毛荔","221521199006303023","吉林省长春市复兴路五棵松乐视体育生态中心内华熙live097商铺","13302355042","秀兰泉","BTQ114200183957","船舶驾驶","三副","","2006-06-17 00:00:00","BTQ114200183957"
"52","喻蓓苑","331221197202097129","浙江省金华市双榆树北里榆苑公寓","13407662363","芝兰泉","DLB124200599661","船舶驾驶","三副","","2010-01-14 00:00:00","DLB124200599661"
"53","施纯","451706199503182601","广西市来广营乡红军营村53号","13902180672","兴亚汉城","JZV233200333554","轮机管理","二管轮","","2010-09-10 00:00:00","JZV233200333554"
"54","龚军绍","641723197210132650","宁夏市广顺南大街悠乐汇610号楼107室","15207621733","高丽上海","DTC124200024839","船舶驾驶","三副","","2007-09-12 00:00:00","DTC124200024839"
"55","常融","230211197102069939","黑龙江省大庆市窦店镇瓦窑头夹克的虾房山店","15102690567","宁波之星","DWR114200053877","船舶驾驶","三副","","2006-04-03 00:00:00","DWR114200053877"
"56","袁思河","421327198508111336","湖北省鄂州市复兴路五棵松乐视体育生态中心内华熙live097商铺","15003852847","正利香港","BJC211200529022","轮机管理","轮机长","","2014-05-30 00:00:00","BJC211200529022"
"57","俞岩刚","210305199711236135","辽宁省营口市百子湾路16号","15702807302","高丽水手","YUM131200679532","船舶驾驶","船长","","2010-07-13 00:00:00","YUM131200679532"
"58","项航诚","451224197609093157","广西市民旺北胡同民旺园","15001691913","向浦","DDI233200116100","轮机管理","二管轮","","2006-12-07 00:00:00","DDI233200116100"
"59","诸炎震","421323198203216021","湖北省武汉市陈家林2号盈实大厦向西150米","15507021189","宏智","JUH324200129865","船舶电气","GMDSS限用操作员","","2013-03-01 00:00:00","JUH324200129865"
"60","崔霄","111817198911286459","北京市回龙观镇北清路1号院8号楼底商","13201863217","晓洋","BSE314201434167","船舶电气","GMDSS限用操作员","","2006-03-25 00:00:00","BSE314201434167"
"61","诸桂惠","211125198003193769","辽宁省鞍山市大屯北路金泉美食宫一层大屯里312-8","15306883659","芝兰泉","BIK125201131140","船舶驾驶","水手","","2009-03-25 00:00:00","BIK125201131140"
"62","廉俊轮","541702199010292415","西藏市建国路93号万达广场16号楼103室","13002640339","宇宙","JZI111200383011","船舶驾驶","船长","","2009-09-15 00:00:00","JZI111200383011"
"63","夏秀","611521198502044500","陕西省铜川市东直门内大街5号楼（6）","13102157607","向济","YSR132200947722","船舶驾驶","大副","","2011-11-07 00:00:00","YSR132200947722"
"64","田伯致","120811197204017944","天津市河荫中路3号","15102821151","宏光","BTY311200524286","船舶电气","一级无线电电子员","","2013-12-03 00:00:00","BTY311200524286"
"65","韩进彬","611024198007096507","陕西省渭南市永旺国际商城","13502057712","威兰德芝曼娜","DOM215200171642","轮机管理","机工","","2007-02-25 00:00:00","DOM215200171642"
"66","倪亨坚","450922198212074611","广西市昌崔路北邵洼地铁","15804553491","向济","DPV322200162287","船舶电气","二级无线电电子员","","2007-07-04 00:00:00","DPV322200162287"
"67","胡学","611607199008298734","陕西省咸阳市民旺北胡同民旺园","13303023348","高丽上海","JXK113201328498","船舶驾驶","二副","","2012-04-17 00:00:00","JXK113201328498"
"68","侯云眉","360121197801116191","江西省南昌市广顺北大街六佰本商业街","13301642630","向济","BZF122200114487","船舶驾驶","大副","","2006-06-12 00:00:00","BZF122200114487"
"69","谭哲承","611008197703164607","陕西省延安市崇文门外大街国瑞购物中心3F西南","15105392214","文兰泉","YGZ121201325140","船舶驾驶","船长","","2005-06-09 00:00:00","YGZ121201325140"
"70","蔡刚辉","150304199402054754","内蒙古市神路街39号","15203371352","亚洲和风","YBZ113200574412","船舶驾驶","二副","","2006-01-07 00:00:00","YBZ113200574412"
"71","邱君梦","430312199008015525","湖南省邵阳市红霞中路北京荣源兴业水站旁","13506585088","国芳","YGY314200246444","船舶电气","GMDSS限用操作员","","2014-01-25 00:00:00","YGY314200246444"
