"1","普陀区","四里新村街道办事处","鞍山路","上海市普陀区四里新村街道鞍山路","凌峰健","居民身份证","500502199101122086","15903118853","文体娱乐设施","221740621","858","2013-09-25","上海市房产管理局"
"2","虎丘区","大观园街道办事处","民翔路","苏州市虎丘区大观园街道民翔路","朱桂可","居民身份证","361322199011228790","15003353070","经营用房","500325453","487","2012-01-11","苏州市房产管理局"
"3","三山区","八里庄街道 紫竹院街道办事处","宾川路","芜湖市三山区八里庄街道 紫竹院街道宾川路","陆健","居民身份证","310214199006138629","15604273318","商业用房","024934797","1175","2013-11-18","芜湖市房产管理局"
"4","东光县","庄周街道办事处","达布街","沧州市东光县庄周街道达布街","许燕月","居民身份证","331623197001162620","13201680082","经营用房","324942308","441","2013-08-31","沧州市房产管理局"
"5","枣强县","泉河街道办事处","崇明大道","衡水市枣强县泉河街道崇明大道","魏娣叶","居民身份证","360115198204103430","13707850545","经营用房","801374967","757","2012-01-10","衡水市房产管理局"
"6","鼓楼区","前门街道办事处","金百路","福州市鼓楼区前门街道金百路","邵琛子","居民身份证","340615197608222483","15707752826","工业用途","410126933","629","2014-03-23","福州市房产管理局"
"7","二七区","高寨子街道办事处","白石公路","郑州市二七区高寨子街道白石公路","钟英","居民身份证","321425199802244452","15007060132","文体娱乐设施","810723255","1011","2011-09-07","郑州市房产管理局"
"8","铁山区","汉山街道办事处","金百路","黄石市铁山区汉山街道金百路","汤松","居民身份证","510211198912017664","15808100051","住宅","701377651","203","2012-10-16","黄石市房产管理局"
"9","武昌区","天坛街道办事处","长厍路","武汉市武昌区天坛街道长厍路","包娴聪","居民身份证","120425198602036864","15908052781","文体娱乐设施","805247211","1165","2014-02-05","武汉市房产管理局"
"10","市北区","杆石桥街道办事处","丁家桥路","青岛市市北区杆石桥街道丁家桥路","陆茗","居民身份证","350121199212016615","15007147286","住宅","311467628","121","2013-07-16","青岛市房产管理局"
"11","北辰区","八里庄街道 紫竹院街道办事处","安亭路","天津市北辰区八里庄街道 紫竹院街道安亭路","苏眉","居民身份证","361721197710191340","15905122792","商业用房","311850685","805","2016-09-25","天津市房产管理局"
"12","南长区","北下关街道办事处","白石公路","无锡市南长区北下关街道白石公路","皮纨萍","居民身份证","341119197504013726","13901353734","工业用途","423662699","665","2016-04-20","无锡市房产管理局"
"13","朝阳区","紫柏街道办事处","柏枝弄","北京市朝阳区紫柏街道柏枝弄","包超","居民身份证","320321199102223848","13408727849","商业用房","414969770","606","2017-02-18","北京市房产管理局"
"14","象山县","四里新村街道办事处","长桥路","宁波市象山县四里新村街道长桥路","卓建","居民身份证","231717197708237132","13800185794","政府和公用设施","614289827","238","2016-03-30","宁波市房产管理局"
"15","和顺县","天坛街道办事处","百色路","晋中市和顺县天坛街道百色路","章绍","居民身份证","430910199109136556","15108681472","工业用途","303898775","917","2015-01-03","晋中市房产管理局"
"16","市南区","白马山街道办事处","安义路","青岛市市南区白马山街道安义路","高枝静","居民身份证","340214197407076018","13104302563","工业用途","200922731","536","2015-08-14","青岛市房产管理局"
"17","阳城县","兴州街道办事处","沧源路","晋城市阳城县兴州街道沧源路","江芬珠","居民身份证","520726199901093562","13104956446","住宅","120367185","166","2016-02-05","晋城市房产管理局"
"18","双滦区"," 北关街道办事处","北长山路","承德市双滦区 北关街道北长山路","元广海","居民身份证","221412198701122486","15202194725","文体娱乐设施","703240258","433","2013-02-19","承德市房产管理局"
"19","江干区","人民路街道办事处","曹安公路","杭州市江干区人民路街道曹安公路","奚中","居民身份证","511106198507033381","15305347346","政府和公用设施","105429969","237","2016-10-19","杭州市房产管理局"
"20","北塘区","文峰街道办事处","场署街","无锡市北塘区文峰街道场署街","魏成","居民身份证","371518199612172592","15006748912","工业用途","302610472","553","2013-03-29","无锡市房产管理局"
"21","台江区","泉河街道办事处","坝桥路","福州市台江区泉河街道坝桥路","彭菊","居民身份证","111106199007133860","15900207592","工业用途","325549338","475","2015-10-15","福州市房产管理局"
"22","大东区"," 北关街道办事处","白奚公路","沈阳市大东区 北关街道白奚公路","舒宏清","居民身份证","521213199204106971","13904766005","文体娱乐设施","721251291","1022","2015-12-13","沈阳市房产管理局"
"23","江东区","紫柏街道办事处","奥纳路","宁波市江东区紫柏街道奥纳路","余固","居民身份证","520921198004151372","15006551908","政府和公用设施","122117001","422","2012-04-27","宁波市房产管理局"
"24","交城县","泉河街道办事处","卡园一路","吕梁市交城县泉河街道卡园一路","童婵冰","居民身份证","360918198512025680","15604794108","文体娱乐设施","322811530","874","2015-08-14","吕梁市房产管理局"
"25","翼城县","任圩街道办事处","长虹路","临汾市翼城县任圩街道长虹路","米克维","居民身份证","521521199905057624","15305347588","政府和公用设施","003459665","1106","2015-07-18","临汾市房产管理局"
"26","大同县","清河街道办事处","赤峰路","大同市大同县清河街道赤峰路","董娣澜","居民身份证","341625199602224255","13601797191","文体娱乐设施","315755298","581","2015-08-31","大同市房产管理局"
"27","黄岛区","双山街道办事处","长石公路","青岛市黄岛区双山街道长石公路","霍秋","居民身份证","531520197507171380","15304315836","住宅","015708541","102","2012-06-14","青岛市房产管理局"
"28","邯山区","魏家庄街道办事处","场西路","邯郸市邯山区魏家庄街道场西路","汤素枫","居民身份证","211525199210319415","13901902246","住宅","115692667","149","2013-11-02","邯郸市房产管理局"
"29","西湖区","万寿路街道办事处","白漾一弄","杭州市西湖区万寿路街道白漾一弄","凌泽天","居民身份证","351817197606288596","15202737131","经营用房","702884086","230","2011-10-22","杭州市房产管理局"
"30","永年县","紫柏街道办事处","长侯公路","邯郸市永年县紫柏街道长侯公路","江震","居民身份证","140204199409118793","13503044172","住宅","120928128","178","2017-02-24","邯郸市房产管理局"
"31","汉阳区","前门街道办事处","大场西街","武汉市汉阳区前门街道大场西街","项朋","居民身份证","430602198902073304","15101998384","工业用途","213441906","853","2011-10-13","武汉市房产管理局"
"32","崂山区","崇文门外街道办事处","博乐路","青岛市崂山区崇文门外街道博乐路","戴环","居民身份证","371714197910016637","15107700831","商业用房","710977677","885","2015-05-10","青岛市房产管理局"
"33","鹿城区","博望街道办事处","德宏路","温州市鹿城区博望街道德宏路","曹心","居民身份证","311705199803308302","13804061249","工业用途","004209826","489","2014-05-07","温州市房产管理局"
