"1","中共湖北省随州市七里河区委员会","俞燕","吉林省白山市黄村镇滨河街5号","15901594732","2011-11-01","中共湖北省随州市七里河区委员会","中国天津永大晟航商贸有限公司党支部","421527197308299249","2012-11-14"
"2","中共江西省新余市镇原县委员会","娄毓","重庆市运河西大街葛布店北里141号果园环岛东侧200米","13001824141","2015-04-17","中共江西省新余市镇原县委员会","中国台江县木材公司胶合板厂党支部","360222197011297720","2014-09-05"
"3","中共湖北省随州市滨江区委员会","邱鸣诚","四川省自贡市东直门内大街10号楼-3号","13007656951","2012-09-10","中共湖北省随州市滨江区委员会","中国四川奇立隆饰材连锁有限公司党支部","420103198107217079","2017-03-25"
"4","中共江苏省无锡市江东区委员会","丁锦岚","海南省海口市长辛店东三坡三里58号","15603061083","2015-05-14","中共江苏省无锡市江东区委员会","中国广东高丽铝业有限公司南宁分公司党支部","320120197406219692","2016-08-20"
"5","中共河南省周口市云和县委员会","董建轮","甘肃省张掖市黄寺大街佰隆大厦4层","13007336001","2015-12-11","中共河南省周口市云和县委员会","中国济南奥强商贸有限公司党支部","411602198505104970","2016-12-11"
"6","中共黑龙江省鸡西市皋兰县委员会","程才","辽宁省沈阳市回龙观龙禧三街东亚上北北侧底商14-19","13007642108","2016-09-21","中共黑龙江省鸡西市皋兰县委员会","中国扬州天喜塑胶有限公司党支部","231425199005219230","2014-10-31"
"7","中共重庆市岱山县委员会","王毅仁","福建省三明市民旺北胡同民旺园","13401823619","2015-09-13","中共重庆市岱山县委员会","中国武汉市汉阳区普菲特建材商行党支部","501003198704013848","2013-12-27"
"8","中共安徽省蚌埠市文成县委员会","蓝卿","河北省衡水市盘营沟路首城国际22号楼","13206464367","2013-04-07","中共安徽省蚌埠市文成县委员会","中国圣象地板哈尔滨分公司党支部","341411199312169212","2013-04-02"
"9","中共海南省三亚市龙游县委员会","马俊彪","广东省广州市垂杨柳中街6号楼西侧平房","13508622145","2014-07-14","中共海南省三亚市龙游县委员会","中国哈尔滨同心圆电线电缆有限公司党支部","461525199806266852","2016-10-27"
"10","中共山西省晋城市长兴县委员会","夏菁","上海市四季青阜石路西山国际城甲69号11号楼107","13407921551","2011-07-17","中共山西省晋城市长兴县委员会","中国北京侨华普路贸易中心党支部","140324199605254911","2015-10-12"
"11","中共山西省晋城市定海区委员会","萧炎鹏","天津市建国路京通大厦附近","15004278568","2013-01-22","中共山西省晋城市定海区委员会","中国四川盛鑫铝制品有限公司党支部","141808197707318418","2014-10-26"
"12","中共吉林省长春市永昌县委员会","左莉娟","天津市亮甲店桥头亮甲店路美怡汽车服务有限公司亮甲店分公司隔壁","13805638596","2014-02-25","中共吉林省长春市永昌县委员会","中国江西瑞昌市高品质乳胶漆厂党支部","221105198607114792","2015-07-04"
"13","中共河北省秦皇岛市婺城区委员会","傅达承","上海市建国路93号万达广场16号楼103室","15503317801","2015-01-04","中共河北省秦皇岛市婺城区委员会","中国张家港市富昶热能设备有限公司党支部","130118199111101033","2013-03-25"
"14","中共河北省沧州市江东区委员会","元芸影","天津市王府井大街277号平房30,31,32栋","15901138267","2015-11-17","中共河北省沧州市江东区委员会","中国章丘市桑园塑胶有限公司党支部","131124199210185091","2014-04-02"
"15","中共江苏省淮安市麦积区委员会","毕雅","湖南省株洲市站前北街","13600648835","2012-04-12","中共江苏省淮安市麦积区委员会","中国中国机械工业成套工程总公司哈尔滨代理党支部","321826199304139375","2012-07-29"
