"1","蔡盛才","140613199408229320","山西省太原市四季青阜石路西山国际城甲69号11号楼107","15908879004","","2014-01-07","是","是",""
"2","马福","410401199511062855","河南省新乡市百子湾路16号","15703600935","","2013-09-27","是","否",""
"3","柳保","370722197603315862","山东省东营市青年路27号院华纺新天地底商3-3","15904825157","","2013-01-08","否","是",""
"4","邱义","141610196911112968","山西省太原市二拨子工业园区中路102号","13303868421","","2006-08-31","是","否",""
"5","林炎翰","460102199104197532","海南省三亚市百子湾路29号","13204970086","","2006-01-31","否","是",""
"6","席朋俊","330405197911209508","浙江省嘉兴市运河西大街葛布店北里141号果园环岛东侧200米","15508535306","","2007-07-30","是","否",""
"7","史英霞","440913198210055390","广东省惠州市欣宁街15号荟聚购物中心2楼","13000023700","","2008-12-28","是","否",""
"8","卢妹媛","710313199507044545","台湾市大屯路华夏良子向东路口右转","13401044019","","2004-08-16","是","否",""
"9","汤之会","510301198410093573","四川省德阳市站前街8号院","13101806640","","2014-01-22","是","是",""
"10","郝刚维","610424198810202867","陕西省宝鸡市东三环富力广场北天之骄子1-2-1002","15900121333","","2009-10-16","是","否",""
"11","邢亮","420515197909245483","湖北省黄石市农业大学西校区","15501781156","","2011-02-09","否","否",""
"12","尹绍","130606197010249385","河北省沧州市礼贤街西口往东100米路北","13807277817","","2013-03-11","否","否",""
"13","俞顺武","111301197006124291","北京市横七条龙隆昌大厦底商","13002071219","","2010-01-29","否","否",""
"14","范毓宜","510406199809109821","四川省广元市望京商业中心中庭广场F座109","13601431383","","2011-12-28","否","是",""
"15","俞娥","140603198911017912","山西省长治市南环路53号悦荟万科广场B1","13704345510","","2011-03-11","否","否",""
"16","柳亚","631301199311153116","青海市丽园路彩虹新城小区北门东侧","13606476532","","2005-09-02","是","否",""
"17","毛云","140702198107132121","山西省晋城市盘营沟路首城国际22号楼","13405880738","","2008-07-01","是","是",""
"18","蓝贵勇","460410197204024407","海南省三亚市百子湾后现代城门口环岛北50米","13805826092","","2008-02-19","否","是",""
"19","米爱红","320302199712281154","江苏省徐州市站前北街","15001771672","","2009-02-24","否","是",""
"20","韩玲翠","461523199403136111","海南省海口市横七条龙隆昌大厦底商","13904595269","","2008-07-09","否","否",""
"21","薛鸣","221003197810037664","吉林省松原市回龙观西大街9号 东亚上北 北侧底商16-10","15908531692","","2010-09-03","否","否",""
"22","蔡富茂","230903198607038472","黑龙江省齐齐哈尔市神路街39号","13402330732","","2008-06-17","否","是",""
"23","张风","311025199606306508","上海市二拨子工业园区中路102号","15501421750","","2012-12-04","是","否",""
"24","洪芬","341410199003259824","安徽省阜阳市垂杨柳中街6号楼西侧平房","15002932143","","2013-10-21","是","是",""
"25","章裕波","151207196910192862","内蒙古市北青云路青云小区对面","15906483126","","2014-06-27","是","否",""
"26","熊眉慧","350603199308061039","福建省莆田市站前街8号院","15101830099","","2013-02-18","否","是",""
"27","邓春妹","531527198910289252","云南省丽江市礼贤街西口往东100米路北","13408262005","","2010-03-19","是","否",""
"28","庞敬","620705198610012615","甘肃省张掖市运河西大街葛布店北里141号果园环岛东侧200米","15002211492","","2006-02-20","否","是",""
"29","廉子敬","711003199004291101","台湾市百子湾路16号","15208457745","","2006-07-13","是","否",""
"30","路清","620924199512237452","甘肃省兰州市立汤路186号龙德广场5层","15002897589","","2013-06-23","否","否",""
"31","颜武","361604198905298752","江西省新余市七星东街七星园11号","13304898101","","2005-08-08","是","是",""
"32","黄馥","131823199101126537","河北省张家口市东直门内大街10号楼-3号","15105417758","","2010-10-18","是","否",""
"33","洪眉","501023198104219924","重庆市立汤路186号龙德广场5层","13903037761","","2011-04-19","是","否",""
"34","黄树","541817198004029414","西藏市大栅栏西街88号","13601857267","","2005-05-27","是","是",""
"35","孟彬","651319199701164092","新疆市甜水园东街道家园甲6号","13505153984","","2009-11-12","否","否",""
"36","喻卿舒","510302197004043111","四川省绵阳市复兴路五棵松乐视体育生态中心内华熙live097商铺","13105847799","","2006-04-25","否","否",""
"37","孟娥巧","531403199507054160","云南省曲靖市北京丰台区临泓路1号","13103216387","","2012-11-16","是","否",""
"38","卜芝荣","360713197406254903","江西省南昌市农业大学西校区","13100792840","","2013-08-01","是","否",""
