"窦雪荣","110111199503176681","铜江村","13708751829","是","财经商贸大类","一年","是","飞机","长兴路12号中体奥园一区","运输","占星家"
"和超","110116199712032246","花桥村","15908783763","是","新闻传播大类","五个月","否","无","王府井大街255号北京市百货大楼6楼","运输","养蜂人"
"范茜秋","111112199705309269","五罗村","13507711280","是","旅游大类","五个月","否","无","高碑店北路甘露园19号院","机械","剧作家"
"郎新","111115199610315749","横江社区","13602204530","是","水利大类","五个月","否","无","西大望路北工大附近","法律","面包师"
"贺亨奇","111303199608249128","天龙村","15600152905","是","公安与司法大类","四个月","否","无","后海北沿51号","制造","细菌学家"
"彭斌","111505199706069793","泉溪村","13601191539","否","无","无","是","大巴","安苑路安苑东里1区2号楼","纺织","证券经纪人"
"朱素","111526199408311672","长扶村","15604795726","是","医药卫生大类","半年","否","无","二七厂路杜家坎4号院内","机械","海员"
"郎冠","111615199501076223","太平洲村","13500108825","是","能源动力与材料大类","三个月","否","无","东四环南路9号 燕莎奥特莱斯购物中心C座-3024号","金融","会计"
"毕梁栋","120801199709276378","大田村","13404097066","是","公共管理与服务大类","五个月","否","无","京加路怀北庄村国科大学北门北行200米路东","电子信息","书商"
"董海","120827199412096912","热泉村","13405125353","否","无","无","是","轮船","十八里店横街子村阳光金港建材城对面","物流","程式设计师"
"宋厚庆","121125199606261373","合龙村","15806793830","是","装备制造大类","五个月","否","无","木北路腾龙双语幼儿园斜对面","物流","工程师"
"柏眉","121324199610257569","托新村","13302106848","是","资源环境与安全大类","五个月","否","无","科学院南路2号院1号楼融科资讯大厦B2","运输","飞行员"
"罗翔旭","121409199701308563","砚冲村","15702270850","是","文化艺术大类","一年","是","高铁","延寿镇牛蹄岭旅游新村","制造","麻醉学家"
"穆伊亚","121513199612281263","竹塘村","15706728303","是","轻工纺织大类","四个月","否","无","永安里地杰长安驿大厦A座1511室","建筑","探险家"
"冯良海","130103199708273405","长扶村","13406180116","是","教育与体育大类","一年","否","无","方庄芳古园一区24号楼底商","制造","天文学家"
"董志","130503199604177985","兴隆村","13804446430","是","交通运输大类","半年","是","轮船","溪翁庄镇石马峪","机械","出纳员"
"常茜秋","130603199610211613","新良村","13308553590","否","无","无","是","飞机","建国路81号华贸购物中心西区4层","金融","教育家"
"华媛艳","130610199409016079","铜盆江村","15802326148","否","无","无","否","无","鲁谷南路半月园公园西侧","制造","面包师"
"滕钧冠","131604199603208926","井长村","13701280835","是","新闻传播大类","一年","否","无","冯村华润置地puls365二楼207室","电子信息","画家"
"钱博","131811199507062643","雅里村","15204858801","是","交通运输大类","五个月","是","飞机","百子湾西里403号楼负一层","纺织","程式设计师"
"华伟刚","140422199710245473","竹山塘社区","13802500672","是","新闻传播大类","三个月","否","无","湖景东路新奥购物中心东A口","建筑","教练"
"葛露瑶","140624199409288698","利农村","13507286670","是","水利大类","五个月","否","无","岭南路36号广东大厦1-3楼","医药","建筑师"
"鲍冠","140705199701075420","迈迹塘村","15805853121","否","无","无","是","大巴","武圣路松榆西里6号楼","电子信息","画家"
"罗可","140809199502148948","大院里社区","13605895559","是","财经商贸大类","五个月","否","无","西山美庐","新能源","泥瓦匠"
"平涛","141011199708021349","旺龙村","15608496331","否","无","无","是","高铁","景东路14-2号时尚街区东区底商","机械","程式设计师"
"潘风航","141415199408249002","冷溪山村","15605690805","否","无","无","是","飞机","石门村东路12号","金融","记者"
"俞鹏泽","141714199410027541","铜盆江村","15207903954","是","农林牧渔大类","五个月","否","无","车站路37号","法律","考古学家"
"元东文","151004199508175053","麒麟村","15306603924","是","土木建筑大类","四个月","是","飞机","十三陵镇永陵村德陵路75号","金融","诗人"
"谈武新","211211199412037731","竹山塘社区","13303703626","否","无","无","否","无","南礼士路66号建威大厦B1楼","法律","会计"
"邵发","220107199509036890","太平洲村","15106105241","否","无","无","否","无","沿河景观路76-5号","医药","海员"
"朱思","220125199605129544","红星村","13101537566","是","食品药品与粮食大类","三个月","否","无","西关大街30号","金融","经纪人"
"钱荣","220206199502179396","洪塘社区","13507336695","否","无","无","否","无","双榆树西里双榆树三街3号","运输","导游"
"安璐","220725199707072835","南塘村","15708374266","否","无","无","否","无","方式渠路与昌金路交叉口西50米","纺织","电工"
"窦凤","221201199803122523","七里村","13208678684","否","无","无","是","火车","阳坊镇西贯市村北街路南临106号","电子信息","木匠"
"祝妹","230304199501281312","白窑山村","15508470275","是","能源动力与材料大类","五个月","是","大巴","梨园镇小稿村村委会东500米","物流","作曲家"
"伏言","230710199607269675","横江社区","15606428401","是","公共管理与服务大类","半年","否","无","马家堡西路15号时代风帆大厦北侧商用楼4楼","医药","电工"
"谈克伦","231504199807045882","红星村","13007496037","是","电子信息大类","三个月","否","无","马池口镇百泉庄村411号院2号","机械","经纪人"
"费姣","231516199802127663","兴隆村","15504476640","否","无","无","否","无","诚实胡同49号","机械","空中交通管制员"
"廉婉娴","231519199701016072","云雾山村","15701676649","是","食品药品与粮食大类","五个月","否","无","安贞路安贞西里五区1号楼1层101室","机械","电工"
"史馨","310210199501119185","华溪村","13904677974","否","无","无","是","轮船","科学院南路双榆树东里15号","纺织","顾问"
"昌可","310626199603141263","永胜社区","13500101870","是","能源动力与材料大类","四个月","否","无","北土城东路与樱花东街交口东120米路南","医药","顾问"
"屈心邦","310823199711191387","新花园村","13204526500","是","财经商贸大类","一年","否","无","徐宋路385号","法律","考古学家"
"罗成","311403199804123583","新良村","13406126332","是","轻工纺织大类","半年","是","飞机","复兴路69号院2号华熙LIVE.hi-up东区B1层","制造","记者"
"潘会思","311512199607164686","梨子园社区","13300933856","否","无","无","是","飞机","金宝街东段路北小雅胡同62号","运输","潜水员"
"茅有","311815199606158417","兴旺村","13807472163","是","能源动力与材料大类","一年","是","大巴","慧忠北里309号楼天创世缘A座1-3楼","建筑","导游"
"杨腾","320303199806235277","上花园村","13302471453","是","资源环境与安全大类","四个月","是","火车","雁栖镇京加路跃进北京世升旁","电子信息","探险家"
"钱德","320308199509063074","茶山社区","13406532008","否","无","无","否","无","酒仙桥北路2号","金融","指挥家"
"费江超","320709199505104951","紫霞园社区","15007422933","否","无","无","是","火车","阜成路93号","建筑","导游"
"吕树","320824199705297514","江湾村","15202587302","是","轻工纺织大类","半年","否","无","万泉河路68号紫金庄园9号楼东5门一层-5","医药","企业家"
"方学祥","321023199510115184","老银村","15008749004","是","交通运输大类","三个月","是","大巴","五棵松西翠路","机械","建筑师"
"邹世","321813199612117139","青花江村","13907113782","否","无","无","否","无","王府井大街138号北京apm5层","金融","律师"
"禹荣","330502199505138180","长岭社区","15002350173","否","无","无","否","无","新国展南门对面荣祥商业街800-101号","法律","空中交通管制员"
"岑鹏泽","330613199612217509","磨石村","13206404933","否","无","无","是","火车","小堡北街241号","法律","骨科医生"
"蓝士以","331005199709297201","老银村","13806333338","否","无","无","否","无","甘露园南里25号尚街购物中心3层","医药","潜水员"
"臧静淑","331007199806293553","合井村","15207694262","是","财经商贸大类","半年","否","无","角门北路3号首座绿洲2号楼","建筑","考古学家"
"张萍红","331416199503308439","老银村","13607427631","否","无","无","否","无","新桥南大街49号","制造","教育家"
"周思","331515199610252444","望云山村","13708463548","否","无","无","否","无","朝阳左家庄东街58号楼master领寓","纺织","面包师"
"方斌","331607199705032683","天龙村","15600574461","否","无","无","是","火车","高碑店c区","机械","经纪人"
"伍宏言","331702199806233632","青花江村","15601052052","否","无","无","否","无","三里屯北路19号三里屯太古里北区3层","医药","教育家"
"沈枫芸","340108199409018195","云雾山村","13804543793","是","农林牧渔大类","三个月","否","无","莲宝路10号院附1号西西里酒店一层","物流","司机"
"韩蓉眉","340213199502019817","南龙村","15105260090","否","无","无","是","轮船","安宁庄后街路北1号","机械","电工"
"尹保","340223199608232731","砚冲村","13406413523","否","无","无","是","高铁","大望路东郎创意产业园","机械","细菌学家"
"乐叶","340608199706156950","曾家坳村","13101574503","否","无","无","是","火车","狼垡一村一条北口","电子信息","经纪人"
"韦思","340721199805117235","文明村","15802644530","是","资源环境与安全大类","四个月","否","无","呼家楼街道金汇路世界城","新能源","律师"
"唐林有","341809199601123177","望云山村","13908244753","是","财经商贸大类","四个月","否","无","新华西街60号院，万达金街A区A3-111","物流","飞行员"
"酆伯","341812199705187678","保和村","13801296194","否","无","无","是","飞机","地安门外大街127号","电子信息","美容师"
"何行时","341822199609291406","木梁村","13706191307","是","资源环境与安全大类","半年","否","无","甘露园南里25号尚街购物中心3层","法律","考古学家"
"奚晨辰","350607199804267845","游家桥村","15201203856","否","无","无","否","无","望京街道广顺北大街望京西园4区熊家城烤肉旁边","法律","指导员"
"费有","351224199804271554","冷溪山村","15902958928","否","无","无","否","无","霍营洋辣椒羊蝎子火锅对面","建筑","泥瓦匠"
"计叶","351310199505298385","洞下村","15902471098","否","无","无","是","大巴","大慧寺路18号","运输","指导员"
"罗巧","351621199505156625","叶家村","13000866204","是","土木建筑大类","五个月","是","火车","九渡河民俗村附近南街一条23号","金融","程式设计师"
"苗晨辰","360213199805292410","青花江村","15605860056","否","无","无","否","无","松曹路","建筑","音乐家"
"穆旭","360314199804115342","竹塘村","13900935254","否","无","无","是","火车","百子湾西里403号楼负一层","金融","音乐家"
"奚巧","360713199603174926","花桥村","15903608323","否","无","无","是","高铁","005乡道与平沿路交叉口旁","医药","公务员"
"费祥","360813199606059674","九龙湾村","15201496206","是","教育与体育大类","五个月","是","轮船","光华路15号伯豪瑞廷3层","纺织","诗人"
"周纯毓","360909199504091804","蔡花村","15308080546","是","公共管理与服务大类","四个月","否","无","朝阳北路水碓子社区南门","建筑","运动员"
"傅天","361304199508169144","洞下村","15507827287","否","无","无","否","无","北苑路108号","建筑","细菌学家"
"费广志","361707199605086814","太平洲村","15701632235","是","能源动力与材料大类","三个月","否","无","张坊镇大峪沟村九区23号","建筑","木匠"
"华善","361816199601205981","峡溪村","15600427610","否","无","无","否","无","永定镇冯村商业街四层","建筑","诗人"
"钱广志","370724199508067659","花路洲村","15706174744","是","轻工纺织大类","四个月","是","大巴","汽配城东门","法律","骨科医生"
"冯茜秋","370811199504229979","洞下村","15508685686","是","土木建筑大类","三个月","是","火车","芳园西路6号颐锦广场","金融","演奏家"
"雷先","371814199611021989","八一村","15007302520","否","无","无","否","无","红螺路芦庄村西口87号","新能源","推销员"
"陶良海","410115199408136513","九龙湾村","13903025996","否","无","无","是","高铁","良乡西潞北大街28号","运输","木匠"
"鲍豪","410604199603218621","新花园村","15603690704","是","食品药品与粮食大类","三个月","否","无","光华路15号伯豪瑞廷3层","法律","出纳员"
