"1","1411214","周口市税务局","5148632991","贾育可","221223215610587","上海市朝阳路八里庄东里1号莱锦a区3号楼03a","车行才","311019197706307970","13504567000","集体联营企业","文化、体育和娱乐业","增值税","2016/5/4","2016-05-04","直接申报","查验征收","2016/9/4","2016/11/12"
"2","1331526","湖州市税务局","2016693264","葛凝筠","510907158716342","北京市东直门内大街15-7号","薛敬士","520116199401308570","13006611229","其他有限责任公司","住宿和餐饮业","消费税","2015/12/25","2016-12-19","数据电文申报","查定征收","2016/6/20","2016/8/15"
"3","1221304","白城市税务局","3201686627","魏峰福","421105128211895","辽宁省鞍山市亦庄荣昌东街地铁站旁","汤育美","340214198401309820","13105027718","股份有限公司","科学研究和技术服务业","中央税、共享税的滞纳金、补税、罚款","2016/4/12","2017-04-07","数据电文申报","定期定额征收","2016/9/13","2016/12/19"
"4","1210906","本溪市税务局","3700418785","穆勇","620228117216703","重庆市石佛营路与朝阳北路交叉口西北角串通店内","成广","361801197005075289","13606210067","私营合伙企业","制造业","中央税、共享税的滞纳金、补税、罚款","2014/3/8","2014-03-08","数据电文申报","委托代征税款","2014/6/13","2014/8/30"
"5","1521609","遵义市税务局","9451245269","戚士","430608393116187","湖南省衡阳市大屯路华夏良子向东路口右转","江兰","421103198909155829","13806552853","外资企业","卫生和社会工作","消费税","2016/2/9","2016-02-09","直接申报","查验征收","2016/8/10","2016/11/7"
"6","1411226","开封市税务局","7775397100","潘霭","500623104512342","黑龙江省牡丹江市马连洼北路15号","郑纯荷","231501199609061773","15101940773","私营有限责任公司","国际组织","车辆购置税","2014/8/6","2014-08-06","数据电文申报","定期定额征收","2015/3/16","2015/6/27"
"7","1460701","三亚市税务局","2123983732","姜风","141605193511550","海南省三亚市黄村镇滨河街5号","柳宜滢","320523198007081855","15805725334","国有独资公司","金融业","证券交易税","2014/5/14","2015-05-09","数据电文申报","邮寄纳税","2014/6/17","2014/10/20"
"8","1531119","玉溪市税务局","1281797317","申广彪","641226305517566","上海市石佛营路与朝阳北路交叉口西北角串通店内","尹裕广","521415198207265008","13300117847","股份合作企业","采矿业","中央税、共享税的滞纳金、补税、罚款","2014/4/1","2014-04-01","直接申报","查账征收","2014/7/21","2014/10/4"
"9","1431015","岳阳市税务局","4042597030","米婷","331703304913843","黑龙江省鸡西市广安门外车站西街一号院底商","徐妹雁","310228199508213787","15800735651","外商投资股份有限公司","科学研究和技术服务业","消费税","2016/5/22","2017-05-17","简易申报","邮寄纳税","2016/10/20","2017/2/11"
"10","1121212","天津税务局","5261282662","祝柔芸","641503321611063","天津市欣宁街15号荟聚购物中心2楼","陈山","320127197902076264","13308021912","私营有限责任公司","公共管理、社会保障和社会组织","出口产品退税","2015/8/1","2015-08-01","数据电文申报","查定征收","2015/11/28","2016/1/29"
"11","1460902","三亚市税务局","7690081994","萧丹春","540921155316274","上海市朝阳路八里庄东里1号莱锦a区3号楼03a","卢素","371822199010229450","13207162014","股份合作企业","O 居民服务、修理和其他服务业","铁道、各银行总行、保险总公司集中缴纳的企业所得税和城市维护建设税","2016/4/27","2017-04-22","数据电文申报","邮寄纳税","2016/7/8","2016/10/8"
"12","1341016","亳州市税务局","2822966738","崔琳妹","411417165211583","山西省忻州市良乡镇北潞园小区","江承航","501519198806103330","13606954821","中外合资经营企业","公共管理、社会保障和社会组织","铁道、各银行总行、保险总公司集中缴纳的企业所得税和城市维护建设税","2014/12/28","2014-12-28","邮寄申报","邮寄纳税","2015/3/3","2015/4/20"
"13","1461625","海口市税务局","8401253141","童妍","220115243610287","重庆市春泽路与临泓路交叉口南行80米路西","屈哲","461413199802224462","13803619090","股份有限公司","公共管理、社会保障和社会组织","证券交易税","2014/10/15","2014-10-15","直接申报","查定征收","2015/3/28","2015/5/21"
