"1","黄泰诚","410213197706204726","天津市华远好天地商业中心37号楼3层301室","天津市华远好天地商业中心37号楼3层301室","屈顺鸣","360817197005214461","杜枫枝","110414199304041713","未按照规定期限申报办理纳税申报","湘潭市税务机关","对你单位应扣未扣个人所得税税款处1.1倍的罚款41140.00元","2014-03-07","湘潭市湘潭县地方税务局","湘潭市税务局"
"2","计锦","141318198407217820","四川省攀枝花市站前街8号院","四川省攀枝花市站前街8号院","袁亨","610627198103037593","曹琛","130628198003226966","未按照规定开具发票","沧州市税务机关","补缴教育费附加计286530.99元","2015-04-01","沧州市肃宁县地方税务局","沧州市税务局"
"3","蔡健","461419197507152565","重庆市文慧园西路内100米","重庆市文慧园西路内100米","段瑗","330204198006043632","沈羽妹","510111199304095873","未按照规定期限申报办理税务登记","鞍山市税务机关","对你单位未按规定申报缴纳的税款按日加收万分之五的滞纳金共计27043670.70元","2017-02-14","鞍山市立山区地方税务局","鞍山市税务局"
"4","车英育","310622197908294654","黑龙江省齐齐哈尔市民旺北胡同民旺园","黑龙江省齐齐哈尔市民旺北胡同民旺园","常永富","410604198611273031","孟桂芬","221505199606196488","未按照规定期限申报办理税务变更","鞍山市税务机关","补缴教育费附加计286530.99元","2013-06-27","鞍山市铁西区地方税务局","鞍山市税务局"
"5","穆敬","500106199609171434","天津市立汤路与立军路交汇处西南角","天津市立汤路与立军路交汇处西南角","甄瑗嘉","230702199003188119","宋冠武","441724198201087572","未按照规定期限申报办理税务登记","开封市税务机关","补缴2011年度企业所得税计133283286.83元","2012-04-26","开封市龙亭区地方税务局","开封市税务局"
"6","方馨","120310198208098565","广东省广州市毛纺西小区旁","广东省广州市毛纺西小区旁","韦真","130406197909014058","袁瑾锦","421827197205303972","未按照规定领购发票","阳泉市税务机关","补缴城市维护建设税计477551.67元","2013-10-23","阳泉市城区地方税务局","阳泉市税务局"
"7","熊希韵","360124197207274273","山西省忻州市百子湾桥西一百米路北","山西省忻州市百子湾桥西一百米路北","柳莎","411409199504218540","项山","610102197203226452","伪造发票","苏州市税务机关","补缴2011年度企业所得税计133283286.83元","2012-11-07","苏州市虎丘区地方税务局","苏州市税务局"
"8","廉固龙","441808198203089222","辽宁省本溪市良乡镇北潞园小区","辽宁省本溪市良乡镇北潞园小区","樊蓉倩","130413198703274285","苏素雪","411825198410015412","未按照规定期限代扣、代缴税款报告表和有关资料","合肥市税务机关","补缴2011年度企业所得税计133283286.83元","2012-03-13","合肥市肥西县地方税务局","合肥市税务局"
"9","邓纨","311406198608133017","云南省曲靖市南环路53号悦荟万科广场B1","云南省曲靖市南环路53号悦荟万科广场B1","戴玉","130506199512162795","邹冰娴","371520197004295252","未按照规定期限申报办理纳税申报","衡水市税务机关","补缴教育费附加计286530.99元","2015-10-28","衡水市武邑县地方税务局","衡水市税务局"
"10","汪武","220902199403191319","湖南省长沙市开放路113号南四层609室","湖南省长沙市开放路113号南四层609室","俞海富","210826198801269111","卫霞贞","440715199101155174","未按规定足额申报缴纳营业税金及附加","济南市税务机关","对你单位应扣未扣个人所得税税款处1.1倍的罚款41140.00元","2017-07-07","济南市历下区地方税务局","济南市税务局"
