"0","赣卫公罚 [2007] 070810号","江西省","执行完成","东港镇","秦老庄15组","顾磊民","110922197809146499","郑慧巧","361205197508058629","2006-08-11","2006-12-03","违法","2007-03-13","2007-05-12","2007-06-11"
"1","新卫公罚 [2016] 160510号","新疆维吾尔","执行完成","东港镇","葛沟4组","汪亮","431509197604166132","汪娜","461301197708111269","2014-11-13","2015-09-03","不违法","2015-12-12","2016-02-10","2016-03-11"
"2","津卫公罚 [2014] 140103号","天津市","已受理","双凤镇","葛沟10组","祝波宁","620804197612231836","马梦","110206197409076500","2012-09-18","2013-04-28","违法","2013-08-06","2013-10-05","2013-11-04"
"3","辽卫公罚 [2004] 040323号","辽宁省","执行中","季桥镇","周营20组","戚若鸣","371519197312124939","郎荔","411808197811297228","2002-09-23","2003-07-17","违法","2003-10-25","2003-12-24","2004-01-23"
"4","鄂卫公罚 [2016] 160109号","湖北省","执行完成","湖父镇","石门18组","方朗伯","220724197104152597","钱倩","371828197703021645","2014-05-20","2015-05-04","违法","2015-08-12","2015-10-11","2015-11-10"
"5","云卫公罚 [2009] 090408号","云南省","执行完成","湖父镇","北山16组","昌和","460617197010171558","禹育","461017197711088203","2008-01-24","2008-08-01","违法","2008-11-09","2009-01-08","2009-02-07"
"6","浙卫公罚 [2016] 160503号","浙江省","执行完成","宝堰镇","竹园沟24组","葛之","111105197806118152","谈佳嘉","331024198108054142","2015-02-27","2015-08-27","违法","2015-12-05","2016-02-03","2016-03-04"
"7","津卫公罚 [2007] 071229号","天津市","已受理","孟兴庄镇","余沟15组","曹志","121409197712217797","皮春菊","321821197410285089","2007-03-13","2007-04-23","违法","2007-08-01","2007-09-30","2007-10-30"
"8","湘卫公罚 [2006] 061101号","湖南省","执行完成","陈圩乡","周营18组","褚新","530710197812173953","阮瑗琰","330312197508309169","2005-11-07","2006-02-24","不违法","2006-06-04","2006-08-03","2006-09-02"
"9","辽卫公罚 [2012] 121003号","辽宁省","执行完成","西亭镇","寨沟7组","韦斌","151823197504228654","萧秀娟","371511197705219582","2011-01-31","2012-01-27","不违法","2012-05-06","2012-07-05","2012-08-04"
"10","津卫公罚 [2011] 110203号","天津市","已受理","双凤镇","裴庄18组","费新","430523197305293710","郎娴","620224198202222249","2010-04-22","2010-05-29","违法","2010-09-06","2010-11-05","2010-12-05"
"11","藏卫公罚 [2003] 030526号","西藏","执行完成","季桥镇","上店2组","乐以","230815197307169832","薛佳嘉","321327198108235421","2001-12-05","2002-09-18","不违法","2002-12-27","2003-02-25","2003-03-27"
"12","苏卫公罚 [2018] 181220号","江苏省","执行完成","曹庙乡","竹园5组","和朋斌","320905197906266871","邹芳","311506197805269463","2017-04-21","2018-04-14","不违法","2018-07-23","2018-09-21","2018-10-21"
"13","辽卫公罚 [2017] 171210号","辽宁省","执行完成","西亭镇","寺上11组","钱言","431817197205263856","宋倩","311126198109258441","2016-06-08","2017-04-04","违法","2017-07-13","2017-09-11","2017-10-11"
"14","鲁卫公罚 [2006] 060222号","山东省","已受理","东港镇","小草峪24组","伍仁","461718197703089372","尹玲","361727198201013204","2005-01-16","2005-06-17","不违法","2005-09-25","2005-11-24","2005-12-24"
"15","吉卫公罚 [2013] 131108号","吉林省","执行完成","鹿楼镇","竹园4组","褚若鸣","330302197303029616","顾凝晓","411823197910183421","2012-10-15","2013-03-03","不违法","2013-06-11","2013-08-10","2013-09-09"
"16","吉卫公罚 [2008] 081102号","吉林省","执行完成","白马镇","周营18组","毛时","530903197712278437","严可","450228197610289348","2007-05-26","2008-02-26","违法","2008-06-05","2008-08-04","2008-09-03"
"17","陕卫公罚 [2018] 180103号","陕西省","执行完成","双凤镇","葛沟7组","卜鸣","530418197510195299","施爽","221120198005311269","2016-08-20","2017-04-28","不违法","2017-08-06","2017-10-05","2017-11-04"
"18","鄂卫公罚 [2006] 060110号","湖北省","执行完成","湖父镇","石门22组","贺利清","630523197409189770","米素","620117198005217282","2005-04-01","2005-05-05","违法","2005-08-13","2005-10-12","2005-11-11"
"19","云卫公罚 [2017] 170710号","云南省","执行完成","白马镇","早行15组","鲍友裕","150426197912084236","梁菊","150720197905112343","2016-09-14","2016-11-02","违法","2017-02-10","2017-04-11","2017-05-11"
"20","粤卫公罚 [2005] 051121号","广东省","执行完成","白马镇","竹园沟10组","彭庆","210527197809144997","熊华","141523197809184126","2004-07-18","2005-03-16","违法","2005-06-24","2005-08-23","2005-09-22"
"21","青卫公罚 [2015] 150405号","青海省","执行完成","曹庙乡","竹园沟21组","席朗伯","131314197201052316","任娟","510621197509072661","2014-05-05","2014-07-29","违法","2014-11-06","2015-01-05","2015-02-04"
"22","渝卫公罚 [2008] 081226号","重庆市","执行完成","季桥镇","石门25组","米健世","620218197411104816","韦艺","650121197911159549","2008-03-25","2008-04-20","不违法","2008-07-29","2008-09-27","2008-10-27"
"23","贵卫公罚 [2012] 120130号","贵州省","已受理","王营镇","北沟4组","时奇","710428197506054612","李慧巧","460204197412077625","2011-04-09","2011-05-25","违法","2011-09-02","2011-11-01","2011-12-01"
"24","黑卫公罚 [2007] 070102号","黑龙江省","已受理","宝堰镇","余沟4组","唐家","541615197307081057","元咏卿","150614197609188342","2005-08-22","2006-04-27","违法","2006-08-05","2006-10-04","2006-11-03"
"25","青卫公罚 [2015] 150905号","青海省","执行完成","社渚镇","秦老庄12组","谈发","611107197902262674","屈爽","451824198110296305","2014-06-13","2014-12-29","不违法","2015-04-08","2015-06-07","2015-07-07"
"26","桂卫公罚 [2008] 081103号","广西壮族","执行完成","双凤镇","早行9组","酆邦","530804197009235052","俞珍贞","230119197504026620","2007-05-01","2008-02-27","违法","2008-06-06","2008-08-05","2008-09-04"
"27","浙卫公罚 [2013] 130626号","浙江省","执行中","东港镇","黑龙23组","庞波宁","340501197206093339","柳凤","640503197906114540","2012-03-14","2012-10-19","违法","2013-01-27","2013-03-28","2013-04-27"
"28","陕卫公罚 [2010] 100222号","陕西省","执行完成","白马镇","旬垛9组","贺岩中","711519197604041097","何英华","311601197803299648","2009-04-13","2009-06-17","违法","2009-09-25","2009-11-24","2009-12-24"
"29","湘卫公罚 [2003] 031022号","湖南省","执行中","城头乡","余沟12组","卜宁","540608197105121353","计飘育","220407197607094504","2003-02-05","2003-02-14","不违法","2003-05-25","2003-07-24","2003-08-23"
"30","鄂卫公罚 [2017] 170105号","湖北省","执行完成","双凤镇","黑龙1组","沈绍功","520815197402162733","伍姣","411502198007092504","2015-12-05","2016-04-30","违法","2016-08-08","2016-10-07","2016-11-06"
