"康永","110124199811046162","增光路55号紫玉饭店1-2楼","15801823560","上海复汇股份有限公司","城镇无业","2018-01-15","F012304393075","2018-11-18"
"祁仁","111706198509081555","富生路10号","15502976781","沈阳佳洪集团股份有限公司","城镇无业","2018-06-25","S026429893807","2019-03-07"
"伏斌","120222199105229240","大井桥南202号","15303381716","天津飞凯国际工程技术有限公司","城镇无业","2018-01-13","R007328944209","2019-04-09"
"奚珊莎","121005198805277314","新中街","13308254479","重庆浩通聚贸易有限公司","职工失业","2018-01-31","O095998688785","2019-02-26"
"姜维启","121107197711154734","北河沿大街159-2号","15703318497","成都富金春股份有限公司","职工失业","2018-07-30","G056617906990","2018-09-08"
"常凤","121318198501305922","丰台北路20号","15804637065","成都进吉洪物业管理有限公司","城镇无业","2018-09-29","L001418723000","2019-06-25"
"韩元全","121721198912187227","金宝街88号金宝汇购物中心5楼","15500151096","济南祥耀集团股份有限公司","城镇无业","2018-07-28","I023797359050","2019-05-14"
"余海","130125197612017654","太平桥路44号中青旅山水酒店1楼","13506206422","北京洪生集团股份有限公司","职工失业","2018-02-20","H006910401741","2018-10-01"
"金子","131027199103116411","南海家园一里17号楼三单元102","13508670154","厦门康百通建筑产业集团有限公司","职工失业","2018-07-01","H050185671589","2018-11-09"
"湛致树","131412199711296918","平房乡黄渠村甲106号","15608542383","天津本凯物业管理有限公司","城镇无业","2018-07-22","C003574612243","2019-05-14"
"平才发","131425197605128962","水闸路12号三家店西口车站","15500246942","天津凯汇多计装饰工程有限责任公司","职工失业","2018-11-27","S092320856160","2019-03-10"
"赵彬","131615198808215357","右安门内西街5号楼金碗勺东北菜院内","15807516903","深圳福富巨集团股份有限公司","职工失业","2018-08-17","G024131653556","2018-09-12"
"袁义兴","131722197310126001","安苑路与惠新北街交叉口西北角惠新北里3号楼","13206594385","重庆飞义高贸易有限公司","职工失业","2018-08-16","Q057545967191","2018-09-20"
"雷会思","131807197307033520","东长安街33号北京饭店C座7楼","13302730563","深圳利台房产经纪有限公司","职工失业","2018-02-02","S011000668248","2019-06-07"
"周宁欣","140110197104129488","芳草地西街11号小白楼","13100447919","杭州干捷咨询管理有限责任公司","城镇无业","2018-05-06","O093550869867","2018-12-30"
"孟兴","140228198709191148","朝凤路243号","15201881047","深圳中义股份有限公司","职工失业","2018-04-13","F046853284705","2019-01-19"
"马云莲","140710199308259659","大众公园","15501673129","成都康百通土石方工程有限公司","城镇无业","2018-09-26","R005345081010","2018-10-14"
"葛军","140912198506014928","万寿路西街61号","13004162343","济南台生益国际工程技术有限公司","职工失业","2018-05-23","S010047412323","2018-12-18"
"韦顺","141118198709128938","香山一棵松29号","13607082294","天津通满建筑产业集团有限公司","城镇无业","2018-02-12","R083744602286","2019-05-24"
"常伊亚","141125197308073718","紫芳路盛金鞋业","15607531251","南京吉兴益土石方工程有限公司","职工失业","2018-10-10","A019400011882","2019-05-19"
"窦柔","141316198412188576","紫竹院南路外文文化创意园","13203064097","深圳复汇环境建设股份有限公司","城镇无业","2018-09-25","N026974721111","2019-01-18"
"郑馨","141620198207017323","昌平西关北路北侧西关商贸楼7号","15104163452","重庆亨本同建筑产业集团有限公司","城镇无业","2018-07-26","O092674578198","2018-10-16"
"韩盛","141718197508151111","百子湾路16号后现代城14号楼A座404室","15201243510","南京瑞万百国际工程技术有限公司","城镇无业","2018-02-24","C088579211389","2019-04-09"
"陈建家","141811197110084749","康健胡同2号","13702777273","北京康宏环境建设股份有限公司","职工失业","2018-04-17","K083435228418","2019-06-04"
"常有","141827197012193847","东三环北路38号院 民生保险大厦3层","13903143936","天津祥耀集团股份有限公司","职工失业","2018-04-11","E044354119896","2019-03-22"
"沈霭","150905197403147234","十八里店南桥全聚德向西200米","15301237588","杭州全信房地产开发有限公司","城镇无业","2018-04-28","A062366777679","2019-02-12"
"酆和","151006198110015038","紫竹院路车道沟10号院","15208351011","杭州凯弘建筑装饰工程有限公司","城镇无业","2018-04-10","R082420345764","2019-02-11"
"和茜秋","151007197907087891","朝阳门北大街2号港澳中心酒店1楼","15600625175","济南源进房地产开发有限公司","城镇无业","2018-03-06","E010784927530","2018-03-11"
"蒋锦黛","151110197311106546","六道口清华东路25号","15800851932","厦门进安建筑装饰工程有限公司","职工失业","2018-07-31","A081287944365","2019-04-05"
"奚琼勤","151211197703098809","神路街39号","13801104751","南京千圣贸易有限公司","职工失业","2018-08-20","P052730073460","2019-03-06"
"湛江超","151809198911042628","东升镇西三旗昌临801号院18-17、18-18、18-19、18-20、18-21、18-22、18-23、18-24室","15006110016","北京同贵源国际工程技术有限公司","城镇无业","2018-09-17","M012074899786","2018-12-30"
"赵克伦","211013197102173359","新光天地北侧华贸公寓19号会所二层","13803816927","南京洪庆房地产开发有限公司","城镇无业","2018-05-29","R029803425085","2019-01-12"
"汤榕","211021197101035130","燕平路石油大学西门","13905106248","重庆瑞合皇股份有限公司","职工失业","2018-02-20","G085724466000","2019-04-27"
"谈翰","211226198008173614","中心一路神龙餐饮街神龙潼关底商","13306114768","厦门成同贸易有限公司","职工失业","2018-09-03","H062049576864","2019-02-10"
"严英华","211303199606167521","增光路55号紫玉饭店1-2楼","13701904840","大连宏鑫土石方工程有限公司","城镇无业","2018-11-26","F088327403919","2019-04-14"
"梁轮翰","211501197212274212","集美家居地下一层","15001211700","沈阳盛永国际工程技术有限公司","城镇无业","2018-09-29","H087371936428","2018-11-28"
"成彪博","211728199209255088","古北水镇小岭村10-2号","13400986902","重庆美辉土石方工程有限公司","城镇无业","2018-12-28","M066176308351","2019-03-11"
"冯博","220607197909184195","东直门外斜街察慈小区11号楼","15305950059","济南进安集团股份有限公司","职工失业","2018-08-25","B029563428901","2019-03-30"
"窦兴","220727199809193656","X024","13705546219","大连富金春计装饰工程有限责任公司","职工失业","2018-04-09","H040642822385","2018-12-21"
"邵亨奇","220827199812172589","慈云寺住邦2000二号楼湘彤美食城","15601850891","天津佳泰贵环境建设股份有限公司","城镇无业","2018-09-19","G027600694447","2019-05-26"
"傅彬","221007197305198899","十里堡地铁站D西南口西150米","15301387112","杭州光信房地产开发有限公司","职工失业","2018-01-27","R069949828233","2018-05-29"
"韦盛","221621198411043683","和平里七区三十号楼1号底商","13804337182","天津安生计装饰工程有限责任公司","职工失业","2018-06-23","R025935499355","2019-05-29"
"卜悦昭","230908198306061993","亚运村大屯路金泉家园西门6号楼104室","15705632897","北京金润贸易有限公司","职工失业","2018-01-22","M044129454293","2018-06-19"
"戴莉桂","230911197007191354","鲁谷南路半月园公园西侧","15805642574","天津丰巨土石方工程有限公司","职工失业","2018-03-02","J012176680518","2019-04-07"
"罗伟刚","231807199305065454","地坛医院南门对面","15607322494","上海裕茂计装饰工程有限责任公司","职工失业","2018-09-06","D034843556103","2018-11-10"
"朱良海","310401198104299058","后海南沿丁1号","13401867354","济南丰正恒建筑产业集团有限公司","城镇无业","2018-10-07","L050286059520","2019-06-03"
"沈苑","310524198902154775","大井桥南202号","13202157246","济南同贵源房产经纪有限公司","职工失业","2018-08-20","Q036811355484","2019-03-20"
"穆梁栋","311014197903198829","北苑南路京通罗斯福广场地下一层","13207531664","南京巨弘同咨询管理有限责任公司","职工失业","2018-07-19","R013545516195","2018-10-15"
