"1","历城区委员会支部委员会","杨君瑞","710106199112144009","中共党员","024-37558691","15601841640","2000-05-18"
"2","巴南区委员会支部委员会","熊姬","210715199701021885","共青团员","","15503710587","2011-12-25"
"3","兴宁区委员会支部委员会","米珠晓","510510199408214293","共青团员","0536-54478277","13608256264","2011-11-12"
"4","中山区委员会支部委员会","严静","341114199707085662","共青团员","","13903426822","2012-01-17"
"5","杨浦区委员会支部委员会","廉宁若","421216198912267981","共青团员","","13408208736","2011-10-23"
"6","莱城区委员会支部委员会","严雁梅","220126197604123653","中共党员","0731-83594175","15808491277","2002-02-17"
"7","拱墅区委员会支部委员会","季晶","230312198908057541","中共党员","0523-22664827","13400367172","2005-03-30"
"8","郊区委员会支部委员会","梅琴","440409197804133315","共青团员","0356-57126079","13207656659","2012-12-07"
"9","古冶区委员会支部委员会","鲁宁红","640917199501138819","中共党员","0701-28419852","13606254009","2008-03-10"
"10","城区委员会支部委员会","秦露","151811199209228931","中共党员","0415-30135586","15607926738","2001-06-15"
"11","路北区委员会支部委员会","高嘉","211425197401098115","共青团员","0598-46498810","13603544849","2010-12-13"
"12","白云区委员会支部委员会","尹利","440213198612221038","中共党员","0312-23733824","13201525816","2008-11-10"
"13","大渡口区委员会支部委员会","阮飘","441620197002181930","中共党员","","15602295587","2004-08-23"
"14","成华区委员会支部委员会","凌兰瑞","231618199001306182","中共党员","","15205096439","2000-10-13"
"15","红桥区委员会支部委员会","皮彬","530322198307031230","共青团员","0738-87116123","13007760893","2013-09-13"
"16","顺德区委员会支部委员会","卜馥","511305199003153085","共青团员","0738-67063218","15001504020","2013-08-03"
"17","头屯河区委员会支部委员会","蒋功中","521517198211148061","中共党员","","15204261664","2000-11-28"
"18","上甘岭区委员会支部委员会","吕仁","611808198302119108","共青团员","","13004858666","2011-04-12"
"19","镇海区委员会支部委员会","左以弘","621124197208195700","中共党员","0731-11967944","15705885660","2006-09-11"
"20","雨花区委员会支部委员会","何菲","360804199005022383","中共党员","","13806746521","1999-12-20"
"21","石龙区委员会支部委员会","蒋秀晓","641510197410031492","共青团员","021-50376937","15102387232","2010-09-10"
"22","天山区委员会支部委员会","柯佳菲","620315197803098205","中共党员","","15703958816","2004-08-01"
"23","石龙区委员会支部委员会","叶世","121520199112109841","中共党员","0575-98275817","15801982601","2002-04-02"
"24","和平区委员会支部委员会","朱琰","110706198405276031","中共党员","","13608578612","2007-07-18"
"25","六合区委员会支部委员会","娄枝园","620925199303287313","共青团员","","15605026813","2012-05-31"
"26","南岳区委员会支部委员会","戴海冠","450911197105195216","共青团员","0531-91019190","13100605373","2010-06-02"
