"康爽","110103197803123047","安苑路安苑东里一区4号","13108342875","猪","方庄南路157号"
"成晶妍","110202199607122217","安泰大街中粮祥云小镇九号院九号楼303室","13806364453","牛","朝阳路八里庄东里1号A区112A"
"傅波宁","110210198710192326","宋庄路67号首开福茂3层","15704746572","猪","马池口亭子庄村亭百路北口"
"汤强军","110411199307211804","望京街道广顺南大街望京园A1区610号楼底商109","15105325602","牛","和平街11区3号楼"
"章俊峰","111009197803245152","新中街","13604197243","鸡","北新桥头条9号"
"施达安","111309199409133540","南长街38号","13902273558","羊","北苑路甲78号北卫家园16号"
"安叶","120221198206033269","八里庄南里","15003723810","鸭","东三旗回南路邮局向东450米"
"平信子","120507199209138674","宋翟路","13800488157","鸭","光彩路彩虹城四区门口"
"贝环","120909199103225742","前门煤市街排子胡同17号","15007542888","羊","东升科技园西小口66号东升凯莱酒店"
"鲍炎德","120927199607033008","工人体育场东路20号春平购物广场底商1层","15006004668","鹅","南新园中路106号"
"萧松善","121016198312239794","东大街20号","15000467849","羊","行宫街59号"
"秦克伦","130212197207165101","京加路雁西湖北金隅水泥厂对面","13803670405","鸡","靛厂路中段"
"康绍功","130407197508221036","洋桥北西罗园4区甲20号楼北","15501721071","牛","中关村大街18号中关村科技贸易中心8层03、05、06号"
"褚群豪","130410197302286335","崔各庄马泉营一区","15005784334","鹅","阜通东大街花家地30号楼"
"傅美娜","130609198604082200","狼垡一村一条北口","15708477072","羊","四惠桥东南岸1号西店村35栋底商"
"蒋美娜","131109199006157869","东直门外大街胡家园小区23号","15802006264","猪","王府井大街301号新燕莎金街购物广场7层MF705-706"
"邹丹","131618197501305487","交大东路31号院6号楼西侧胡同里","15608471844","鹅","万泉河路68号紫金庄园9号楼东5门一层-5"
"成茗","131721197401184595","北土城西路（瑞洁加油站西侧）和木TheHome私厨","13404981198","猪","金台里甲15号万惠商场3楼"
"穆华","140101197911012842","北七家镇定泗路88号888幢，东方普罗旺斯商业街","15901810852","羊","顺平路"
"尹毓","140126199902048120","恒惠路建外SOHO西区11号楼1109室","15907494336","鸡","大灰厂东路西50米"
"冯海","140221199008258938","北海公园北门内九龙壁前","15205842101","羊","中关村大街15-3号"
"孙龙","140224198301127051","西田各庄镇牛盆峪村村北200米","13000783704","鸡","方庄芳古园一区24号楼底商"
"康轮翰","140312199211137734","七圣中街12号院爱琴海购物中心五层","15807049059","鸭","沿河景观路47-4号"
"吕振壮","140618199209188276","天坛路55-1号","15600407376","鹅","金融大街甲9号金融街中心3层"
"卜贵福","150215197009094806","东四五条139号","15208864614","牛","十八里店横街子16号"
"窦杰涛","150505197206281063","玉带河东街西上园南门对面","13406726715","猪","霍营洋辣椒羊蝎子火锅对面"
"花辉力","150803199103293607","金地格林格林","13907060939","牛","东直门内大街144号"
"凤星","151619198201245188","湖景东路新奥购物中心东A口","13002405552","猪","亦庄经济技术开发区天宝南街上海沙龙商业街"
"薛巧","151720198504111123","西牛角胡同1号","15200072542","牛","芍药居对外经贸大学东门向北100米"
"宋霄","151725197101067367","东大街20号","13702110755","牛","太平桥路44号中青旅山水酒店1楼"
