"1","宝丰县殡仪馆","宝丰县商酒务镇焦楼村北一公里","周博","440512192405098569","","15302837253","2016-03-23"
"2","宁陵县殡仪馆","宁陵县宁阳路21号","申飞","610581196306269572","","15002554830","2009-12-20"
"3","黄陂区殡葬管理所（殡仪馆）","黄陂区前川街全兴路48号","计榕政","621202194908265117","","15500766185","2015-12-12"
"4","温 县殡仪馆","温县黄庄镇四号角","童安敬","340123196706283185","","15108517301","2013-02-06"
"5","商丘市殡仪馆","商丘市平原路与黄河路交叉口北50米","吴敬朋","220622196804196118","吉林省四平市开放路113号南四层609室","13502827875","2013-07-10"
"6","原阳县殡仪馆","原阳县福宁集镇小吴庄村东","姜亮","350723194309276991","重庆市广顺北大街六佰本商业街","15706796295","2009-12-09"
"7","封丘县殡仪馆","封丘县鲁岗镇郭产角村南","司娴","330411194110041174","","13400723390","2009-09-22"
"8","汉口殡仪馆","黄陂区滠口街枫橡咀村(天阳路)","毛舒兰","410224192408314894","广东省广州市广顺北大街六佰本商业街","15007242755","2014-12-29"
"9","安阳县殡仪馆","安阳县韩陵镇政府东200米路南","韩康","820000193505068558","","13807215439","2016-01-13"
"10","民权县殡仪馆","民权县滨河路北段","宋岚","520112192306075856","","13305212678","2010-03-03"
"11","睢 县殡仪馆","睢县平安驾校北200米路西","乐乐","440512197605104508","","15507360374","2010-11-10"
"12","鹿邑县殡仪馆","鹿邑县生铁冢黄台行政村八里堂自然村西500米","季琬秀","361102194004223227","天津市丽园路彩虹新城小区","15104243844","2011-02-25"
"13","潢川县殡仪馆","潢川县弋阳街道七里岗村","龚荔欣","370202195306217888","上海市机场生活区西平街一号","13308157998","2014-06-01"
"14","渑池县殡仪馆","渑池县仰韶镇高村","霍振","410421193511127302","上海市回龙观镇北清路1号院8号楼","13301614474","2012-06-10"
"15","宜阳县殡仪馆","宜阳县盐镇乡贾院村","叶凡梅","211200197101258786","天津市马连洼北路15号","13700585247","2015-01-27"
"16","顺德区殡仪馆","大良街道金沙大道3号","童荔","652123192901105176","上海市神路街39号","13702218551","2013-05-20"
"17","遂平县殡仪馆","灈阳大道1号","余寒","530902194404176941","陕西省渭南市河荫中路3号","15905105023","2015-04-18"
