"1","株洲市亲和力旅游国际旅行社有限公司","范辉克","130112197112019419","河北省邯郸市","北京市兴体良体育用品有限公司","镇江市句容茅山景区-宜昌市长阳清江画廊景区-安徽省六安市万佛湖景区","镇江","15800612299","安徽省六安","2016-06-23","2016-07-01","1108159663652"
"2","西安凯莱国际旅行社有限公司","卓兰凡","340305199606067421","安徽省合肥市","北京天澄玻璃钢有限公司","丽江市丽江古城景区-厦门市鼓浪屿风景名胜区-嘉峪关市嘉峪关文物景区-北京市颐和园","丽江","13708176211","北京","2015-04-14","2015-04-20","6312252816232"
"3","	北京青年旅行社股份有限公司","张鸣心","410120197006273832","河南省开封市","佐敦涂料(张家港)有限公司","苏州市吴中太湖旅游区-拉萨布达拉宫景区-无锡市灵山景区","苏州","15306711953","无锡","2016-05-23","2016-05-25","3508023371805"
"4","西安新旅国际旅行社有限责任公司","董义","121109198310013010","天津市","四川东进节能玻璃有限公司","浙江省杭州市西溪湿地旅游区-南阳市西峡伏牛山老界岭·恐龙遗址园旅游区-厦门市鼓浪屿风景名胜区-安徽省黄山市皖南古村落—西递宏村-武汉市黄鹤楼公园","浙江省杭州","15505134849","武汉","2015-04-03","2015-04-13","6115147538817"
"5","江西省赣中旅国际旅行社有限公司","童文","350323197209236517","福建省三明市","夏氏兄弟风机经营部","承德市避暑山庄及周围寺庙景区-河北省石家庄市西柏坡景区-深圳市观澜湖休闲旅游区-陕西西安市大雁塔·大唐芙蓉园景区-河北省石家庄市西柏坡景区","承德","15004134885","河北省石家庄","2015-04-13","2015-04-23","1509277306423"
"6","杭州天翼旅行社有限公司","鲁馨枫","411721199504087645","河南省三门峡市","北京广建振业空调设备有限公司","景德镇市古窑民俗博览区-湖北省十堰市武当山风景区-承德市避暑山庄及周围寺庙景区-北京市明十三陵景区","景德镇","15205412466","北京","2015-10-24","2015-11-01","4509225964935"
"7","山西新华国际旅行社有限公司","万雪","610910199710228417","陕西省咸阳市","大连众恒电力电子有限公司","黄山市古徽州文化旅游区-南省邵阳市崀山景区-平凉市崆峒山风景名胜区-南通市濠河景区-山东省潍坊市青州古城旅游区","黄山","15205141718","山东省潍坊","2014-10-07","2014-10-12","2217084939842"
"8","深圳市康辉旅行社有限公司世金营业部","黄娥","611705199509013774","陕西省西安市","天津弘道志远商贸有限公司","金华市东阳横店影视城景区-江西省鹰潭市龙虎山旅游景区-伊春市汤旺河林海奇石景区","金华","15505012188","伊春","2016-04-15","2016-04-22","5005030113133"
"9","中国国旅（厦门）国际旅行社有限公司","倪春茗","500310198203224864","重庆市","成都市三清木塑新材料有限公司","厦门市鼓浪屿风景名胜区-山西晋城市皇城相府生态文化旅游区-河北省石家庄市西柏坡景区-常州市环球恐龙城休闲旅游区","厦门","13006908991","常州","2014-08-01","2014-08-04","3708163168326"
"10","河南省中国青年旅行社","郝坚","431405199107257889","湖南省永州市","北京海华建达科技发展有限公司","台州市神仙居景区-辽宁省鞍山市千山景区-西宁市塔尔寺景区-湖南省长沙市岳麓山·橘子洲旅游区-北京市故宫博物院","台州","13606456747","北京","2015-05-29","2015-06-04","8118214419040"
