"台州市椒江区陶瓷制品有限公司","百子湾巴音食坊旁边","131°48′E","49°51′N","卫武新","13605314309","陶瓷制品","A类","小型项目","陶瓷","1369","5679","万件","电力","5969","万千瓦时","0.975%"
"衢州市龙游县植物油加工有限公司","雁栖镇北台上路边牌楼下","117°55′E","19°39′N","蒋朋斌","13200736758","植物油加工","B类","大型项目","植物油","2394","4259","吨","天然气","6114","万立方米","0.815%"
"宁波市鄞州区火力发电有限公司","甜水园北里1号楼东半侧的西侧一层","82°21′E","38°29′N","费明永","13403250866","火力发电","A类","中型项目","电力","2134","3101","万千瓦时","电力","5277","万千瓦时","0.518%"
"嘉兴市秀洲区天然气开采业有限公司","雍和宫大街155号","130°13′E","27°59′N","郝永","13501720526","天然气开采业","B类","大型项目","天然气","2172","1461","万立方米","电力","6629","万千瓦时","0.705%"
"宁波市海曙区烟草有限公司","松榆南路36号","118°33′E","5°21′N","杨会思","15507684955","烟草","C类","大型项目","烟草","3011","2021","吨","煤炭","5076","吨","0.620%"
"杭州市萧山区水泥制造有限公司","天通苑国泰东三区2号楼","100°19′E","9°12′N","李晨辰","15001771575","水泥制造","C类","中型项目","水泥","5100","4905","吨","电力","3052","万千瓦时","0.134%"
"杭州市下城区纤维板制造有限公司","梨园南路与九棵树东路交口东北角","92°4′E","8°54′N","薛子","15300860209","纤维板制造","A类","中型项目","纤维板","5641","2938","万件","电力","3485","万千瓦时","0.398%"
"嘉兴市南湖区印刷有限公司","学清路58同城大楼D门内","114°31′E","7°36′N","殷友裕","13305518491","印刷","B类","中型项目","书","6498","5234","吨","电力","2314","万千瓦时","0.060%"
"潮州市德清县水泥制造有限公司","皇木厂路3号院","76°47′E","27°24′N","康时","13502135339","水泥制造","A类","中型项目","水泥","4306","6009","吨","煤炭","3317","吨","0.198%"
"宁波市北仑区烟草有限公司","京原路7号","110°46′E","22°53′N","和彩","15207072856","烟草","A类","中型项目","烟草","6313","2301","吨","煤炭","6278","吨","0.040%"
"绍兴市新昌县火力发电有限公司","玉桥中路106号","133°53′E","39°55′N","熊振壮","13800136832","火力发电","A类","中型项目","电力","2926","3179","万千瓦时","电力","1873","万千瓦时","0.335%"
"温州市永嘉县啤酒制造有限公司","怀北镇椴树岭村黄土梁10号云蒙山附近","104°12′E","9°45′N","任璐","13107792186","啤酒制造","C类","小型项目","啤酒","2378","4379","吨","天然气","1841","万立方米","0.750%"
"嘉兴市海盐县纤维板制造有限公司","沿河景观路76-1号","131°40′E","22°15′N","苏成","15508851196","纤维板制造","B类","大型项目","纤维板","3783","3486","万件","煤炭","5930","吨","0.983%"
"嘉兴市嘉善县制药有限公司","东关新村abc英语幼儿园对面一层","110°48′E","23°40′N","姜启","13701658577","制药","B类","小型项目","药物","6117","2296","吨","电力","1180","万千瓦时","0.376%"
"嘉兴市南湖区水泥制造有限公司","圆明园东门","98°5′E","49°39′N","纪祥","13307016267","水泥制造","C类","小型项目","水泥","4147","5837","吨","煤炭","5924","吨","0.704%"
"台州市路桥区陶瓷制品有限公司","东华门大街91号","88°18′E","3°23′N","陶亚","15608824923","陶瓷制品","C类","小型项目","陶瓷","3056","5238","万件","电力","6355","万千瓦时","0.449%"
"金华市武义县烟草有限公司","月坛北街和三里河东路路口西北角","128°31′E","48°53′N","倪元全","15702003538","烟草","A类","大型项目","烟草","6972","4681","吨","煤炭","1480","吨","0.319%"
"绍兴市上虞区植物油加工有限公司","百子湾南二路百子园后现代城D区16号楼底商","114°53′E","14°33′N","毛涛","13608837291","植物油加工","A类","中型项目","植物油","3713","4726","吨","天然气","1460","万立方米","0.998%"
"宁波市镇海区印刷有限公司","安泰大街9号院11号楼108号","128°14′E","36°22′N","华福","15708773191","印刷","C类","大型项目","书","4886","5808","吨","电力","1759","万千瓦时","0.101%"
"杭州市建德市啤酒制造有限公司","闹市口大街35号","82°46′E","40°19′N","伏谦","15508882290","啤酒制造","C类","大型项目","啤酒","4020","2810","吨","煤炭","4290","吨","0.098%"
"杭州市建德市烟草有限公司","湖景东路新奥购物中心东A口","110°55′E","13°57′N","史娣叶","13002997226","烟草","B类","中型项目","烟草","1960","2235","吨","煤炭","2995","吨","0.526%"
"宁波市江北区纤维板制造有限公司","严正街16-2号国广公寓","124°27′E","32°55′N","韦翰","15105850948","纤维板制造","C类","中型项目","纤维板","1558","4163","万件","煤炭","4318","吨","0.174%"
"台州市三门县火力发电有限公司","新光天地北侧华贸公寓19号会所二层","131°32′E","15°34′N","贺栋","13707353236","火力发电","C类","大型项目","电力","6696","5786","万千瓦时","天然气","3395","万立方米","0.023%"
"温州市永嘉县纤维板制造有限公司","四惠桥东南岸1号西店村35栋底商","92°49′E","11°33′N","孔瑾颖","15602016087","纤维板制造","B类","大型项目","纤维板","5655","2148","万件","煤炭","6901","吨","0.651%"
"杭州市淳安县啤酒制造有限公司","广顺北大街33号福码大厦B座2楼","125°42′E","30°23′N","屈斌","15101745355","啤酒制造","B类","大型项目","啤酒","3111","3489","吨","电力","3883","万千瓦时","0.489%"
"台州市路桥区陶瓷制品有限公司","安贞路安贞西里五区1号楼1层101室","103°48′E","22°47′N","皮晨辰","13205911876","陶瓷制品","A类","小型项目","陶瓷","1396","1605","万件","天然气","5469","万立方米","0.803%"
"温州市洞头区毛纺织有限公司","望京地铁站a口","77°50′E","40°58′N","宋咏卿","15607256491","毛纺织","C类","中型项目","羊毛","2276","5026","吨","天然气","6713","万立方米","0.495%"
"杭州市西湖区啤酒制造有限公司","旧鼓楼大街51号","107°48′E","30°12′N","郎峰","15005513684","啤酒制造","A类","中型项目","啤酒","2441","2077","吨","电力","3432","万千瓦时","0.891%"
"宁波市奉化区陶瓷制品有限公司","X024","118°59′E","6°40′N","俞广志","13403448512","陶瓷制品","B类","中型项目","陶瓷","6220","2443","万件","电力","1594","万千瓦时","0.445%"
"金华市金东区毛纺织有限公司","咸宁候村启明星双语幼儿园对面","84°47′E","11°29′N","贺香","13900458467","毛纺织","A类","中型项目","羊毛","2961","6265","吨","煤炭","5459","吨","0.949%"
"杭州市桐庐县烟草有限公司","三里河东路5号中商大厦B1楼","76°53′E","29°54′N","庞心邦","15906818152","烟草","C类","大型项目","烟草","1344","2656","吨","煤炭","1732","吨","0.137%"
"温州市鹿城区啤酒制造有限公司","甜水园东街7号","81°9′E","43°33′N","奚光天","15004906672","啤酒制造","B类","小型项目","啤酒","2795","5900","吨","天然气","6738","万立方米","0.806%"
"嘉兴市南湖区纤维板制造有限公司","新源西里中街","123°25′E","11°44′N","宋国胜","13900930655","纤维板制造","C类","大型项目","纤维板","1775","2426","万件","煤炭","1528","吨","0.454%"
"金华市武义县印刷有限公司","劲松八区805号","105°29′E","42°3′N","水青倩","13805820522","印刷","A类","小型项目","书","4778","6757","吨","煤炭","1489","吨","0.193%"
"温州市洞头区毛纺织有限公司","马家堡东路106号院1号楼","96°39′E","9°8′N","吕东文","15906131768","毛纺织","B类","中型项目","羊毛","1812","4623","吨","电力","4317","万千瓦时","0.169%"
"杭州市余杭区毛纺织有限公司","怀柔镇大中富乐村182号","93°16′E","47°41′N","史鹏泽","13905663138","毛纺织","C类","大型项目","羊毛","2904","6422","吨","天然气","3369","万立方米","0.039%"
"宁波市镇海区电子元件及组件制造有限公司","南三环中路小铁匠营10号恒松园小区1层南","115°56′E","14°59′N","邵怡婵","15101559061","电子元件及组件制造","C类","大型项目","电子元件","6413","2236","吨","天然气","4869","万立方米","0.067%"
"温州市永嘉县火力发电有限公司","新街口东街西口新百商场北侧","110°19′E","23°6′N","和丹","15105594297","火力发电","A类","大型项目","电力","4761","3510","万千瓦时","电力","6720","万千瓦时","0.298%"
"温州市永嘉县毛纺织有限公司","四季青镇北坞村西侧北坞嘉园北里A地块公建B27#3层3-7轴","86°14′E","28°48′N","许发","15200637826","毛纺织","C类","大型项目","羊毛","6505","6761","吨","煤炭","1418","吨","0.868%"
"杭州市萧山区毛纺织有限公司","半步桥街14号","114°11′E","32°22′N","穆星","13300500130","毛纺织","B类","大型项目","羊毛","3593","4993","吨","煤炭","2239","吨","0.902%"
