"120105200012212651","成不索","2000/12/21","女","汉族","天津天津市","天津天津市静海县西翟庄镇
","高中","18370068005","天津天津市","天津天津市北辰区普东街道
","未通过","混闹型","生活待遇"
"120112196107291932","卞素很","1961/7/29","女","汉族","北京北京市","北京北京市朝阳区左家庄街道
","初中","14762089282","河北石家庄市","河北石家庄市灵寿县北谭庄乡
","未通过","参政型","生活待遇"
"130202197306211316","鲍珍血","1973/6/21","男","藏族","天津天津市","天津天津市武清区东马圈镇
","博士","15966007084","河北石家庄市","河北石家庄市新华区杜北乡
","受理中","咨询型","拆迁补偿与住房保障"
"130323195002171720","施戴和","1950/2/17","男","汉族","天津天津市","天津天津市南开区广开街道
","初中","13079336283","北京北京市","北京北京市怀柔区琉璃庙镇
","受理中","参政型","劳动和社会保障"
"130425199202271749","禹诺师","1992/2/27","男","汉族","天津天津市","天津天津市和平区体育馆街道
","高中","13239618619","北京北京市","北京北京市东城区东四街道
","待审核","从众型","拆迁补偿与住房保障"
"130501199608272957","何受牛","1996/8/27","男","汉族","北京北京市","北京北京市平谷区滨河街道
","无","13115402501","河北石家庄市","河北石家庄市新乐市东王镇
","未通过","维权型","城市建设与管理"
"130502199802031045","邵典静","1998/2/3","男","汉族","河北石家庄市","河北石家庄市正定县北早现乡
","初中","15994279856","河北石家庄市","河北石家庄市长安区广安街道
","受理中","参政型","城市建设与管理"
"130722199601291315","穆录承","1996/1/29","男","壮族","河北石家庄市","河北石家庄市行唐县只里乡
","小学","13230324031","河北石家庄市","河北石家庄市藁城市南孟镇
","待审核","咨询型","行政执法与行业服务"
"130730197504181659","邬推置","1975/4/18","女","汉族","河北石家庄市","河北石家庄市晋州市周家庄乡
","初中","14737337286","天津天津市","天津天津市西青区辛口镇
","待审核","诬陷型","行政执法与行业服务"
"130804195708092619","昌嘴然","1957/8/9","男","汉族","河北石家庄市","河北石家庄市辛集市田家庄乡
","硕士","13771198802","河北石家庄市","河北石家庄市正定县新城铺镇
","未通过","维权型","城市建设与管理"
"13092519920810114X","郑利什","1992/8/10","男","汉族","天津天津市","天津天津市蓟县孙各庄乡
","高中","17225124402","天津天津市","天津天津市蓟县礼明庄镇
","待审核","诬陷型","其它"
"130927195211151353","郑分城","1952/11/15","男","蒙古族","河北石家庄市","河北石家庄市新乐市杜固镇
","初中","18028880652","天津天津市","天津天津市河北区江都路街道
","受理完成","咨询型","安全、生产与环境保护"
"131102195306091146","罗祖杰","1953/6/9","男","汉族","天津天津市","天津天津市河西区梅江街道
","小学","15359208237","天津天津市","天津天津市和平区南营门街道
","待审核","从众型","安全、生产与环境保护"
"131102199404021000","臧意广","1994/4/2","女","汉族","天津天津市","天津天津市津南区双桥河镇
","初中","15118672450","天津天津市","天津天津市河西区越秀路街道
","受理完成","咨询型","山林土地权属纠纷"
"131127197509121663","吴买参","1975/9/12","女","汉族","北京北京市","北京北京市东城区永定门外街道
","初中","15528646710","北京北京市","北京北京市延庆县康庄镇
","未通过","维权型","涉法涉诉"
