"滕琦","110126198803076088","门头沟冯村商业街2068号","102","鼎尚建筑公司","云玉","511407197403081571","朝阳北路水碓子社区南门","2019-04-19","违章建筑","提供安置过渡房","提供安置补贴"
"平鹏泽","110303199201185974","悦秀路物美大卖场二层","173","贵鹏建筑公司","李茜秋","711609198101148430","芦花路44号","2019-03-26","政府工程","提供安置过渡房","提供安置补贴"
"朱良海","110402198908308881","阜成门内大街97号","184","盛鑫建筑公司","施璧璐","441010199104171089","金业大街玺莲水果蔬菜超市旁","2019-04-27","政府工程","提供安置过渡房","提供安置补贴"
"韦国胜","110421198704062330","皇木厂路3号院","115","坤勇建筑公司","卞菊","221625199306158789","东四东四十条22号南新仓谷A16号","2019-05-03","城镇扩建","提供安置过渡房","提供安置补贴"
"明士以","110423197612205782","大角生活广场《瑞成广场》南门一层","145","坪垚建筑公司","蒋邦","371228198007246375","安贞路安贞西里五区1号楼1层101室","2019-03-09","政府工程","提供安置过渡房","提供安置补贴"
"郝绍功","111401198601235235","东大街20号","178","鼎尚建筑公司","云玉","511407197403081571","朝阳北路水碓子社区南门","2019-05-28","商业需求","提供安置过渡房","提供安置补贴"
"唐峰","111824196908301045","冯村华润置地puls365二楼207室","118","宇鸿建筑公司","席浩亮","321423197208147957","德胜门外大街乙11号","2019-04-18","城镇扩建","提供安置过渡房","提供安置补贴"
"陈奇","120115197110305319","亮马桥东方东路官舍南区二层F206","122","建德建筑公司","周冠","340410198502231050","北苑路甲78号北卫家园16号","2019-04-10","政府工程","提供安置过渡房","提供安置补贴"
"阮中","120124198907141407","开放路劳动大厦东100米","144","坤勇建筑公司","卞菊","221625199306158789","东四东四十条22号南新仓谷A16号","2019-03-24","政府工程","提供安置过渡房","提供安置补贴"
"章榕","120512199803134322","上下营路镇营罗镇中心卫生院对面","95","坪垚建筑公司","蒋邦","371228198007246375","安贞路安贞西里五区1号楼1层101室","2019-06-16","商业需求","提供安置过渡房","提供安置补贴"
"傅之","120717198705112894","鼎好大厦","96","大诚建筑公司","贺致树","130928199104136919","北三环中路36号,双福家园边(金凤呈祥)","2019-06-22","商业需求","提供安置过渡房","提供安置补贴"
"卫永","120912198507289402","京加路怀北庄村国科大学北门北行200米路东","115","建德建筑公司","周冠","340410198502231050","北苑路甲78号北卫家园16号","2019-06-14","商业需求","提供安置过渡房","提供安置补贴"
"康枫芸","121301198307236331","旧鼓楼大街甲3号","140","建德建筑公司","周冠","340410198502231050","北苑路甲78号北卫家园16号","2019-05-28","违章建筑","提供安置过渡房","提供安置补贴"
"殷树","121408196911055525","清河中街68号华润五彩城购物中心西区4层","103","伟辰建筑公司","鲍凡","141525199006094109","安宁庄村南河大楼东2幢2号平房","2019-04-08","政府工程","提供安置过渡房","提供安置补贴"
"马雪荣","130217197312292314","阜成路白堆子地铁口C口","166","贵鹏建筑公司","李茜秋","711609198101148430","芦花路44号","2019-03-10","违章建筑","提供安置过渡房","提供安置补贴"
"和爱妹","130526197510093094","红螺寺路3号院（867路总站）旁","162","盛鑫建筑公司","施璧璐","441010199104171089","金业大街玺莲水果蔬菜超市旁","2019-05-23","政府工程","提供安置过渡房","提供安置补贴"
"施林有","130709199705039507","展览馆路3号","120","伟辰建筑公司","鲍凡","141525199006094109","安宁庄村南河大楼东2幢2号平房","2019-04-23","商业需求","提供安置过渡房","提供安置补贴"
"乐栋","131003198103207596","鲁谷路台湾街2号","124","伟辰建筑公司","鲍凡","141525199006094109","安宁庄村南河大楼东2幢2号平房","2019-06-17","政府工程","提供安置过渡房","提供安置补贴"
"华生龙","131505199308284345","中关村南大街乙12号","147","伟辰建筑公司","鲍凡","141525199006094109","安宁庄村南河大楼东2幢2号平房","2019-06-28","违章建筑","提供安置过渡房","提供安置补贴"
"鲁厚庆","131515198210061164","百子湾沿海赛洛城二条下沉街3-32号","124","建德建筑公司","周冠","340410198502231050","北苑路甲78号北卫家园16号","2019-05-22","违章建筑","提供安置过渡房","提供安置补贴"
"花敬震","131620199901295194","双林东路春风雅筑底商","135","贵鹏建筑公司","李茜秋","711609198101148430","芦花路44号","2019-05-30","城镇扩建","提供安置过渡房","提供安置补贴"
