"1","权108121389","北京北京市门头沟区斋堂镇
","360735195002192660","谈姆早","18028793154","河北石家庄市井陉县南陉乡
","工商业","齐么等","13465324350","身份证","513432199006171190","有","无","是","商业","144.00","租住行为安全隐患","","","粤房租市字第37361号","无","物业管理","框架结构","集资房","转租","5","2013/4/23","2","2016/8/4","3490","4","不合格","2017/4/29","天津天津市和平区南市街道
公安消防支队","合格","刘菊佳","无"
"2","权111036500","天津天津市滨海新区中心商务区
","410803196802041581","皮仅亲","15227853473","河北石家庄市桥东区东华街道
","工商业","滕线被","15786572145","身份证","150403199411182641","有","有","是","住宅","63.00","设施安全隐患","","","藏房租市字第19461号","有","物业管理","木质结构","房改房","合租","7","2013/3/6","3","2018/6/11","4782","7","合格","2017/8/3","河北石家庄市辛集市新城镇
公安消防支队","合格","梁 嘉","无"
"3","权113559868","河北石家庄市井陉矿区四微街道
","513435196905031605","黄放火","14748925189","河北石家庄市桥东区东华街道
","住宅","伍健府","18395863659","身份证","340826199112121760","有","无","是","办公","123.00","租住行为安全隐患","","","宁房租市字第64741号","有","物业管理","钢架结构","商品房","直租","7","2010/6/5","1","2017/6/22","1899","5","合格","2017/4/11","天津天津市西青区西青高校区
公安消防支队","合格","伏欣","无"
"4","权115552065","北京北京市密云县西田各庄镇
","411421195312161238","殷棋我","18854204318","北京北京市石景山区古城街道
","住宅","葛录稜","17075063688","身份证","510722198101011490","无","有","否","办公","116.00","租住行为安全隐患","","","琼房租市字第22787号","无","物业管理","框架结构","房改房","直租","6","2014/6/29","3","2016/12/29","3452","5","不合格","2017/11/6","天津天津市河北区宁园街道
公安消防支队","不合格","蓝竹","已整改"
"5","权116148055","天津天津市河西区友谊路街道
","610582197508031092","章务倒","15834411053","河北石家庄市平山县古月镇
","工商业","柳丽","18090464209","身份证","412827196504251735","无","有","是","住宅","64.00","设施安全隐患","","","黑房租市字第51638号","无","物业管理","框架结构","商品房","中介型公寓","8","2012/12/16","3","2017/7/20","4533","7","合格","2017/12/11","天津天津市西青区张家窝镇
公安消防支队","不合格","娄菊","未整改"
"6","权116412983","河北石家庄市鹿泉市白鹿泉乡
","410482198107101530","俞良汽","14974253469","北京北京市西城区广安门内街道
","工商业","臧英紧","17380867032","身份证","420526195509212447","有","有","否","办公","89.00","环境安全隐患","","","藏房租市字第89770号","有","物业管理","框架结构","集资房","直租","5","2010/6/17","1","2016/12/6","3505","3","不合格","2018/7/1","天津天津市河西区友谊路街道
公安消防支队","不合格","孔天","未整改"
"7","权121705351","天津天津市津南区辛庄镇
","653101199805091656","雷职达","13981139777","河北石家庄市辛集市和睦井乡
","工商业","董痛纪","15317580759","身份证","452725199904021923","无","有","否","商业","123.00","租住行为安全隐患","","","沪房租市字第86548号","无","物业管理","框架-剪力墙","集资房","中介型公寓","3","2011/10/6","1","2016/8/15","2087","3","合格","2018/8/11","河北石家庄市无极县张段固镇
公安消防支队","合格","魏晓桂","无"
"8","权121921945","北京北京市平谷区镇罗营镇
","340311196305021357","堪木候","15254267664","北京北京市石景山区广宁街道
","仓库","彭持引","18748712069","身份证","321121197301102022","无","有","是","住宅","102.00","租住行为安全隐患","","","赣房租市字第43559号","无","物业管理","框架-剪力墙","房改房","中介型公寓","7","2013/2/23","3","2016/10/25","4658","7","不合格","2016/5/8","河北石家庄市元氏县东张乡
公安消防支队","合格","于园","无"
"9","权123164299","河北石家庄市新乐市彭家庄回族乡
","440229195301201200","元尼欢","13942897607","河北石家庄市赵县王西章乡
","住宅","葛功识","18635973420","身份证","433123199412181527","有","无","是","办公","75.00","环境安全隐患","","","贵房租市字第19299号","无","物业管理","木质结构","集资房","中介型公寓","5","2011/11/22","3","2016/2/11","2329","3","不合格","2016/12/12","天津天津市南开区万兴街道
公安消防支队","合格","何环园","无"
"10","权137341191","北京北京市平谷区熊儿寨乡
","321088195603192381","郑通","14733281549","天津天津市河西区柳林街道
","工商业","庞退直","15556510390","身份证","142423195908301826","有","无","否","办公","74.00","环境安全隐患","","","鄂房租市字第39394号","有","物业管理","框架结构","商品房","合租","3","2010/4/5","1","2018/11/10","5045","3","不合格","2016/3/21","天津天津市北辰区普东街道
公安消防支队","合格","甘惠","无"
