"1","姚培坤","111621198008178731","收银主管"
"2","黄烈萍","230602199004081095","政府事务管理"
"3","王伟","611103198906022293","药品市场推广主管/专员"
"4","胡静","710127197202109214","测绘/测量"
"5","郑凯","351018196402074260","其他"
"6","钱明","430901196903276200","中国方言翻译"
"7","杜婧婧","631023197910197257","面料辅料采购"
"8","陈剑影","331119199708197886","高级建筑工程师/总工"
"9","林京","651120198504082206","保险产品开发/项目策划"
"10","李肇基","451121197809064742","总编/副总编"
"11","沈晨翔","621027196511109283","百货零售"
"12","苏波","541627196502284994","医院管理人员"
"13","陈磊","710406198510017983","洗衣工"
"14","斯友全","711113196401047899","体育教师"
"15","何姗","321421196603059245","电子技术研发工程师"
"16","郭静怡","220922197907187393","公关专员"
"17","郑国娣","311012198109088595","专柜彩妆顾问(BA)"
"18","应乐盈","220708197901229824","ERP技术开发"
"19","毛林辉","630909196905025154","认证工程师"
"20","章梅艺优","441711196401087485","纺织工"
"21","张黎","150728197210036725","其他"
"22","江优莉","500411196906033820","医院/医疗/护理"
"23","章青","431223196408068043","宠物护理/美容"
"24","陈乐娇","371625195910281402","投资者关系"
"25","陶毅杰","211223197403034205","培训生"
"26","汤小东","711527197507258571","其他"
"27","王素花","451325199106032163","内科医生"
"28","张晓芳","211020197203139160","幼教"
"29","周苗红","441707199607035587","收银员"
"30","王婉华","641126199104086336","DJ"
"31","罗赛君","810506196401259277","房地产销售"
"32","王培静","611307196901055106","百货零售"
"33","郑志平","370828198511217930","配菜/打荷"
"34","徐海霞","321124195910254537","电路工程师/技术员(模拟/数字)"
"35","黄林","440823198212026784","融资经理/融资主管"
"36","张婧","461009196807071678","算法工程师"
"37","陈建友","151301197809143229","市场通路经理/主管"
"38","严慧慧","510313198305262331","其他"
"39","宋颖莹","521016198912038283","开发报建"
"40","樊秀伟","811322198904192187","猎头/人才中介"
"41","吴林平","521418198501043767","人力资源"
"42","王涛","351512198305107747","美容整形师"
"43","屠骏蔚","520114197901316442","行政总监"
"44","仝泽强","641020198909305495","新能源电池工程师"
"45","孙民","540421198709026072","汽车电子工程师"
"46","杜伟红","651721195912149634","网络推广专员"
"47","俞佳敏","431319199312293221","电镀工"
"48","杨璐","111805199309148454","收银员"
"49","马树鹏","460919198203188597","汽车销售/经纪人"
