"10022","糜芷蕾","330215197902188992","沙正涛","330823198407158976","2018-02-01","良好","汉族","汉族","湖州永汇水处理工程有限公司","宁波禾采医疗器械有限公司","男","2018-10-21","1","未节育","初胎"
"10804","茅寒云","331021198208296000","柴潇泽","330522198912121984","2016-10-08","良好","汉族","汉族","宁波四明恩康生物科技有限公司","浙江华尔纺织科技有限公司","男","2017-07-17","1","未节育","初胎"
"11532","白怀蝶","330521199309139008","郎柏晗","331017198806011008","2014-12-18","良好","汉族","汉族","湖州康德医疗器械有限公司","浙江伊利康生物技术有限公司","男","2015-08-30","1","未节育","初胎"
"13406","堵代曼","330627199409307008","常元宇","331022198402051008","2018-03-26","良好","汉族","汉族","平湖邑飞光电科技有限公司","宁波舒安尔医疗设备有限公司","男","2019-01-18","1","未节育","初胎"
"13443","宿海莲","330226199203123008","陶俊德","331023199207014976","2018-06-01","良好","汉族","汉族","浙江日盛医疗科技股份有限公司","浙江申达斯奥医疗器械有限公司","男","2019-01-23","1","未节育","初胎"
"14335","乐亦瑶","330517197808108992","刘茂实","331024199203211008","2016-05-30","良好","汉族","汉族","浙江温医雷赛医用激光科技有限公司","绍兴锐创生物科技有限公司","男","2017-02-28","1","未节育","初胎"
"14497","喻涵双","330316198512062016","加春华","331027197909182976","2015-06-23","良好","汉族","汉族","杭州富阳华文医疗器械有限公司","杭州敏泰生物技术有限公司","男","2016-04-05","1","未节育","初胎"
"14580","寿春竹","330402197501126976","苏荻竹","330727198411081984","2016-01-22","良好","汉族","汉族","嘉兴市天和制药有限公司","温州市丰瑞医疗器械有限公司","男","2016-10-05","1","未节育","初胎"
"14651","杭语蓉","330707198506033024","文佑宏","331011198705064000","2017-03-28","良好","汉族","汉族","绍兴市联合医疗器械有限公司","浙江正庄科技有限公司","男","2017-11-16","1","未节育","初胎"
"14662","强紫山","330703197807091008","晏嘉彧","330605199301222976","2018-04-03","良好","汉族","汉族","绍兴港峰医用品有限公司","万马科技股份有限公司","男","2018-11-27","1","未节育","初胎"
"14683","薛晓亦","330814199706113984","伊浩善","330408197704086976","2016-07-05","良好","汉族","汉族","浙江优亿医疗器械有限公司","宁波菲特医疗器械有限公司","男","2017-03-10","1","未节育","初胎"
"15608","周彬彬","331003197810168000","须昱铭","330112198908142016","2016-09-06","良好","汉族","汉族","湖州海创生物科技有限公司","扬明实业(浙江)有限公司","男","2017-05-30","1","未节育","初胎"
"15758","贾笑蓝","331010197505176000","戈祥博","330406199211286976","2017-02-06","良好","汉族","汉族","湖州三洲电子科学仪器厂","宁波奥丽克医疗设备科技有限公司","男","2017-10-01","1","未节育","初胎"
"16312","东初夏","330405199208201984","元茹荻","330912197501161984","2015-12-14","良好","汉族","汉族","金华市景迪医疗用品有限公司","浙江英洛华康复器材有限公司","男","2016-08-07","1","未节育","初胎"
