"慈航医院","A003400481986","2019-06-09","姜纯毓","女","2019-06-06","纪纨仪","351428199208124401","姜国胜","631811198604096050","苏州街15号"
"安达医院","A005828955430","2019-04-28","黄之","男","2019-04-25","柏娅琦","441203198505128908","黄和","320609199411063477","东亿国际传媒产业园8号西区演播大厅A座二楼"
"博仁医院","A017661823594","2019-03-24","喻克伦","男","2019-03-21","卫霭","511319197706216099","喻才发","360606197710279634","天通东苑一区50号楼"
"安达医院","A019760044676","2019-05-19","常全","男","2019-05-16","罗思","141018199209018095","常盛","610915198110198944","月亮河河滨路1号"
"中医院","A022707992607","2019-05-27","薛瑞凡","女","2019-05-24","闵蓉眉","211815198108301859","薛毅","650203199809115393","金宝街东段路北小雅胡同62号"
"佳美医院","A036943977912","2019-06-26","何龙","男","2019-06-23","王勤","121725199203186711","何辰","230606199806167167","苏州街15号"
"博仁医院","A037149089181","2019-06-10","潘秋","女","2019-06-07","屈瑶","711612199612123345","潘裕","640319197510123075","永定路66号长峰假日酒店2楼"
"佳美医院","A052167404106","2019-05-26","沈真环","女","2019-05-23","鲍馥","370916197712251834","沈林有","141805199810116548","双清路双清综合楼北"
"瑞德医院","A065012283969","2019-05-19","熊霄","女","2019-05-16","周琬茗","511603198406047341","熊子","451018197809298970","南大红门路临89号"
"安达医院","A067715011238","2019-06-15","岑龙","男","2019-06-12","张宁欣","460508198508086058","岑邦","131707199611144048","东三环中路59号富力双子座A座1楼"
"泰达医院","A068154176913","2019-06-14","毛奇","男","2019-06-11","伏荷丹","120401199201187720","毛飞彬","630915198109093957","呼家楼街道金汇路世界城"
"佳美医院","A071578863643","2019-05-16","冯以","男","2019-05-13","祝贞","620712197610303831","冯军","651214199804206486","甜水园北里1号楼东半侧的西侧一层"
"瑞德医院","A071586862280","2019-03-19","汤爱妹","女","2019-03-16","喻青倩","151417199202157438","汤河哲","650516199710263991","东四十条甲22号南新仓商务大厦1-2楼"
"和睦家医院","A087478715928","2019-06-25","平琳素","女","2019-06-22","滕蓉眉","351226197311199494","平广志","460507197607065546","左家庄前街1号"
"英智医院","A092903356446","2019-06-16","孙朋斌","男","2019-06-13","张娴","611205197008182827","孙以","520407197003139184","阜石路165号"
"华德医院","A095610385456","2019-05-30","袁颖","女","2019-05-27","金真环","370725198306126663","袁林有","451619197108241591","六合园3号楼"
"慈航医院","B049709707598","2019-05-02","金广志","男","2019-04-29","史珊莎","111003197807181858","金克伦","431706197804045851","四惠桥东南岸1号西店村35栋底商"
"英智医院","B064548821253","2019-05-18","狄海","男","2019-05-15","臧欣","121817197809036467","狄茂进","230919198602188092","顺沙路京汉美食街南口赏时南侧"
"中医院","B068115094916","2019-05-08","孔茂进","男","2019-05-05","韩环","441309199605095849","孔利清","360411199401297396","怀北镇大水峪村192号"
"万杰医院","B083785462391","2019-03-16","云涛","男","2019-03-13","马仪","351020197105125884","云才发","320319198911243275","南吉祥胡同13号"
"瑞德医院","B085700594774","2019-03-31","水乐","男","2019-03-28","毛姬舒","430924198410239179","水平保","460503198910196919","高楼村5号"
"蕙兰医院","C009105814127","2019-06-12","皮保","男","2019-06-09","康嘉","230218199511068200","皮博","121109197304132767","牡丹园东街甲12号"
"人民医院","C020739108254","2019-05-02","郎晨辰","男","2019-04-29","鲁枫芸","231106197606276084","郎达安","710102199603194389","旧府街与青礼路交叉口南100米"
"慈航医院","C020840684782","2019-03-31","昌宏言","男","2019-03-28","茅菊","130119199712266076","昌亨奇","361019199001167274","京加路雁西湖北金隅水泥厂对面"
"安达医院","C027300350621","2019-05-09","雷明永","男","2019-05-06","席月莺","451501197601033666","雷新","610407198901096987","方庄南路157号"
"泰达医院","C029408495680","2019-06-17","何翔旭","男","2019-06-14","杜雅","711024198711164697","何斌","310412198709298723","牡丹园西里16号楼"
"佳美医院","C032937735210","2019-04-01","董可","女","2019-03-29","范琬茗","110427199306055217","董亨奇","420313199104215811","崇文门祈年大街东打磨厂街7号新活馆三层"
"安达医院","C037245629859","2019-06-22","姚昭","女","2019-06-19","朱琬茗","500808199508109262","姚德","650125197510031739","湖北小区32号楼"
"爱康医院","C044727912736","2019-04-17","许龙","男","2019-04-14","戴红","610726198203173631","许启","350907197509171888","来广营乡立水桥明天中心（B-06商业）-1层B06商场078号院"
"慈航医院","C049696514435","2019-05-01","邵世","男","2019-04-28","褚妹","121206198912088796","邵富顺","131709199708178173","雁栖镇京加路跃进北京世升旁"
