"1","A018175234287","冯兴","420504195710066518","13300815829","沈阳昌晶美集团股份有限公司","东三环三元桥白云里街32号","湖北省宜昌市点军区","2019-04-24","慈航医院","健康","2019-04-27","崇川区卫生监督所"
"2","A020762978932","杜勤","430224197505265697","13201046545","济南安生房产经纪有限公司","阜成门内大街97号","湖南省株洲市茶陵县","2019-05-21","人民医院","健康","2019-05-24","崇川区卫生监督所"
"3","A024114690979","施蓓","220282191909272900","13300500582","上海美飞股份有限公司","东三环三元桥三源里街23号","吉林省吉林市桦甸市","2019-05-12","爱康医院","健康","2019-05-15","通州区卫生监督所"
"4","A025113436543","湛毅","430811196506255430","15100590782","沈阳同优寿科技有限公司","石景山路22号","湖南省张家界市武陵源区","2019-05-16","慈航医院","健康","2019-05-19","开发区卫生监督所"
"5","A026045424931","谈坚和","130604195007053603","15100900058","南京全盛台咨询管理有限责任公司","长陵镇康陵村26号院","河北省保定市南市区","2019-04-08","景安医院","健康","2019-04-11","如东县卫生监督所"
"6","A032551885018","明奇","440205193912048327","13503796330","沈阳荣中国际工程技术有限公司","宏泰东街浦项中心友利银行对面","广东省韶关市曲江区","2019-04-06","景安医院","健康","2019-04-09","港闸区卫生监督所"
"7","A061199091758","郎永","500116192110032347","13005383638","深圳瑞合皇房产经纪有限公司","紫金庄园9号楼一层","重庆市市辖区江津区","2019-03-13","景安医院","健康","2019-03-16","如皋县卫生监督所"
"8","A063010181004","秦保","231005192012026334","13901257632","杭州全盛台土石方工程有限公司","槐柏树街北里甲2-4","黑龙江省牡丹江市西安区","2019-03-28","人民医院","健康","2019-03-31","海安县卫生监督所"
"9","A086999329961","苏婕馨","510184195909075510","15203682454","厦门成同建筑产业集团有限公司","朝阳北路101号大悦城6楼","四川省成都市崇州市","2019-03-16","安达医院","健康","2019-03-19","港闸区卫生监督所"
"10","A090227068137","凤功","411202195309024892","13907770535","重庆丰正恒房地产开发有限公司","永外安乐林路8号","河南省三门峡市湖滨区","2019-03-13","中医院","健康","2019-03-16","开发区卫生监督所"
"11","A093589676472","陶军","370100192703114676","13108415041","北京中义股份有限公司","穆家峪镇北穆家峪村","山东省济南市","2019-05-11","安达医院","健康","2019-05-14","如皋县卫生监督所"
"12","A095163433232","吴泽","450400192012188280","13006773864","大连合弘国际工程技术有限公司","山湖路青龙湖公园","广西壮族自治区梧州市","2019-05-01","英智医院","健康","2019-05-04","海安县卫生监督所"
"13","B058039289827","王盛","420802195201199791","15104560124","沈阳佳洪物业管理有限公司","富生路10号","湖北省荆门市东宝区","2019-04-02","瑞德医院","健康","2019-04-05","海安县卫生监督所"
"14","B067692877662","俞俊峰","231202193507154396","13801034174","杭州义盛集团股份有限公司","青年沟路西50米","黑龙江省绥化市北林区","2019-05-03","佳美医院","健康","2019-05-06","如皋县卫生监督所"
"15","B068274322043","伏江超","230203192901181292","13507378397","南京公华环境建设股份有限公司","东直门外大街胡家园小区23号","黑龙江省齐齐哈尔市建华区","2019-05-24","蕙兰医院","健康","2019-05-27","港闸区卫生监督所"
