"1","鲁F42100","成思","500226197604082310","重庆市县荣昌县","陕西省铜川市回龙观新龙城北街北区15号","15007914727","2011/2/25","2016/2/24","缆车运输","深圳市一诺国际物流有限公司",""
"2","冀E73298","段希素","370523197106106686","山东省东营市广饶县","北京市古城小街8号","15507281030","2012/3/24","2016/3/23","缆车运输","武汉如意顺通物流有限公司",""
"3","湘J10686","白莺静","542231198102228196","西藏自治区山南地区隆子县","北京市双花园南里三区23号楼103室","15700484568","2010/8/17","2013/8/16","公路运输","衡水市金朝物流有限公司",""
"4","甘M73161","邬巧","230422196908305118","黑龙江省鹤岗市绥滨县","福建省厦门市花园路8号","13207697876","2012/1/9","2015/1/8","管道运输服务","合肥运达快运物流公司",""
"5","闽F43303","葛飞","350924197312311345","福建省宁德市寿宁县","河北省廊坊市石景山路2号北京台湾街C01区3号楼","13007831044","2011/3/6","2013/3/5","缆车运输","河南安启行货物运输有限公司",""
"6","青H67149","袁学平","511133198112056779","四川省乐山市马边彝族自治县","陕西省咸阳市东四北大街甲82-1号","13602797373","2009/12/22","2012/12/21","索道运输","成都川明物流有限公司",""
"7","冀H44295","鲍云飘","220211197008196718","吉林省吉林市丰满区","吉林省通化市西六环路永安社区东门旁","13307688378","2010/5/16","2014/5/15","管道运输服务","深圳市德德物流有限公司",""
"8","蒙M92119","余珊","350505198004201511","福建省泉州市泉港区","上海市亚运村北苑路安慧里四区15号楼","13304482403","2012/10/26","2016/10/25","缆车运输","东莞宏图物流有限公司",""
"9","津E34212","石有进","360000197401051699","江西省","天津市二拨子工业园区中路102号","15608814012","2012/11/10","2017/11/9","航空运输服务","四川领路者物流有限责任公司",""
"10","赣D13554","万昭璐","230422197411047583","黑龙江省鹤岗市绥滨县","山西省大同市礼贤街西口往东100米路北","15700955165","2013/7/8","2015/7/8","航空运输服务"," 江西长运股份有限公司",""
"11","豫Q20784","吴青","210300198009039895","辽宁省鞍山市","山东省泰安市河荫中路3号","13504141881","2009/9/2","2012/9/1","水路运输服务","深圳海远物流有限公司",""
"12","鄂F24142","戴莎澜","320924197908047745","江苏省盐城市射阳县","上海市垂杨柳中街6号楼西侧平房","15305406914","2013/12/23","2018/12/22","管道运输服务","浙江中油龙昌能源有限公司",""
"13","藏E32766","申蓉凡","341221198401145662","安徽省阜阳市临泉县","湖北省襄樊市甜水园东街道家园甲6号","13304532490","2013/4/26","2015/4/26","管道运输服务","上海亨盾物流有限公司",""
"14","津B19122","顾英","361129197406269214","江西省上饶市万年县","天津市站前街8号院","13804108453","2012/2/7","2016/2/6","缆车运输","无锡企通物流有限公司",""
"15","京E98375","许珠","152202197002066666","内蒙古自治区兴安盟阿尔山市","广东省惠州市广顺南大街悠乐汇610号楼107室","13706598597","2012/7/4","2015/7/4","管道运输服务","江苏腾丰物流有限公司",""
"16","晋D52365","黄光","340202197511181765","安徽省芜湖市镜湖区","上海市田村路京粮广场2楼","15603178208","2012/10/25","2016/10/24","公路运输","广东智慧物流有限公司",""
"17","蒙F30454","郝亨","410224198110253599","河南省开封市开封县","北京市北京丰台区临泓路1号","15208807368","2010/2/23","2012/2/23","公路运输","北京纵横四海货运有限公司",""
"18","渝G81729","孔卿","330824197512097015","浙江省衢州市开化县","江西省吉安市陆港城商业步行街内104-105号","15506627984","2013/7/6","2016/7/5","管道运输服务","东莞北城物流有限公司",""
"19","蒙H18917","江永军","360926197402088978","江西省宜春市铜鼓县","吉林省吉林市亦庄荣昌东街地铁站旁","13202706296","2012/11/26","2014/11/26","管道运输服务","广州奋发物流公司",""
"20","沪A83621","魏豪","130433197211124328","河北省邯郸市馆陶县","上海市黄寺大街佰隆大厦4层","13208650644","2014/7/15","2019/7/14","航空运输服务","深圳市德德物流有限公司",""
"21","津A38454","黄霭","370611197306111374","山东省烟台市福山区","海南省三亚市双花园南里三区23号楼103室","13003222404","2009/10/20","2011/10/20","水路运输服务","宁波福邦物流有限公司",""
"22","黑N18506","韦娴纯","320404197608128975","江苏省常州市钟楼区","黑龙江省佳木斯市南环路53号悦荟万科广场B1","15601533096","2012/10/12","2015/10/12","水路运输服务","上海亨盾物流有限公司",""
"23","黑C97539","谢岚","150202198106052363","内蒙古自治区包头市东河区","重庆市垂杨柳中街6号楼西侧平房","15004688775","2010/7/31","2013/7/30","缆车运输","石家庄市万泰物流有限公司",""
