"1","曹凤英","女","汉族","2013-12-04","130615201312043807","广东省霞市","江苏省兴安盟县朝阳石家庄街R座 ","乐清市柳市沙岙小学","李磊","451527198506233885","山西省云县上街葛路F座 310166","18523546965","黄丹","18197960007","精芯网络有限公司","总经理","2016-10-01","帮扶中","钱旭","1983-02-03","15039498591","爷爷","职工","江苏省兴安盟县朝阳石家庄街R座 204962"
"2","陈俊","女","汉族","2012-07-24","620210201207241666","吉林省南京市","河南省沈阳县新城马鞍山路R座 ","苍南县龙沙乡安丰村完全小学","任云","530523199105095419","河南省琳县吉区陈路m座 493364","18718140450","朱小红","15922186909","商软冠联信息有限公司","总经理","2016-10-01","帮扶结束","崔英","1976-08-18","18777510947","阿姨","无业","河南省沈阳县新城马鞍山路R座 353762"
"3","孙柳","女","汉族","2011-10-17","210904201110172161","江西省璐市","内蒙古自治区浩市普陀重庆街x座 ","萧山市新湾镇共和小学","李宁","411103198002227838","江西省晨县安次佟路m座 831851","15077664919","张丽华","13458888954","毕博诚科技有限公司","总经理","2014-03-21","帮扶中","余玉英","1967-12-25","13844529325","叔叔","职工","内蒙古自治区浩市普陀重庆街x座 365233"
"4","李秀荣","男","汉族","2015-03-01","130604201503019892","山东省乌鲁木齐市","贵州省海门县和平杨路O座 ","乐清市柳市沙岙小学","罗健","311817198211137337","辽宁省武汉市六枝特林路L座 963064","14517016662","王秀梅","18916965767","浦华众城科技有限公司","公司职工","2016-10-01","帮扶中","张丽华","1984-10-27","13473661592","阿姨","个体","贵州省海门县和平杨路O座 926360"
"5","丁瑜","女","汉族","2008-09-13","120515200809135928","福建省玉华市","黑龍江省兴城市华龙长沙路z座 ","桐乡市中山路小学","何成","371719198903156347","河北省银川县崇文田街d座 739623","13787309098","刘桂荣","13619104673","彩虹网络有限公司","总监","2015-07-08","帮扶中","王强","1982-03-18","13469116816","阿姨","无业","黑龍江省兴城市华龙长沙路z座 406944"
"6","赵明","男","汉族","2012-02-18","211803201202184175","河北省林市","甘肃省涛县西峰巴路B座 ","苍南县龙沙乡安丰村完全小学","王凤兰","620822197802147854","山西省关岭市魏都王路N座 125771","15156031501","姜涛","15998031210","群英传媒有限公司","总经理","2014-03-21","帮扶结束","张玉珍","1961-05-22","13030618437","阿姨","无业","甘肃省涛县西峰巴路B座 762392"
"7","羊博","男","汉族","2010-07-12","150407201007123875","吉林省桂芝市","浙江省丽华市门头沟姬路C座 ","乐清市柳市沙岙小学","陈莹","370714198711291882","福建省银川县吉区海门路n座 271938","18158051725","王桂芝","14567791488","华成育卓网络有限公司","总经理","2015-07-08","帮扶中","瞿欣","1974-10-01","15388901459","阿姨","个体","浙江省丽华市门头沟姬路C座 500456"
"8","吴涛","男","汉族","2009-01-18","810127200901181015","甘肃省桂珍市","吉林省长沙县黄浦黄路U座 ","乐清市柳市沙岙小学","王秀兰","811526197601281907","山西省六盘水县朝阳鲍街o座 435870","18288823169","何静","15326162708","易动力科技有限公司","总经理","2015-07-08","帮扶中","张华","1966-12-15","18540193832","叔叔","职工","吉林省长沙县黄浦黄路U座 540658"
"9","唐荣","女","汉族","2011-12-10","221719201112106829","青海省芳市","福建省秀英县翔安唐街I座 ","乐清市柳市沙岙小学","孟桂香","440522198412214172","内蒙古自治区明市清河李街p座 780353","13162390629","李桂珍","13315350900","维涛网络有限公司","公司职工","2016-10-01","帮扶结束","王瑞","1984-07-25","15289083394","爷爷","个体","福建省秀英县翔安唐街I座 649215"
"10","刘雷","女","汉族","2012-11-11","220112201211113400","贵州省丹市","广西壮族自治区荣县江北覃街q座 ","苍南县龙沙乡安丰村完全小学","王小红","330202199406102772","四川省波市牧野詹街E座 680542","13229426302","余洁","18942564771","南康传媒有限公司","总监","2014-03-21","帮扶中","赵杰","1964-06-18","18246816552","叔叔","职工","广西壮族自治区荣县江北覃街q座 632622"
"11","孙小红","女","汉族","2015-01-31","531316201501312523","河北省岩市","江西省马鞍山县崇文银川街u座 ","桐乡市中山路小学","李建华","131212199008297645","湖南省佛山市清城长春街X座 804037","13599222562","栾桂花","13825159762","双敏电子信息有限公司","总监","2015-07-08","帮扶中","陈浩","1979-08-15","15264586137","爷爷","个体","江西省马鞍山县崇文银川街u座 438975"
"12","耿丽华","女","汉族","2007-10-25","810324200710258866","黑龍江省长沙市","云南省张家港县平山邱街B座 ","桐乡市中山路小学","廖玉英","350320199110191913","安徽省巢湖市蓟州李街m座 524981","13673947994","吴坤","15313201280","联通时科传媒有限公司","总监","2016-10-01","帮扶结束","王倩","1986-02-04","15010261049","叔叔","职工","云南省张家港县平山邱街B座 600710"
"13","黄婷","女","汉族","2014-03-20","410820201403208764","河南省桂兰市","广西壮族自治区兰州市六枝特台北路N座 ","桐乡市中山路小学","李杨","521615198301032633","浙江省晶市璧山嘉禾街e座 965905","13560430029","曹秀华","18810513716","图龙信息信息有限公司","公司职工","2016-10-01","帮扶中","张佳","1982-01-27","18697441392","爷爷","无业","广西壮族自治区兰州市六枝特台北路N座 863391"
"14","王杨","女","汉族","2008-03-29","640516200803293641","山西省淑兰市","辽宁省桂香县六枝特陈街x座 ","乐清市柳市沙岙小学","曹玲","221102198211039372","安徽省东市江北张路J座 428119","15734396397","马玉珍","15139107869","维涛信息有限公司","总经理","2016-10-01","帮扶中","周波","1983-02-12","13884440730","叔叔","个体","辽宁省桂香县六枝特陈街x座 251633"
"15","林凤英","男","汉族","2014-01-06","231307201401062915","广东省东市","山西省潜江县海港天津路S座 ","乐清市柳市沙岙小学","李林","640109198410183051","福建省强县沙市兴城街v座 298345","15246317681","陈磊","18164238614","凌颖信息网络有限公司","公司职工","2015-07-08","帮扶结束","王坤","1986-05-19","13168975682","阿姨","无业","山西省潜江县海港天津路S座 898370"
"16","陈健","男","汉族","2011-10-20","141815201110201173","湖北省玉英市","黑龍江省郑州市六枝特银川街Y座 ","萧山市新湾镇共和小学","张秀荣","640612198108088137","四川省马鞍山市门头沟辽阳街j座 962062","18092462005","罗红霞","15663641388","惠派国际公司科技有限公司","总监","2014-03-21","帮扶结束","宋桂英","1976-10-18","15967786875","叔叔","职工","黑龍江省郑州市六枝特银川街Y座 595837"
"17","唐娜","女","汉族","2013-10-22","350622201310228226","云南省武汉市","江苏省桂兰县双滦韦街e座 ","乐清市柳市沙岙小学","周琴","541717198802086230","甘肃省柳州市徐汇孙路J座 863981","18262840254","王艳","18709140159","雨林木风计算机信息有限公司","总监","2014-03-21","帮扶中","黄涛","1973-08-29","15624694990","爷爷","个体","江苏省桂兰县双滦韦街e座 339591"
"18","张杨","女","汉族","2008-03-19","350224200803195683","吉林省佳市","湖北省秀云县双滦永安路v座 ","桐乡市中山路小学","喻建平","521207199209078403","河北省雪县长寿宜都路e座 892174","13370665270","刘丽","13266026995","图龙信息信息有限公司","总监","2014-03-21","帮扶中","刘云","1961-06-22","15927281802","叔叔","无业","湖北省秀云县双滦永安路v座 194614"
"19","郑秀英","女","汉族","2011-10-04","441104201110042568","辽宁省大冶市","湖南省哈尔滨县清城澳门街r座 ","苍南县龙沙乡安丰村完全小学","黄萍","540123197911102722","新疆维吾尔自治区辽阳县大兴迟路A座 972933","18145026015","向畅","15899311432","商软冠联网络有限公司","总监","2016-10-01","帮扶结束","阎帅","1978-12-27","13321035076","阿姨","个体","湖南省哈尔滨县清城澳门街r座 716884"
"20","王利","女","汉族","2015-01-22","610523201501225763","湖北省红霞市","浙江省合肥市翔安南昌路P座 ","桐乡市中山路小学","周帆","370119198011057366","西藏自治区重庆市浔阳天津街x座 650933","13420297784","张杰","15848680799","华远软件信息有限公司","总监","2016-10-01","帮扶中","谢伟","1966-04-16","13972084561","爷爷","职工","浙江省合肥市翔安南昌路P座 339318"
"21","韩飞","女","汉族","2008-04-25","331226200804259842","山东省柳州市","贵州省荆门县滨城周路F座 ","苍南县龙沙乡安丰村完全小学","韩淑英","430902198110306994","山西省磊县西夏张家港街T座 805519","18607577792","汪桂兰","15204090169","九方传媒有限公司","公司职工","2014-03-21","帮扶结束","林华","1974-12-28","14539919574","叔叔","个体","贵州省荆门县滨城周路F座 846005"
"22","季秀云","女","汉族","2013-02-22","411827201302227269","浙江省广州市","西藏自治区梧州县房山深圳街T座 ","乐清市柳市沙岙小学","刘磊","620916198308153992","四川省嘉禾市怀柔永安街c座 471571","13939502162","宋春梅","15836153645","济南亿次元科技有限公司","总监","2014-03-21","帮扶结束","李慧","1973-06-09","18561386641","阿姨","无业","西藏自治区梧州县房山深圳街T座 107976"
"23","张小红","女","汉族","2013-12-28","640309201312289306","辽宁省宁市","内蒙古自治区璐市门头沟张街M座 ","萧山市新湾镇共和小学","刘秀华","211323198903197601","海南省璐市浔阳孙路z座 601416","15924806002","胡婷婷","18114397838","时空盒数字科技有限公司","总监","2014-03-21","帮扶中","叶秀兰","1964-03-09","13578313108","叔叔","无业","内蒙古自治区璐市门头沟张街M座 330093"
"24","党静","女","汉族","2013-08-23","450408201308232306","河北省合肥市","甘肃省桂珍市上街臧街L座 ","萧山市新湾镇共和小学","黎鹏","641304199108214032","广东省六安市房山李路Z座 965163","13801913936","刘佳","15266010057","天益信息有限公司","公司职工","2014-03-21","帮扶结束","江飞","1976-02-04","13108118110","阿姨","职工","甘肃省桂珍市上街臧街L座 694938"
"25","饶畅","男","汉族","2014-09-06","460826201409063610","河北省大冶市","山东省欢市梁平大冶路O座 ","桐乡市中山路小学","朱伟","431419198203056807","陕西省台北县六枝特澳门路C座 428037","13691657398","吴淑珍","15826775587","时空盒数字网络有限公司","公司职工","2014-03-21","帮扶结束","王飞","1981-02-04","13817273308","叔叔","职工","山东省欢市梁平大冶路O座 629871"
"26","陈莹","男","汉族","2011-08-09","140427201108095639","辽宁省峰市","安徽省太原市黄浦杨街j座 ","乐清市柳市沙岙小学","何慧","311328198205226684","内蒙古自治区通辽市孝南陈街r座 400019","15226348089","杨鑫","18266509889","泰麒麟网络有限公司","公司职工","2014-03-21","帮扶结束","韩强","1974-06-06","13779687992","爷爷","个体","安徽省太原市黄浦杨街j座 778868"
"27","朱琳","男","汉族","2011-10-16","411112201110168299","黑龍江省邯郸市","宁夏回族自治区峰市永川佛山路Y座 ","乐清市柳市沙岙小学","姜欢","141601197905287221","黑龍江省杰市朝阳曾街G座 796685","18617432497","何利","18775820192","盟新信息有限公司","公司职工","2015-07-08","帮扶中","郑琴","1973-02-01","18202731211","叔叔","无业","宁夏回族自治区峰市永川佛山路Y座 101632"
"28","何帆","男","汉族","2012-04-15","710826201204153992","黑龍江省博市","新疆维吾尔自治区敏市沈北新张街E座 ","乐清市柳市沙岙小学","谭红","210904197508308847","江苏省关岭市西峰陈街a座 388974","13979864006","马伟","13817505499","良诺科技有限公司","总经理","2016-10-01","帮扶结束","萧帆","1985-03-28","13391903217","阿姨","无业","新疆维吾尔自治区敏市沈北新张街E座 826669"
"29","昝健","男","汉族","2010-09-27","450408201009278510","甘肃省潮州市","山东省辛集县崇文六安路c座 ","萧山市新湾镇共和小学","刘秀华","541507199002245982","湖南省雷市东丽黄路a座 698462","13658888287","邱鑫","13448143121","襄樊地球村信息有限公司","总经理","2014-03-21","帮扶中","黄想","1963-10-19","18064544055","叔叔","无业","山东省辛集县崇文六安路c座 750251"
"30","刘俊","男","汉族","2009-11-26","221423200911261238","黑龍江省嘉禾市","辽宁省西宁市丰都长春街l座 ","萧山市新湾镇共和小学","赵秀梅","131427199101179158","内蒙古自治区丹丹县东城李路W座 224752","13590300661","金洋","14588971216","MBP软件传媒有限公司","公司职工","2015-07-08","帮扶中","黄玉华","1971-10-05","13728240696","叔叔","职工","辽宁省西宁市丰都长春街l座 797779"
"31","陆楠","男","汉族","2009-01-24","540209200901247054","吉林省海门市","山西省丽县城东巢湖路G座 ","乐清市柳市沙岙小学","高雪梅","140401198710102161","陕西省通辽县静安惠州街e座 650625","15111921600","陈玉兰","15822233311","昂歌信息网络有限公司","公司职工","2016-10-01","帮扶中","孙红梅","1988-07-07","15049783332","阿姨","个体","山西省丽县城东巢湖路G座 250549"
"32","康云","女","汉族","2008-09-15","640320200809154445","云南省阳市","青海省萍县海港马鞍山街J座 ","苍南县龙沙乡安丰村完全小学","崔东","231413199104244866","吉林省宁县吉区石家庄街g座 732352","13143482011","卞龙","18719524901","太极信息有限公司","公司职工","2016-10-01","帮扶结束","刘强","1962-06-01","13365223314","叔叔","个体","青海省萍县海港马鞍山街J座 517349"
