"顾菲寒","110112198510011398","紫金庄园9号楼一层","13300124982","948天","哈尔滨救助管理站","2019-06-22"
"施言","110302199306125182","太仆寺街48号","15304311912","836天","长春救助管理站","2019-05-02"
"蓝豪","110508197902158808","七圣中街12号院爱琴海购物公园4层","13902010319","201天","合肥救助管理站","2019-05-06"
"华翰","110519197803129243","朝阳门外大街甲6号万通中心商业2层国安家","15501292864","422天","长春救助管理站","2019-05-27"
"时琛","110821198701221529","双榆树西里双榆树三街3号","13803913789","786天","郑州救助管理站","2019-04-02"
"曹雄琛","111724198511242991","安宁庄村南河大楼东2幢2号平房","13305106009","220天","沈阳救助管理站","2019-05-28"
"杜海","120402197511261670","徐宋路385号","13701010715","303天","乌鲁木齐救助管理站","2019-06-16"
"廉晨辰","120821197403166762","北海公园北门内九龙壁前","15003715827","748天","重庆救助管理站","2019-05-27"
"闵有","120912199810017687","迎风北路迎风六里2区南门对面","15301356906","762天","郑州救助管理站","2019-03-15"
"冯瑾颖","121023199706171539","旧宫镇东营房车站马路东侧","13404113660","187天","长春救助管理站","2019-04-18"
"席盛","121118198511187356","文华西路","13207184421","983天","兰州救助管理站","2019-04-29"
"汪福","121720197406146681","酒仙桥路18号颐堤港1楼50号","13504762872","904天","重庆救助管理站","2019-06-20"
"和裕","121814197510097409","太仆寺街48号","15701418052","51天","呼和浩特救助管理站","2019-05-07"
"毛晨辰","130205199103263450","柳芳北里甲12号楼","13107937087","627天","哈尔滨救助管理站","2019-04-07"
"皮诚先","130216198404277811","东柏街10号院5号楼105号1层","13102251800","270天","武汉救助管理站","2019-05-05"
"鲁翔旭","130312197402061915","永安里地杰长安驿大厦A座1511室","13205772863","101天","银川救助管理站","2019-05-25"
"滕亮","130524198706019649","东四东四十条22号南新仓谷A16号","15102201106","33天","上海救助管理站","2019-06-24"
"明思","130526197505121409","李家坟7号院创意总社1949","15908068503","33天","长春救助管理站","2019-03-18"
"董香","131203197610199193","金宝街88号金宝汇购物中心5楼","13401703024","583天","兰州救助管理站","2019-03-01"
"卞瑾颖","131304199307231607","昌平十三陵镇长陵园村南门天香百味小砂锅","15602028637","893天","兰州救助管理站","2019-04-20"
"阮泽","131507198910109061","东三环北路38号院4号楼2层2层商业L204","15508324358","369天","重庆救助管理站","2019-03-26"
"茅娣叶","140526198008309300","右安门外开阳里五区6号","13002595985","719天","兰州救助管理站","2019-03-30"
"葛雪荣","141013197110016262","土桥站锦武私房菜","13805612063","171天","长春救助管理站","2019-06-25"
"唐朗伯","141211198012251551","东直门外大街与香河园路交口万国城MOMA会馆一层","13004253086","372天","乌鲁木齐救助管理站","2019-05-21"
"萧广志","150203199801154638","物流01号","13602911854","910天","石家庄救助管理站","2019-05-19"
"乐盛","150513197403014491","翠花胡同43号","13903150593","936天","银川救助管理站","2019-06-26"
"云松善","150922199601143610","东桥杆胡同与鼓楼西大街交叉口西南100米","15808140976","626天","石家庄救助管理站","2019-04-13"
"毛全","151210197006234543","八里庄南里","13403786457","708天","西安救助管理站","2019-04-29"
"禹树","151702197305014420","迎风北路迎风六里2区南门对面","13203970114","916天","济南救助管理站","2019-03-07"
