"严传过","男","450803199312192409","1993/12/19","低保贫困户","侄子","河北石家庄市","河北石家庄市深泽县深泽镇
","17050107121","唐山冀东水泥股份有限公司","天津天津市","天津天津市和平区南市街道
","群众","汉族","未婚","无","健康","69639759870924","非农业户口","残疾","448","723"
"乐为确","女","612732197410241285","1974/10/24","一般贫困户","户主","河北石家庄市","河北石家庄市元氏县苏阳乡
","17582388398","上海龙头(集团)股份有限公司","河北石家庄市","河北石家庄市新乐市协神乡
","群众","汉族","丧偶","高中","健康","85411652309255","非农业户口","特困","632","1113"
"乐受朋","男","450332200105092771","2001/5/9","低保贫困户","外祖母","河北石家庄市","河北石家庄市正定县新城铺镇
","18733641081","贵州黔源电力股份有限公司","河北石家庄市","河北石家庄市元氏县黑水河乡
","中共党员","汉族","离婚","高中","较差","64435124507186","农业户口","残疾","578","860"
"乐需察","男","330921195012141346","1950/12/14","低保贫困户","叔","河北石家庄市","河北石家庄市新华区北苑街道
","17515710580","远光软件股份有限公司","北京北京市","北京北京市昌平区霍营街道
","群众","汉族","已婚","博士","健康","62010153121700","非农业户口","精神病","475","1411"
"于姆简","男","522423198709202141","1987/9/20","五保户","侄女","天津天津市","天津天津市西青区王稳庄镇
","17025996526","重庆桐君阁股份有限公司","北京北京市","北京北京市房山区青龙湖镇
","群众","汉族","未婚","博士","健康","77152315418306","非农业户口","残疾","692","1262"
"于民曲","男","410902195103162039","1951/3/16","低保户","外祖母","北京北京市","北京北京市顺义区马坡
","14726784873","中水集团远洋股份有限公司","北京北京市","北京北京市通州区潞城镇
","无党派人士","汉族","丧偶","无","健康","67392523222919","非农业户口","精神病","382","1296"
"云听懂","女","622623197504291195","1975/4/29","五保户","外甥女","河北石家庄市","河北石家庄市桥西区友谊街道
","17727292281","河南安彩高科股份有限公司","北京北京市","北京北京市石景山区鲁谷街道
","群众","汉族","已婚","大学","健康","49267169239391","非农业户口","残疾","687","670"
"任立","女","230184195507141696","1955/7/14","五保户","外祖父","北京北京市","北京北京市西城区展览路街道
","13779592613","北京富机达能电气产品股份有限公司","河北石家庄市","河北石家庄市赵县赵州镇
","群众","汉族","丧偶","小学","健康","72079671883723","非农业户口","残疾","532","750"
"任重首","女","21112119870924201X","1987/9/24","低保贫困户","侄女","天津天津市","天津天津市西青区西青高校区
","17355829781","泰豪科技股份有限公司","天津天津市","天津天津市武清区武清区开发区
","群众","汉族","丧偶","初中","健康","87218066967162","非农业户口","残疾","509","873"
"伏的","男","511181197407222462","1974/7/22","低保户","户主","天津天津市","天津天津市西青区西营门街道
","14958962355","山东省中鲁远洋渔业股份有限公司","北京北京市","北京北京市顺义区李桥镇
","无党派人士","汉族","已婚","初中","健康","35368411864855","非农业户口","残疾","497","1554"
"何先立","女","370523194505212417","1945/5/21","低保贫困户","外甥女","河北石家庄市","河北石家庄市赞皇县西龙门乡
","13591376204","山东南山铝业股份有限公司","河北石家庄市","河北石家庄市桥西区友谊街道
","中共预备党员","汉族","未婚","初中","健康","50773585791464","农业户口","残疾","576","616"
"何午必","女","320301198609021746","1986/9/2","一般贫困户","母","北京北京市","北京北京市海淀区东升
","17033440704","湖南正虹科技发展股份有限公司","河北石家庄市","河北石家庄市赵县南柏舍镇
","无党派人士","汉族","已婚","无","健康","89815705555195","非农业户口","残疾","406","1705"
"何排升","女","450722198903021935","1989/3/2","低保户","户主","北京北京市","北京北京市朝阳区孙河
","15164546842","安徽皖维高新材料股份有限公司","河北石家庄市","河北石家庄市深泽县桥头乡
","无党派人士","汉族","未婚","高中","健康","88276368749980","农业户口","残疾","410","909"
"何足想","男","513327194908022566","1949/8/2","五保户","侄女","河北石家庄市","河北石家庄市平山县孟家庄镇
","15253950514","北京康斯特仪表科技股份有限公司","河北石家庄市","河北石家庄市新华区五七街道
","共青团员","汉族","已婚","大学","健康","26170089398191","农业户口","残疾","543","1783"
"俞几场","女","411281199012051196","1990/12/5","五保户","侄子","河北石家庄市","河北石家庄市平山县苏家庄乡
","14995575596","深圳市燃气集团股份有限公司","北京北京市","北京北京市通州区永乐店镇
","群众","汉族","未婚","小学","健康","36290552987165","非农业户口","残疾","534","1136"
"傅才预","女","140401196208051795","1962/8/5","低保户","外甥","北京北京市","北京北京市海淀区海淀街道
","13290683713","大唐华银电力股份有限公司","河北石家庄市","河北石家庄市正定县诸福屯街道
","中共预备党员","汉族","丧偶","无","健康","21966348824680","非农业户口","精神病","507","1536"
"傅爱","女","513224194209262099","1942/9/26","低保贫困户","祖父","天津天津市","天津天津市津南区津南开发区西区
","13781432509","中山达华智能科技股份有限公司","河北石家庄市","河北石家庄市深泽县铁杆镇
","中共党员","汉族","已婚","高中","较差","38861537964591","非农业户口","残疾","563","974"
"傅超泪","女","522226194811241788","1948/11/24","低保贫困户","子","北京北京市","北京北京市房山区周口店
","17543366454","无锡威孚高科技集团股份有限公司","北京北京市","北京北京市房山区良乡
","群众","汉族","已婚","高中","一般","78096842320648","非农业户口","残疾","653","694"
