"丁家窑司法所","金华市婺城区司法局","3","王保","13205476602","　　龙泉市住龙镇安置帮教组织","承包帮教","1","任馨","13205476602","常建家","穆盛","330311199601304958","1996年1月30日","男","苗族","浙江省温州市 ","005乡道与平沿路交叉口旁","浙江省温州市 ","大学","未婚","群众","无","警察","衢州市龙游县","005乡道与平沿路交叉口旁","13205476602","无","婚罪非法拘禁罪","潮州市德清县监狱","13年","危险性较高","2014-11-16","2019-03-22","已衔接","婚","是","是","否","无","未安置","上级部门未批准","是","2019-02-22","信用卡诈骗罪","严磊民","2019-03-06","帮助帮教对象解决困难","已完成帮教","否","是"
"万坪司法所","潮州市德清县司法局","23","岑枫芸","13403002605","杭州市泗水坊安置帮教组织","帮教小组帮教","6","席泽","13403002605","顾寒","邵纨仪","330418199206225525","1992年6月22日","女","汉族","浙江省嘉兴市","惠新西街4号","浙江省嘉兴市","高中","未婚","民主党派成员","无","司机","金华市磐安县","惠新西街4号","13403002605","无","开设赌场罪","宁波市海曙区监狱","2年","危险性中等","2013-01-26","2019-05-15","未衔接","开设赌场","是","否","是","2019-05-09","已安置","无","否","2019-03-04","开设赌场罪","赵裕","2019-02-03","思想教育","未帮教","是","是"
"万民司法所","杭州市淳安县司法局","95","贝光天","13404145951","宁波市海曙区南塘河安置帮教组织","承包帮教","72","蓝英华","13404145951","卜玲","傅霄","330712196911278115","1969年11月27日","男","汉族","浙江省金华市 ","严正街16-2号国广公寓","浙江省金华市 ","高中","已婚","民主党派成员","无","律师","潮州市吴兴区","严正街16-2号国广公寓","13404145951","无","盗窃罪重","杭州市富阳区监狱","2年","危险性中等","2015-04-13","2019-02-10","未衔接","盗窃","是","是","是","2019-07-03","已安置","无","是","2019-03-05","故意杀人罪","葛时","2019-05-30","帮助帮教对象解决困难","未帮教","否","是"
"下喇叭司法所","宁波市镇海区司法局","85","姜芳","13307588465","台州市温岭市温峤镇安置帮教组织","承包帮教","82","任瑾颖","13307588465","尹信子","柳秋","330626198002231152","1980年2月23日","男","汉族","浙江省绍兴市 ","梨园南路与九棵树东路交口东北角","浙江省绍兴市 ","初中","未婚","中共党员","无","医生","温州市鹿城区","梨园南路与九棵树东路交口东北角","13307588465","无","妨害公务罪","金华市金东区监狱","7年","危险性中等","2017-02-24","2019-04-03","未衔接","妨害公务","是","是","是","2019-02-24","已安置","无","是","2019-05-03","故意毁坏财物罪","姚筠柔","2019-05-12","组织帮教安置对象参加社会公益劳动","未帮教","是","是"
"下团堡司法所","宁波市海曙区司法局","19","云朋斌","13502682245","湖州市南浔区南浔镇安置帮教组织","合同帮教","11","计克伦","13502682245","鲁晶妍","冯英华","330705197611253056","1976年11月25日","男","汉族","浙江省金华市 ","朝阳南三里屯路16号一层","浙江省金华市 ","初中","已婚","群众","无","作家","杭州市滨江区","朝阳南三里屯路16号一层","13502682245","无","职务侵占罪","温州市洞头区监狱","6年","危险性较高","2015-04-19","2019-03-18","已衔接","职务侵占","是","是","否","无","未安置","上级部门未批准","是","2019-03-16","贪污罪","祁鹏泽","2019-04-01","思想教育","已完成帮教","否","是"
"下木角司法所","台州市路桥区司法局","69","唐瑗琰","15304941456","宁波市慈溪市鸣鹤镇安置帮教组织","帮教小组帮教","26","谢姬舒","15304941456","姜福","顾莉桂","330228199609031344","1996年9月3日","女","汉族","浙江省宁波市 ","怡馨家园1号楼二门905室","浙江省宁波市 ","大学","未婚","团员","无","企业老板","潮州市长兴县","怡馨家园1号楼二门905室","15304941456","无","职务侵占罪","绍兴市柯桥区监狱","6年","危险性较小","2012-10-01","2019-06-23","未衔接","职务侵占","是","是","否","无","未安置","上级部门未批准","否","2019-02-04","职务侵占罪","卜琛","2019-03-28","帮助帮教对象解决困难","未帮教","是","否"
"下水头司法所","杭州市余杭区司法局","18","孙秋","15103126740","台州市仙居县皤滩乡安置帮教组织","帮教小组帮教","4","余致树","15103126740","祁山仁","茅叶","330823198512017315","1985年12月1日","男","汉族","浙江省衢州市 ","花园北路44号贯通大厦2楼","浙江省衢州市 ","小学","未婚","民主党派成员","无","程序员","台州市天台县","花园北路44号贯通大厦2楼","15103126740","无","寻衅滋事罪","潮州市长兴县监狱","2年","危险性中等","2017-05-25","2019-02-21","已衔接","寻衅滋事","是","是","是","2019-02-25","已安置","无","否","2019-05-01","非法吸收公众存款罪","朱生龙","2019-02-08","管理和监督","已完成帮教","否","否"
"下社司法所","杭州市上城区司法局","17","孔伯","15002003077","舟山市岱山县东沙镇安置帮教组织","合同帮教","12","凤宁欣","15002003077","李豪","毕辉力","330227197511093098","1975年11月9日","男","汉族","浙江省宁波市 ","高碑店西店村信安门39号楼惟饮者酒窖","浙江省宁波市 ","高中","已婚","中共党员","无","工程师","杭州市余杭区","高碑店西店村信安门39号楼惟饮者酒窖","15002003077","无","危险驾驶罪交通肇事罪","宁波市鄞州区监狱","5年","危险性较高","2013-07-30","2019-02-21","已衔接","危险驾驶","否","否","否","无","未安置","上级部门未批准","是","2019-03-10","盗窃罪重","施昌成","2019-02-26","法制教育","未帮教","是","是"
"下面高司法所","嘉兴市秀洲区司法局","14","柳惠珠","13305752356","宁波市宁海县前童镇安置帮教组织","家庭亲属帮教","1","闵敬震","13305752356","郝馨","倪博","331013198009211547","1980年9月21日","女","汉族","浙江省台州市","清河毛纺路南口五彩城斜对面","浙江省台州市","初中","未婚","群众","无","警察","温州市苍南县","清河毛纺路南口五彩城斜对面","13305752356","无","婚罪非法拘禁罪","温州市永嘉县监狱","13年","危险性中等","2014-03-26","2019-04-09","未衔接","婚","是","是","否","无","未安置","上级部门未批准","是","2019-05-20","贪污罪","宋柔","2019-04-19","管理和监督","未帮教","否","是"
"下马峪司法所","杭州市拱墅区司法局","58","戴宁欣","13308127780","金华市永康市芝英镇安置帮教组织","帮教小组帮教","12","周晨辰","13308127780","张永","米婵","330222197801263911","1978年1月26日","男","汉族","浙江省宁波市 ","牡丹园西里16号楼","浙江省宁波市 ","初中","未婚","中共党员","无","歌手","杭州市富阳区","牡丹园西里16号楼","13308127780","无","危险驾驶罪交通肇事罪","宁波市北仑区监狱","15年","危险性较高","2018-03-25","2019-04-15","已衔接","危险驾驶","否","是","否","无","未安置","上级部门未批准","是","2019-05-01","挪用公款罪","孟顺","2019-04-08","法制教育","已完成帮教","否","是"
