"1","市局","福田区地铁2号线","深康村保障性住房住宅区","024A","公共租赁住房出租(社会)","49.76","XZ-ZL2014001","周宏","身份证","621415198302085253","甘肃省天水市张家川回族自治县","15907492485","2014-12-15 00:00:00",""
"2","光明","光明区松白路长春路交汇","宏发天汇城一期","1403","公共租赁住房出租(社会)","64.73","XZ-ZL2018002","车璐","身份证","330627197710056360","浙江省绍兴市新昌县","13900142358","2019-06-01 00:00:00",""
"3","罗湖","布吉街道锦龙陆路","亲蜜家公寓","0304","公共租赁住房出租(社会)","40.81","XZ-ZL2018003","季纨馥","身份证","641722198006258159","宁夏回族自治区吴忠市灵武市","13707510282","2019-01-01 00:00:00",""
"4","市局","贵湾三路","龙海家园","2101","公共租赁住房出租(社会)","41.66","XZ-ZL2015004","夏亚","身份证","341012198312308424","安徽省黄山市徽州区","13306374617","2015-06-01 00:00:00",""
"5","光明","光明区松白路长春路交汇","宏发天汇城一期","1409","公共租赁住房出租(社会)","64.73","XZ-ZL2015005","谈娜琴","身份证","521312199410172151","贵州省遵义市仁怀市","15707624765","2019-06-01 00:00:00",""
"6","市局","贵湾三路","龙海家园","1904","公共租赁住房出租(社会)","52.31","XZ-ZL2014006","窦旭","身份证","321727197312221646","江苏省宿迁市泗洪县","13204973845","2015-06-01 00:00:00",""
"7","市局","福田区地铁2号线","深康村保障性住房住宅区","018H","公共租赁住房出租(社会)","49.33","XZ-ZL2016007","梅丽","身份证","711113199503051530","新疆维吾尔族自治区石河子市","15704641043","2014-12-15 00:00:00",""
"8","市局","贵湾三路","龙海家园","0805","公共租赁住房出租(社会)","52.31","XZ-ZL2014008","韩琦","身份证","531009198910133827","云南省玉溪市元江哈尼族彝族傣族自治县","13703727389","2015-06-01 00:00:00",""
"9","南山","南山区茶文路","冠铭花园","2701","公共租赁住房出租(社会)","69.5","XZ-ZL2016009","崔婷","身份证","350406198501316971","福建省三明市三元区","13704307376","2019-01-01 00:00:00",""
"10","市局","福田区地铁2号线","深康村保障性住房住宅区","019B","公共租赁住房出租(社会)","59.36","XZ-ZL2017010","萧鹏","身份证","350901197102259035","福建省龙岩市漳平市","13106313184","2014-12-15 00:00:00",""
"11","市局","贵湾三路","龙海家园","2102","公共租赁住房出租(社会)","45.03","XZ-ZL2014011","苗韵雪","身份证","351210198805314502","福建省龙岩市漳平市","15901145535","2015-06-01 00:00:00",""
"12","南山","南山区茶文路","冠铭花园","2708","公共租赁住房出租(社会)","69.5","XZ-ZL2014012","马坚","身份证","310719198309261251","上海市崇明县","13900093355","2019-01-01 00:00:00",""
"13","市局","贵湾三路","龙海家园","2205","公共租赁住房出租(社会)","52.31","XZ-ZL2017013","管婕","身份证","121725197406299811","天津市蓟县","13307390957","2015-06-01 00:00:00",""
"14","市局","贵湾三路","龙海家园","2006","公共租赁住房出租(社会)","43.2","XZ-ZL2014014","高国盛","身份证","630122197405233704","青海省西宁市大通回族土族自治县","15904435308","2015-06-01 00:00:00",""
"15","南山","南山区茶文路","冠铭花园","2801","公共租赁住房出租(社会)","69.5","XZ-ZL2017015","钟珍","身份证","121602197301079937","天津市蓟县","15003635131","2019-01-01 00:00:00",""
"16","市局","福田区地铁2号线","深康村保障性住房住宅区","020G","公共租赁住房出租(社会)","59.62","XZ-ZL2014016","邵榕","身份证","140325197612046568","山西省阳泉市盂县","13503234639","2014-12-15 00:00:00",""
"17","市局","福田区地铁2号线","深康村保障性住房住宅区","021G","公共租赁住房出租(社会)","59.62","XZ-ZL2017017","季若克","身份证","541413197203185912","西藏自治区拉萨市墨竹工卡县","15100120633","2014-12-15 00:00:00",""
"18","市局","南山区留仙大道","朗麓家园","B910","公共租赁住房出租（单位）","55.91","XZ-ZL2018018","谭江腾","身份证","420420199412172925","湖北省十堰市丹江口市","13704317452","2018-11-29 00:00:00",""
"19","市局","南山区留仙大道","朗麓家园","1001","公共租赁住房出租（单位）","55.74","XZ-ZL2018019","谭栋","身份证","210723199306154281","辽宁省锦州市太和区","13701566002","2018-11-29 00:00:00",""
"20","市局","福田区地铁2号线","深康村保障性住房住宅区","019F","公共租赁住房出租(社会)","59.56","XZ-ZL2014020","萧梁安","身份证","441603197306055363","广东省河源市源城区","13305304301","2014-12-15 00:00:00",""
"21","南山","南山区茶文路","冠铭花园","2904","公共租赁住房出租(社会)","69.5","XZ-ZL2017021","林馥","身份证","651410197203115905","新疆维吾尔族自治区克拉玛依市乌尔禾区","15007567116","2019-01-01 00:00:00",""
"22","市局","贵湾三路","龙海家园","1607","公共租赁住房出租(社会)","43.2","XZ-ZL2016022","乐菁","身份证","461317198103046466","海南省三亚市市辖区","15303227678","2015-06-01 00:00:00",""
"23","南山","南山区茶文路","冠铭花园","3004","公共租赁住房出租(社会)","69.5","XZ-ZL2015023","申刚琛","身份证","141301198110244232","山西省晋城市怀仁县","13706547606","2019-01-01 00:00:00",""
"24","市局","贵湾三路","龙海家园","2305","公共租赁住房出租(社会)","52.31","XZ-ZL2015024","戴平","身份证","361608198302026970","江西省赣州市南康市","15205130485","2015-06-01 00:00:00",""
"25","市局","贵湾三路","龙海家园","1014","公共租赁住房出租(社会)","54.1","XZ-ZL2016025","邹伦","身份证","631714197203292228","青海省西宁市大通回族土族自治县","13103710069","2015-06-01 00:00:00",""
"26","南山","南山区茶文路","冠铭花园","0526","公共租赁住房出租(社会)","52.08","XZ-ZL2015026","陆永","身份证","520612197009224816","贵州省遵义市仁怀市","13806467355","2019-01-01 00:00:00",""
"27","南山","南山区茶文路","冠铭花园","0544","公共租赁住房出租(社会)","52.08","XZ-ZL2016027","谢伯","身份证","461606197111072479","海南省三亚市市辖区","13703491569","2019-01-01 00:00:00",""
"28","市局","贵湾三路","龙海家园","1705","公共租赁住房出租(社会)","52.29","XZ-ZL2018028","陶志辉","身份证","650610198401166344","新疆维吾尔族自治区克拉玛依市乌尔禾区","15500794032","2015-06-01 00:00:00",""
"29","市局","贵湾三路","龙海家园","2110","公共租赁住房出租(社会)","52.29","XZ-ZL2017029","邵瑞妍","身份证","810209198802083031","新疆维吾尔族自治区石河子市","15803310744","2015-06-01 00:00:00",""
"30","市局","贵湾三路","龙海家园","1709","公共租赁住房出租(社会)","43.28","XZ-ZL2017030","严言","身份证","531020198006151717","云南省玉溪市元江哈尼族彝族傣族自治县","15507443776","2015-06-01 00:00:00",""
"31","南山","南山区茶文路","冠铭花园","1607","公共租赁住房出租(社会)","69.59","XZ-ZL2018031","赵霞芸","身份证","141617198705014093","山西省晋城市怀仁县","13006020122","2019-01-01 00:00:00",""
"32","宝安","宝安区松福大道","满京华云著花园","1311","公共租赁住房出租(社会)","65.18","XZ-ZL2018032","乐豪","身份证","151124197008175462","内蒙古自治区赤峰市敖汉旗","15304117892","2019-12-01 00:00:00",""
"33","宝安","宝安区前进路","华强城市花园","2908","公共租赁住房出租(社会)","66.02","XZ-ZL2015033","鲁建","身份证","811006197705225534","新疆维吾尔族自治区石河子市","13601385522","2019-12-01 00:00:00",""
"34","市局","贵湾三路","龙海家园","0310","公共租赁住房出租(社会)","52.41","XZ-ZL2017034","段元顺","身份证","541507199304114406","西藏自治区拉萨市墨竹工卡县","13407171334","2015-06-01 00:00:00",""
"35","市局","贵湾三路","龙海家园","2205","公共租赁住房出租(社会)","52.41","XZ-ZL2014035","安心昌","身份证","411408197206055614","河南省商丘市睢阳区","15007070715","2015-06-01 00:00:00",""
"36","市局","贵湾三路","龙海家园","1805","公共租赁住房出租(社会)","52.41","XZ-ZL2018036","鲍姬纯","身份证","510501199005082499","四川省泸州市市辖区","15301435037","2015-06-01 00:00:00",""
"37","宝安","宝安区前进路","华强城市花园","2504","公共租赁住房出租(社会)","68.69","XZ-ZL2018037","司政","身份证","341028198506237398","安徽省黄山市祁门县","13107125768","2019-12-01 00:00:00",""
