"钱线统","qian","xiantong","130324197607122687","女","汉族","1976/7/12","甘肃省甘南藏族自治州","北京北京市","北京北京市通州区台湖镇
","18022925043","","护照"
"乐穿雷","le","chuanlei","130581197811171580","女","蒙古族","1978/11/17","广东省清远市","天津天津市","天津天津市滨海新区临港工业区
","14741723541","","港澳通行证"
"余手元","yu","shouyuan","130601196604212086","男","汉族","1966/4/21","江苏省徐州市","北京北京市","北京北京市密云县新城子镇
","14533067266","","护照"
"贺卖受","he","mai","130625200903201758","女","汉族","2009/3/20","宁夏回族自治区固原市","河北石家庄市","河北石家庄市藁城市张家庄镇
","15994149887","","港澳通行证"
"何处晚","he","chuwan","130705194312232431","男","汉族","1943/12/23","新疆维吾尔自治区塔城地区","天津天津市","天津天津市河北区望海楼街道
","15580018036","","护照"
"陶事戴","tao","shidai","130705201505011021","女","汉族","2015/5/1","澳门特别行政区离岛","天津天津市","天津天津市蓟县杨津庄镇
","14572538818","","护照"
"郝室势","hao","shishi","130724201707251460","男","汉族","2017/7/25","广东省河源市","河北石家庄市","河北石家庄市灵寿县南燕川乡
","13668791935","","港澳通行证"
"何变眼","he","bianyan","130804194005212923","男","汉族","1940/5/21","湖北省随州市","天津天津市","天津天津市宁河县七里海镇
","13132862714","","台湾通行证"
"蒋照词","jiang","zhaoci","130823200003052716","女","汉族","2000/3/5","天津天津市","天津天津市","天津天津市武清区泗村店镇
","18025514847","","护照"
"毛区宝","mao","qubao","130983199811022423","男","汉族","1998/11/2","云南省大理白族自治州","北京北京市","北京北京市延庆县儒林街道
","13065550344","","护照"
"李罪雷","li","zuilei","131023196105142999","女","壮族","1961/5/14","重庆重庆市","北京北京市","北京北京市密云县溪翁庄镇
","15142205008","","台湾通行证"
"唐于息","tang","yuxi","131024199705301156","男","汉族","1997/5/30","山西省临汾市","河北石家庄市","河北石家庄市栾城县南高乡
","15170008961","","护照"
"齐午超","qi","wuchao","131081199610282965","男","汉族","1996/10/28","福建省莆田市","北京北京市","北京北京市密云县北庄镇
","17569285645","","台湾通行证"
"殷批这","yin","pizhe","131101196603281438","男","汉族","1966/3/28","内蒙古自治区锡林郭勒盟","天津天津市","天津天津市宝坻区宝平街道
","18293517052","","护照"
"邬势志","wu","shizhi","140123199006093001","男","汉族","1990/6/9","内蒙古自治区通辽市","北京北京市","北京北京市朝阳区豆各庄
","15798931750","","台湾通行证"
"谢该但","xie","gaidan","140411195808311413","女","回族","1958/8/31","陕西省延安市","天津天津市","天津天津市河东区唐家口街道
","13767790446","","护照"
"华什健","hua","shenjian","14052119870914122X","女","汉族","1987/9/14","宁夏回族自治区中卫市","北京北京市","北京北京市延庆县康庄镇
","15352808682","","港澳通行证"
"姜伊合","jiang","yihe","140521201009062269","男","汉族","2010/9/6","甘肃省陇南市","河北石家庄市","河北石家庄市长安区建北街道
","14593085668","","港澳通行证"
"孟架草","meng","jiacao","14243119990807115X","男","汉族","1999/8/7","安徽省合肥市","河北石家庄市","河北石家庄市裕华区裕华路街道
","15771352879","","港澳通行证"
"酆票车","feng","piaoche","150304195103191258","女","壮族","1951/3/19","甘肃省甘南藏族自治州","河北石家庄市","河北石家庄市平山县西柏坡镇
","18580927648","","台湾通行证"
"贝满","bei","man","152131197203241258","男","汉族","1972/3/24","江西省鹰潭市","河北石家庄市","河北石家庄市新华区五七街道
","17111795704","","港澳通行证"
"史继选","shi","jixuan","152801199207161852","男","汉族","1992/7/16","香港特别行政区九龙","河北石家庄市","河北石家庄市井陉县天长镇
","15236893040","","台湾通行证"
"雷假佛","lei","jiafu","210106198305222595","女","汉族","1983/5/22","湖北省神农架林区","河北石家庄市","河北石家庄市鹿泉市上寨乡
","13912455445","","港澳通行证"
"卜宣","bo","xuan","210111194509182612","男","汉族","1945/9/18","湖北省武汉市","河北石家庄市","河北石家庄市无极县郭庄镇
","17895918974","","港澳通行证"
"水定丽","shui","dingli","210211195505041302","女","汉族","1955/5/4","江苏省盐城市","天津天津市","天津天津市南开区王顶堤街道
","13176875602","","台湾通行证"
"齐怀负","qi","huai","210302199604161921","女","汉族","1996/4/16","黑龙江省绥化市","北京北京市","北京北京市丰台区丰台街道
","15888199521","","台湾通行证"
"朱忍西","zhu","renxi","210304195006032008","女","汉族","1950/6/3","云南省昭通市","北京北京市","北京北京市昌平区北七家镇
","13150766631","","台湾通行证"
"魏至考","wei","zhikao","210323193710292751","女","汉族","1937/10/29","山东省莱芜市","河北石家庄市","河北石家庄市藁城市九门回族乡
","13143644142","","港澳通行证"
"乐底把","le","diba","210801197409182307","男","汉族","1974/9/18","江西省赣州市","河北石家庄市","河北石家庄市栾城县冶河镇
","18395256056","","护照"
"贺受可","he","shouke","210901197208122602","男","满族","1972/8/12","贵州省安顺市","河北石家庄市","河北石家庄市新乐市杜固镇
","14581653278","","台湾通行证"
"秦香道","qin","xiangdao","210902201305211995","女","汉族","2013/5/21","福建省南平市","天津天津市","天津天津市北辰区天穆镇
","13961514558","","港澳通行证"
"韦孩此","wei","haici","211221200208232732","男","汉族","2002/8/23","宁夏回族自治区中卫市","天津天津市","天津天津市河北区新开河街道
","14980612588","","港澳通行证"
"于笔交","yu","bijiao","220203201510101445","男","回族","2015/10/10","黑龙江省齐齐哈尔市","天津天津市","天津天津市和平区南市街道
","14926524388","","港澳通行证"
"梁规每","liang","guimei","220402197506031398","男","苗族","1975/6/3","内蒙古自治区包头市","北京北京市","北京北京市丰台区东高地街道
","14988156006","","护照"
"戴外腿","dai","waitui","220722201408162563","男","汉族","2014/8/16","吉林省松原市","河北石家庄市","河北石家庄市高邑县大营镇
","17252296741","","港澳通行证"
"蒋并","jiang","bing","220801197612302193","男","壮族","1976/12/30","黑龙江省佳木斯市","天津天津市","天津天津市津南区津南开发区西区
","18536669221","","港澳通行证"
"安姐任","an","jieren","230106195201012673","男","汉族","1952/1/1","上海上海市","天津天津市","天津天津市东丽区张贵庄街道
","18341377575","","护照"
"和东仅","he","dongjin","230121196611172221","男","汉族","1966/11/17","湖南省益阳市","河北石家庄市","河北石家庄市赞皇县院头镇
","13625712624","","港澳通行证"
