"1","深圳市南山区汇丰建材店","深圳市南山区西丽平山村126号A","私营","马俊","341027198105227884","批发和零售","","粤卫公证字[2007]第0100F00225号","五金、建筑材料。                                          ","","广东省卫生计生委","2017-03-13","2019-08-15"
"2","深圳市宝安区西乡圣多美汤粉店","深圳市宝安区西乡河西工业区7档3号","私营","顾羽","641509197907019266","批发和零售","","粤卫公证字[2007]第0100F00282号","汤粉*（凭许可证有效期经营）                                    ","","广东省卫生计生委","2017-06-28","2019-10-10"
"3","深圳市九九鸿业有限公司","深圳市宝安区松岗街道沙江路御景城1栋2单元14A","私营","尹志光","420424199411066496","批发和零售","","粤卫公证字[2007]第0100F00294号","电子产品的销售；国内贸易；经营进出口业务。；许可经营范围：","","广东省卫生计生委","2017-01-03","2019-11-27"
"4","深圳市宝安区西乡蔚美照相馆","深圳市宝安区西乡街道三围社区北六巷14号101","私营","邬妹菊","120108198008239910","批发和零售","","粤卫公证字[2010]第0100F00586号","照相服务＊（不含国家限制项目）；许可经营范围：","","广东省卫生计生委","2015-09-22","2020-12-28"
"5","深圳市福田区瑞熙泽电子商行","深圳市福田区华强北街道华发北路桑达电子通讯市场2A039号","私营","姜和厚","360819199407032557","批发和零售","","粤卫公证字[2010]第0100F00588号","电子产品及配件的批发零售。；许可经营范围：","","广东省卫生计生委","2016-07-17","2021-06-21"
"6","深圳市桦亿餐饮管理有限公司东湖分公司","深圳市罗湖区东湖街道东湖路东侧彩世界家园裙楼103-A2","私营","喻苑荔","641521197004281842","批发和零售","","粤卫公证字[2011]第0100F00023号","为餐饮企业提供管理咨询服务；服装鞋帽、日用品、家庭用品、文具用品、工艺美术品（不含文物）、机械设备、","","广东省卫生计生委","2014-09-07","2019-10-22"
"7","深圳市贝研科技有限公司","深圳市宝安区沙井街道芙蓉六路2号1号厂房三楼","私营","汤珊","430215199707259200","批发和零售","","粤卫公证字[2012]第0100A00001号","塑胶制品、模具的技术开发与销售；绝缘胶带、保护膜、EVA泡棉、薄膜的研发与销售；国内贸易，货物及技术","","广东省卫生计生委","2017-06-18","2021-07-19"
"8","深圳市龙华新区民治波波龙母婴馆","深圳市龙华新区龙华街道白石龙路龙悦居一期1005号商铺","私营","曹先进","811817196910261298","批发和零售","","粤卫公证字[2012]第0100A00002号","""服装、日用品、玩具零售，数码摄影、扩印＊","","广东省卫生计生委","2014-10-26","2019-11-16"
"9","深圳市罗湖区辉哥家私店","深圳市罗湖区黄贝街道深南东路1002号黄贝岭中村46002","私营","时冰","460803197304122039","批发和零售","","粤卫公证字[2012]第0100A00003号","家私、家用电器的零售。；许可经营范围：
","","广东省卫生计生委","2015-11-29","2020-09-09"
"10","深圳宏腾科技有限公司","深圳市蛇口新街滨海苑8栋601室","私营","鲍朋","530512197011188487","批发和零售","","粤卫公证字[2012]第0100A00005号","；许可经营范围：预包装食品零售（凭有效的食品流通许可证经""","","广东省卫生计生委","2016-05-25","2020-01-20"
"11","深圳市天市垣实业有限公司","深圳市南山区高新南七道022号高新工业村T2-B1-a-a房","私营","郝树朗","331018198908252305","批发和零售","","粤卫公证字[2012]第0100B00001号","家私、家用电器的零售。；许可经营范围：","","广东省卫生计生委","2015-10-21","2021-06-18"
"12","深圳市南山区正沙汽车修理店","深圳市南山区蛇口新街146-2","私营","蒋富心","641512198304263583","批发和零售","","粤卫公证字[2012]第0100F00030号","普及型提花织物纹制ＣＡＭ系统，计算机软件开发。 ；许可经营范围：","","广东省卫生计生委","2017-07-15","2020-08-14"
"13","深圳市宝安区沙井新家乐厨柜商店","深圳市宝安区沙井街道坣岗社区觉园新村五巷22号西面铺","私营","元哲富","310808199405113158","批发和零售","","粤卫公证字[2013]第0100A00002号","兴办实业（具体项目另行申报）；无线电设备、计算机网络、电子产品的技术开发、租赁视频音频设备（不含限制","","广东省卫生计生委","2015-07-14","2021-02-12"
"14","深圳市俊峰成贸易商行","深圳市罗湖区红岭路1010号深圳国际信托大厦1902室","私营","孔勤姣","521605198601174375","批发和零售","","粤卫公证字[2013]第0100A00003号","汽车配件、汽车用品的销售。；许可经营范围：","","广东省卫生计生委","2015-09-25","2020-08-30"
