"1","郑州市第二十九中学","贺琳","女","1977/8/4","460312197708048125","2002-08-17","民办教师","高级教师","美术","13503851997","河南省郑州市百子湾路16号"
"2","合肥八中","管茜燕","女","1984/6/23","331810198406236793","2010-07-14","公办教师","一级教师","化学","13801366101","安徽省合肥市十八里店周庄嘉园C区4号院西门北200米"
"3","山西长安综合高级中学校","姜昌","男","1978/5/25","360911197805258910","2005-08-22","民办教师","正高级教师","美术","15801526246","山西省太原市陆港城商业步行街内104-105号"
"4","南京市第九中学震旦校区","安馨","女","1979/12/3","501628197912034989","2006-11-29","外聘人员","高级教师","语文","13703652790","江苏省南京市站前北街"
"5","成都七中","陆滢","女","1973/9/25","220825197309253914","1999-07-17","民办教师","高级教师","外语","15807550706","四川省成都市神路街39号"
"6","成都市龙泉外国语实验学校","侯丽蓉","女","1976/1/25","651805197601258988","2003-11-30","外聘人员","一级教师","计算机技术","13006417818","四川省成都市二拨子工业园区中路102号"
"7","长春市第六中学","裴天之","男","1975/8/13","230508197508138864","2004-06-03","外聘人员","三级教师","物理","15204011553","吉林省长春市双榆树北里榆苑公寓"
"8","长沙市楚才高级中学","薛盛","男","1971/10/22","460501197110221575","2000-05-09","民办教师","高级教师","外语","15304764608","湖南省长沙市春泽路与临泓路交叉口南行80米路西"
"9","太原市第五中学校","郑薇","女","1971/7/30","331003197107301660","1997-03-15","外聘人员","一级教师","体育","15207778232","山西省太原市十八里店周庄嘉园C区4号院西门北200米"
"10","福州第三中学","吕玉可","女","1984/1/1","531211198401018571","2010-09-24","民办教师","正高级教师","生物","15804277374","福建省福州市民旺北胡同民旺园"
"11","浙江省杭州第七中学","皮发","男","1973/3/7","711815197303076006","1999-11-11","公办教师","二级教师","体育","15300752460","浙江省杭州市亦庄荣昌东街地铁站旁"
"12","河北正定中学","熊永山","男","1972/12/28","310617197212288992","1998-08-13","外聘人员","正高级教师","数学","15308118319","河北省石家庄市双榆树北里榆苑公寓"
"13","合肥新华中学","乔勤雁","女","1982/9/7","111617198209076995","2008-08-29","民办教师","高级教师","地理","15608425150","安徽省合肥市田村路京粮广场2楼"
"14","合肥市第二十二中学","诸纨舒","女","1983/5/11","530205198305114187","2011-10-23","民办教师","三级教师","数学","15706065949","安徽省合肥市东直门内大街15-7号"
"15","北京市汇成中学","梁泰","男","1976/10/10","330410197610101095","2006-06-07","公办教师","高级教师","化学","13004950036","北京市机场生活区西平街一号"
"16","盐城市第三中学","唐泽","男","1980/3/31","450211198003317648","2007-05-29","公办教师","高级教师","语文","15807621857","江苏省南京市红霞中路北京荣源兴业水站旁"
"17","晋阳中学","屈思叶","女","1981/5/6","151528198105064826","2009-08-20","外聘人员","一级教师","思想政治","13304328022","山西省太原市东四北大街甲82-1号"
"18","重庆市潼南第一中学校","路裕","男","1972/6/11","710426197206116202","2002-04-11","公办教师","高级教师","语文","13005097749","重庆市南环路53号悦荟万科广场B1"
"19","成都市龙泉外国语实验学校","刘若子","男","1981/2/20","131118198102206206","2010-03-18","公办教师","正高级教师","体育","15202993098","四川省成都市文华西路赵记蜜制烤翅旁"
"20","闽侯二中","金莲勤","女","1983/3/31","371307198303315812","2013-07-07","民办教师","一级教师","数学","15802635774","福建省福州市百子湾路16号"
"21","上海市五爱高级中学","田振平","男","1973/7/18","220319197307182086","2000-03-23","民办教师","三级教师","历史","13706245852","上海市文华西路赵记蜜制烤翅旁"
"22","福州高级中学","申哲峰","男","1975/8/29","341121197508297310","2003-07-22","外聘人员","三级教师","生物","13100566891","福建省福州市十八里店周庄嘉园C区4号院西门北200米"
"23","合肥市第二十二中学","张顺伟","男","1972/5/9","360328197205096692","2001-11-02","公办教师","正高级教师","外语","15900602314","安徽省合肥市陆港城商业步行街内104-105号"
"24","长沙第三中学","常伊","女","1978/8/14","331719197808143689","2004-05-09","民办教师","正高级教师","化学","15904471298","湖南省长沙市朝阳路八里庄东里1号莱锦a区3号楼"
"25","西安思源中学","甘浩","男","1977/5/20","810226197705207663","2004-11-19","民办教师","三级教师","外语","15700133021","陕西省西安市毛纺西小区旁"
"26","山东省济南第二中学","贾雁贞","女","1984/7/7","651308198407076365","2010-12-23","民办教师","正高级教师","物理","13807841991","山东省济南市神路街39号"
"27","天津市明华学校","柏萍","女","1978/6/11","340712197806115039","2005-04-17","公办教师","正高级教师","计算机技术","13605521414","天津市毛纺西小区旁"
"28","重庆市綦江实验中学","段惠翠","女","1978/3/28","510804197803287942","2005-03-23","民办教师","一级教师","生物","15902900295","重庆市西六环路永安社区东门旁"
"29","上海市第八中学","齐胜军","男","1975/7/2","510712197507027355","2001-02-16","公办教师","高级教师","思想政治","13102971083","上海市陆港城商业步行街内104-105号"
"30","南昌二中","孙亚","女","1982/10/5","810902198210055388","2008-09-13","外聘人员","高级教师","生物","13600452436","江西省南昌市二拨子工业园区中路102号"
"31","北京市东城综合高中","史爱爱","女","1971/9/20","230312197109202736","1997-04-14","民办教师","高级教师","历史","15205376808","北京市复兴路五棵松乐视体育生态中心"
"32","昆明市第三十四中学","云保朋","男","1972/5/1","500110197205016848","2002-06-14","公办教师","正高级教师","地理","13604061792","云南省昆明市亚运村北苑路安慧里四区15号楼"
"33","天津市第七中学","甄晨","男","1976/6/3","370109197606032699","2004-09-14","民办教师","正高级教师","历史","15907376399","天津市马连洼北路15号"
"34","山东省济南第二中学","凌英","女","1971/5/29","450118197105291261","2000-09-06","外聘人员","高级教师","思想政治","13607072078","山东省济南市文慧园西路内100米"
"35","西安市第六中学","洪馥静","女","1971/8/5","110414197108058415","1998-03-26","公办教师","高级教师","音乐","15005006618","陕西省西安市东直门内大街10号楼-3号"
"36","闽侯二中","项妹爱","女","1977/1/21","410523197701211355","2002-08-19","民办教师","正高级教师","化学","13906767597","福建省福州市健安东路安贞西里二区3号楼"
"37","山东省济南第三中学","娄英琳","女","1975/6/26","450628197506266991","2003-01-25","公办教师","正高级教师","地理","15902504867","山东省济南市亚运村北苑路安慧里四区15号楼"
"38","浙江省杭州第二中学","章峰","男","1972/7/10","411423197207105313","2000-05-16","公办教师","三级教师","语文","13503917697","浙江省杭州市东四北大街甲82-1号"
"39","福建省福州第一中学","任希","女","1976/10/12","220626197610126295","2003-12-26","民办教师","三级教师","语文","15803275936","福建省福州市亚运村北苑路安慧里四区15号楼"
"40","南昌二中","严坚","男","1980/10/2","370313198010025314","2009-03-08","外聘人员","高级教师","生物","13005688492","江西省南昌市北京丰台区临泓路1号"
"41","武汉市第二中学","王学承","男","1983/7/4","151205198307042960","2011-10-10","民办教师","正高级教师","计算机技术","13207743442","湖北省武汉市东直门内大街15-7号"
"42","石家庄市第一中学分校","胡敬海","男","1975/12/7","441227197512073981","2001-05-18","民办教师","三级教师","思想政治","15600849046","河北省石家庄市百子湾路16号"
"43","深圳福田中学","柯贵风","男","1981/6/11","320615198106116180","2008-11-05","民办教师","高级教师","化学","13202284186","广东省深圳市前孙公园胡同11号"
"44","沈阳市同泽高级中学","梅秋","女","1980/12/13","351418198012134893","2007-03-27","公办教师","高级教师","体育","13001258820","辽宁省沈阳市黄村镇滨河街5号"
"45","福州第三中学","裴良超","男","1975/8/12","120215197508122352","2001-03-19","外聘人员","三级教师","计算机技术","13803375321","福建省福州市机场生活区西平街一号"
"46","海口市长流中学","申佳","女","1982/4/27","341607198204277561","2009-03-30","民办教师","正高级教师","地理","13602237524","海南省海口市大屯路华夏良子向东路口右转"
"47","西安市第六中学","石谦翔","男","1971/10/25","370325197110257840","1996-09-17","公办教师","三级教师","历史","13504308916","陕西省西安市良乡镇北潞园小区"
"48","天津市第四十五中学","于时","男","1975/5/24","811818197505244212","2004-09-07","民办教师","高级教师","生物","13804953463","天津市复兴路五棵松乐视体育生态中心"
"49","重庆市万州高级中学","丁政致","男","1977/8/27","110801197708271442","2004-07-02","外聘人员","高级教师","生物","13001570285","重庆市文慧园西路内100米"
"50","成都市第四十中学校","余坚义","男","1975/12/31","210420197512318727","2002-04-11","外聘人员","正高级教师","地理","15203746082","四川省成都市田村路京粮广场2楼"
"51","上海市第八中学","范云","女","1973/12/22","410721197312224567","2002-07-23","公办教师","二级教师","体育","15905580646","上海市丽园路彩虹新城小区"
"52","黄陂区前川街环城中学","谈静芳","女","1982/4/3","461427198204031447","2008-12-03","公办教师","正高级教师","思想政治","15201760171","湖北省武汉市昌崔路北邵洼地铁附近"
"53","深圳福田中学","梁炎利","男","1977/6/20","531012197706203278","2005-06-05","公办教师","高级教师","体育","13800165132","广东省深圳市北七家镇燕城苑南区"
"54","景泰学校","车军楠","男","1984/7/12","441407198407123803","2011-04-29","外聘人员","二级教师","数学","15306165692","江西省南昌市陆港城商业步行街内104-105号"
"55","英才高级中学","孔薇","女","1979/1/12","430913197901127989","2009-01-18","民办教师","三级教师","计算机技术","13202504553","江西省南昌市百子湾路16号"
