"1","董兴","男","521602195009161396","暂停缴费","退休"
"2","孟波宁","女","650701195204117427","暂停缴费","退休"
"3","曹心邦","女","441825195804205182","参保缴费","离休"
"4","鲍怡婵","女","311617195509012941","冻结状态","离休"
"5","何腾","男","511124195204085537","冻结状态","退休"
"6","安勤","男","430524193604294718","参保缴费","离休"
"7","彭辉力","女","420909195606245267","冻结状态","退休"
"8","李文","男","711824193511244656","参保缴费","离休"
"9","何子","女","111713193212228647","冻结状态","离休"
"10","茅茜秋","男","621225195709197973","暂停缴费","离休"
"11","郑福","男","530106195703208557","冻结状态","离休"
"12","乐娴","女","710313193612318869","冻结状态","离休"
"13","孟霞香","女","341405194210079304","冻结状态","退休"
"14","傅河哲","男","421723194909202937","暂停缴费","离休"
"15","钱仪","男","431304195312094076","参保缴费","离休"
"16","苏盛","男","321003194212153878","暂停缴费","退休"
"17","秦江超","男","211824193212075270","参保缴费","离休"
"18","云昌成","男","121620194801056270","暂停缴费","退休"
"19","张旭","女","231128193807167126","参保缴费","离休"
"20","喻明永","男","311828193612203959","参保缴费","离休"
"21","唐惠珠","女","411526194802169462","冻结状态","退休"
"22","皮庆","女","131806194603189228","冻结状态","退休"
"23","周佳嘉","男","361316194610154354","暂停缴费","离休"
"24","阮倩","女","520920194509047843","冻结状态","退休"
"25","钱昌成","女","640419193604202260","参保缴费","退休"
"26","汤勇毅","男","530922195812055935","参保缴费","退休"
"27","昌健世","男","371404193005174032","冻结状态","离休"
"28","禹伯","男","420827193401157599","冻结状态","退休"
"29","金功","男","620128193712014138","暂停缴费","离休"
"30","方建家","男","620913193909277774","暂停缴费","退休"
"31","陶学祥","男","221623193504117371","暂停缴费","离休"
"32","邹珍贞","男","440612195504051175","参保缴费","离休"
"33","戚彬","男","131610194905214917","参保缴费","离休"
"34","戚荔","女","651125193107256345","暂停缴费","退休"
"35","严仪","男","321017193310085550","暂停缴费","离休"
"36","岑磊民","女","340423195712282821","参保缴费","离休"
"37","邹义兴","男","641420193608065279","参保缴费","离休"
"38","蒋有","男","331320193103258279","参保缴费","退休"
"39","钱馥","女","431725195206229806","冻结状态","退休"
"40","薛婷姣","男","431515194601299216","暂停缴费","离休"
"41","戚勇毅","男","411109193802252954","暂停缴费","退休"
"42","邵富顺","男","151027194810088950","暂停缴费","离休"
"43","柏克伦","男","510925195504306493","冻结状态","离休"
"44","熊士以","男","431818193804155694","参保缴费","离休"
"45","康蓓","男","460410193410167678","暂停缴费","离休"
"46","萧邦","女","110704193608093680","冻结状态","退休"
"47","赵玉","女","210909194812276005","参保缴费","退休"
"48","阮豪","女","501426193106125800","暂停缴费","退休"
"49","雷康星","女","610109194005095006","参保缴费","退休"
"50","昌芸","男","811715192911045170","参保缴费","退休"
"51","明仁","男","440223195110315970","参保缴费","离休"
"52","韩璧璐","男","541213193607238974","暂停缴费","离休"
"53","金榕","女","441702193801077668","冻结状态","退休"
"54","华会思","男","651301194007261331","冻结状态","离休"
"55","柏达安","男","650912193511203677","参保缴费","离休"
"56","雷谦","女","541802193507126509","冻结状态","退休"
