"1257","安醉蓝","冀子藤","1985-07-25","1996-02-07","良好","良好","2015-12-08","2015-12-08","浙江省绍兴市","浙江省嘉兴市","青塔西路青塔综合市场向南50米","青塔西路青塔综合市场向南50米","冀若实","男","2016-07-29"
"2295","隗怀亦","施榭彬","1980-03-27","1984-09-12","良好","良好","2017-10-20","2017-10-20","浙江省湖州市","浙江省台州市","朝外大街日坛国际酒店B1","朝外大街日坛国际酒店B1","施海佳","男","2018-08-11"
"3061","胡以亦","哈谷柏","1998-07-07","1978-07-22","良好","良好","2018-03-19","2018-03-19","浙江省绍兴市","浙江省衢州市","鼓楼西大街205号","鼓楼西大街205号","哈渊浩","男","2018-12-21"
"4158","尚夏菡","林秦风","1987-12-02","1992-10-30","良好","良好","2018-03-06","2018-03-06","浙江省温州市","浙江省嘉兴市","韩村河镇韩村河村农贸市场","韩村河镇韩村河村农贸市场","林国文","男","2018-11-22"
"4338","毋寒雁","邴利泰","1988-10-07","1985-04-02","良好","良好","2014-09-26","2014-09-26","浙江省金华市","浙江省金华市","魏永路","魏永路","邴谷涛","男","2015-05-29"
"4531","聂映易","荣菖蒲","1979-05-29","1998-07-23","良好","良好","2015-02-09","2015-02-09","浙江省舟山市","浙江省台州市","车站路41号","车站路41号","荣禹泽","男","2015-11-19"
"5041","樊冰彤","墨安吉","1999-04-01","1980-02-24","良好","良好","2015-01-16","2015-01-16","浙江省绍兴市","浙江省台州市","来广营新北路甲8号","来广营新北路甲8号","墨铎秦","男","2015-09-04"
"5651","卜含烟","殳根晨","1976-10-15","1988-09-29","良好","良好","2016-10-28","2016-10-28","浙江省台州市","浙江省绍兴市","望京东路与利泽东街交叉口西南","望京东路与利泽东街交叉口西南","殳书宇","男","2017-08-07"
"6078","须秋翠","房寅飞","1991-03-26","1991-04-12","良好","良好","2016-09-06","2016-09-06","浙江省舟山市","浙江省绍兴市","东直门街道东直门内大街3号","东直门街道东直门内大街3号","房昱铭","男","2017-05-30"
"7165","米傲之","辛旭果","1991-11-15","1995-09-15","良好","良好","2016-11-14","2016-11-14","浙江省金华市","浙江省金华市","阜成门外大街26号","阜成门外大街26号","辛锦航","男","2017-08-23"
"7520","纪靖雁","丰家豪","1988-02-26","1977-08-29","良好","良好","2016-04-07","2016-04-07","浙江省衢州市","浙江省绍兴市","小黄庄北街2号","小黄庄北街2号","丰秉义","男","2016-11-23"
"7730","顾安蕾","沃斌彬","1996-09-19","1994-10-11","良好","良好","2017-01-12","2017-01-12","浙江省嘉兴市","浙江省温州市","西关环岛向北三公里，联合大学往北300米路口东","西关环岛向北三公里，联合大学往北300米路口东","沃金锦","男","2017-11-04"
"8664","别平蝶","徐菖键","1997-08-02","1980-07-29","良好","良好","2017-05-24","2017-05-24","浙江省衢州市","浙江省湖州市","开阳路8号悦秀城6层西南角","开阳路8号悦秀城6层西南角","徐向笛","男","2018-02-17"
"9325","程春儿","年英稽","1982-12-26","1976-02-14","良好","良好","2015-08-28","2015-08-28","浙江省绍兴市","浙江省衢州市","静安里国门大厦B座对面","静安里国门大厦B座对面","年泽欣","男","2016-06-21"
"9454","祝香寒","蒯昱朴","1993-08-22","1987-06-06","良好","良好","2014-10-28","2014-10-28","浙江省嘉兴市","浙江省绍兴市","望京华彩商业中心4楼江边城外旁","望京华彩商业中心4楼江边城外旁","蒯易天","男","2015-08-17"
"9642","籍念芹","倪韦林","1980-01-17","1998-11-22","良好","良好","2014-07-10","2014-07-10","浙江省嘉兴市","浙江省绍兴市","复兴路69号蓝色港湾购物中心6层","复兴路69号蓝色港湾购物中心6层","倪皓淇","男","2015-04-01"
"10180","佴从彤","段吉樾","1995-03-16","1984-05-01","良好","良好","2016-04-14","2016-04-14","浙江省台州市","浙江省衢州市","永外安乐林路77号","永外安乐林路77号","段昕睿","男","2017-01-13"
