"1","王统照墓","370105","文物修复工","卫军","7年","2014/12/4","劳动用工","男","500219198906149409","15102094409","重庆市东三环富力广场北天之骄子1-2-1002"
"2","向阳遗址","370211","考古挖掘工","顾斌","12年","2012/2/26","劳务用工","女","371404199611046879","13508165109","山东省济宁市广安门外车站西街一号院底商"
"3","海云庵","370203","监区巡视员","苏之","13年","2010/8/10","劳务用工","女","431710197912013816","15008176716","湖南省湘潭市成寿寺路136号中海城7号楼101-7室"
"4","崂山道教建筑群","370214","考古挖掘工","谢有","13年","2010/1/14","劳务用工","女","710423198203181996","15706081444","台湾市甜水园东街道家园甲6号"
"5","东峪南崖建筑群","370124","考古挖掘工","于莎嘉","7年","2015/4/2","劳动用工","男","511616197706209895","15308440746","四川省自贡市十八里店周庄嘉园C区4号院西门北200米"
"6","青云宫","370214","监区巡视员","秦树士","11年","2010/12/29","劳务用工","女","321105199011192338","15507902803","江苏省镇江市石佛营路与朝阳北路交叉口西北角串通店内"
"7","张店侵华日军战俘集中营旧址","370303","监区巡视员","卜鸣伦","12年","2008/1/19","劳务用工","女","341610197302135981","13300653080","安徽省蚌埠市广顺北大街六佰本商业街"
"8","东皂户遗址","370211","考古挖掘工","甄纨","6年","2016/5/21","劳务用工","男","540804199303022561","13604675959","西藏市百子湾路易构空间对面"
"9","大河南汉墓","370303","考古挖掘工","尹春巧","12年","2010/5/18","劳动用工","女","500622199605124473","15308627037","重庆市东直门内大街10号楼-3号"
"10","云翠山南天观建筑群","370124","监区巡视员","元承贵","9年","2013/4/19","劳务用工","男","520902199402206698","13107175330","贵州省安顺市四季青阜石路西山国际城甲69号11号楼107"
"11","兴国寺","370113","考古挖掘工","谈有","12年","2013/7/2","劳务用工","女","330317199501233875","15008187024","浙江省温州市春泽路与临泓路交叉口南行80米路西"
"12","青岛馆陶路近代建筑群","370203","监区巡视员","窦璐","11年","2009/4/14","劳动用工","男","631726198104103057","15600697177","青海市望京商业中心中庭广场F座109"
"13","经二路阜成信东记","370104","文物修复工","娄璧爽","8年","2012/12/12","劳动用工","男","611112199302177718","13405167255","陕西省延安市陈家林2号盈实大厦向西150米"
"14","青岛馆陶路近代建筑群","370203","文物修复工","乔融","15年","2005/9/25","劳务用工","女","711612198007131106","13700278074","台湾市开放路113号南四层609室"
"15","黄花山造像","370106","文物修复工","任志林","9年","2013/10/11","劳动用工","女","121813198405066394","15002016999","天津市亮甲店桥头亮甲店路美怡汽车服务有限公司亮甲店分公司隔壁"
"16","云台寺","370106","文物修复工","卜光","11年","2012/12/21","劳务用工","女","120811199902203583","13002994171","天津市朝阳公园路好运街B12商铺"
"17","云翠山南天观建筑群","370124","考古挖掘工","安浩","11年","2012/8/1","劳务用工","女","331801199005204520","13200777775","浙江省嘉兴市良乡镇北潞园小区"
"18","万德西南遗址","370112","监区巡视员","崔鸣","10年","2010/5/22","劳务用工","男","621209197609078631","13007841934","甘肃省酒泉市立汤路与立军路交汇处西南角"
"19","殷士儋墓","370103","考古挖掘工","雷咏珊","10年","2013/4/5","劳动用工","女","611311197702033980","13103143634","陕西省宝鸡市农业大学西校区"
"20","张舜臣碑楼","370113","文物修复工","吴中","9年","2011/4/19","劳务用工","女","440616199405185286","13101826911","广东省佛山市昌崔路北邵洼地铁"
"21","中共青岛地方支部旧址","370203","考古挖掘工","夏震弘","14年","2011/5/25","劳务用工","男","620605197512139111","13305027605","甘肃省兰州市东直门内大街5号楼（6）"
"22","青云宫","370214","文物修复工","曹良","10年","2010/12/20","劳动用工","女","461012198510141388","15602988167","海南省三亚市塔营北街北双桥村村委会西行10米"
"23","青云宫","370214","监区巡视员","邢晶琰","12年","2008/5/13","劳务用工","女","330705198906209902","15505710250","浙江省温州市东北旺苗圃厂部一区平房23号"
"24","大珠山遗址","370211","文物修复工","伏育晶","10年","2014/7/11","劳务用工","男","220928198704165054","13703310738","吉林省白山市北七家镇燕城苑南区"
"25","同仁会济南医院旧址","370104","文物修复工","颜山固","9年","2010/12/4","劳务用工","男","540603197701111214","15501980082","西藏市黄寺大街佰隆大厦4层"
"26","青云宫","370214","文物修复工","朱之松","7年","2015/2/2","劳动用工","女","640603197403314092","13704917437","宁夏市红霞中路北京荣源兴业水站旁"
"27","黄花山造像","370106","文物修复工","俞红妍","9年","2015/4/7","劳务用工","女","511105199901101768","15800304611","四川省广元市文华西路赵记蜜制烤翅旁"
"28","经四路英美烟草公司旧址","370103","考古挖掘工","陈振","14年","2005/7/26","劳动用工","女","511307197805117248","13806934835","四川省攀枝花市华远好天地商业中心37号楼3层301室"
"29","车站街津浦铁路公司高级职员府邸","370105","考古挖掘工","乔超","12年","2008/7/29","劳务用工","男","620717197805253594","13905851464","甘肃省平凉市石景山路2号北京台湾街C01区3号楼首层"
"30","大珠山遗址","370211","考古挖掘工","戴叶","6年","2014/7/22","劳务用工","女","521418197108228058","15302133939","贵州省遵义市朝阳路八里庄东里1号莱锦a区3号楼03a"
"31","济南南大寺","370103","监区巡视员","冯晨奇","6年","2014/6/4","劳动用工","男","540419197911271819","15106720244","西藏市文华西路赵记蜜制烤翅旁"
"32","栈桥及回澜阁","370202","考古挖掘工","管弘","7年","2015/3/12","劳动用工","男","371316199506203541","13301148238","山东省青岛市民旺北胡同民旺园"
"33","经三路日本总领事馆旧址","370104","监区巡视员","尹融冰","14年","2005/10/23","劳动用工","女","310218197609222193","13003827512","上海市南环路53号悦荟万科广场B1"
"34","宁海恭和王墓","370106","考古挖掘工","林平坚","12年","2011/10/9","劳务用工","男","811619198210035254","15504992553","香港市建国路93号万达广场16号楼103室"
"35","长清县学文庙大成殿","370112","文物修复工","胡茜梅","13年","2011/2/9","劳务用工","男","521712199011241854","13704841471","贵州省贵阳市丽园路彩虹新城小区北门东侧"
"36","崂山道教建筑群","370214","文物修复工","谭元钧","6年","2014/6/23","劳务用工","男","420125197508226804","15903370717","湖北省黄石市长辛店东三坡三里58号"
"37","天后宫","370202","文物修复工","周友敬","12年","2010/1/11","劳务用工","女","111719198911304801","15208123797","北京市黄村镇滨河街5号"
"38","太甲山摩崖造像","370106","文物修复工","洪荣姣","12年","2013/4/10","劳务用工","男","651214197703224574","13907544456","新疆市北京朝阳区光华路soho219"
"39","月庄遗址","370112","监区巡视员","贝纯","7年","2015/8/18","劳动用工","男","440913199805298152","13504035280","广东省惠州市东四北大街甲82-1号"
"40","陈家楼天主教堂","370105","文物修复工","席进","6年","2013/8/23","劳务用工","男","650402198212131526","15202546204","新疆市朝阳路八里庄东里1号莱锦a区3号楼03a"
