"温州市嘉汇贸易有限公司","私营企业","温州市车站大道金鳞花苑2幢601室","温州市嘉汇贸易有限公司","李志强","13492330277","927","823","399","0"
"温州东翔商业管理有限公司","国有企业","温州市杨府山路汇嘉大楼802室－3","温州东翔商业管理有限公司","陈红","18516047396","652","572","16","1"
"浙江广地建设工程有限公司","外资企业","嘉善县惠民街道东升路18号2号楼501室","浙江广地建设工程有限公司","韩霞","18174489171","1627","906","408","1"
"浙江通达建设集团有限公司","国有控股企业","诸暨市暨阳街道望江二路2号","浙江通达建设集团有限公司","郑刚","15662950584","1981","1015","690","1"
"浙江天立建设工程有限公司","国有控股企业","仙居县福应街道城北东路68号","浙江天立建设工程有限公司","曾秀兰","13295976623","1202","1193","545","1"
"杭州联强酒店管理有限公司","私营企业","杭州市江干区秋涛北路407-411号","杭州联强酒店管理有限公司","曾柳","13580858692","1849","1546","234","0"
"杭州百大置业有限公司","国有控股企业","杭州市江干区庆春东路1-1号西子联合大厦16楼","杭州百大置业有限公司","李建","13485623003","1630","1239","455","0"
"绿地控股集团杭州东城房地产开发有限公司","合资企业","杭州市江干区秋涛北路109.111号一楼12座","绿地控股集团杭州东城房地产开发有限公司","冀英","18515916588","1571","946","565","0"
"浙江明页装饰有限公司","外资企业","嵊州市鹿山街道东南路413-419号","浙江明页装饰有限公司","李平","13957880381","1833","1405","846","1"
"杭州玉玲珑置业有限公司","国有企业","余杭区运河街道明智村。","杭州玉玲珑置业有限公司","孟桂英","15152600505","1809","1662","224","0"
"绍兴婷美服装有限公司","国有控股企业","绍兴市孙端镇工业园区","绍兴婷美服装有限公司","张飞","15174283858","1900","1264","202","1"
"浙江省建德市食品城商业有限责任公司","外资企业","建德市新安江街道新安路157-163号","浙江省建德市食品城商业有限责任公司","曹雪梅","15388038101","1228","674","479","1"
"乐清市金利如房地产开发有限公司","合资企业","乐清市乐成街道京都大厦","乐清市金利如房地产开发有限公司","韦玉","13613896661","1513","1366","461","0"
"兰溪茂新置业有限公司","私营企业","浙江省兰溪兰江街道永顺路99号","兰溪茂新置业有限公司","王建国","15321051436","1922","1408","630","0"
"浙江智武光电科技有限公司","合资企业","海宁市尖山新区潮起路28号内招商中心1楼115室","浙江智武光电科技有限公司","吕金凤","13920260639","1711","940","293","1"
"绍兴市柯桥区迎日印染有限公司","外资企业","绍兴市柯桥区安昌镇车站路","绍兴市柯桥区迎日印染有限公司","廖萍","15767927818","1455","830","5","0"
"浙江百利电器有限公司","私营企业","浙江省武义经济开发区百花山工业区","浙江百利电器有限公司","谢帅","13887135542","1482","1374","446","1"
"欣悦棉整有限公司","外资企业","嘉兴市秀洲区王江泾开发区","欣悦棉整有限公司","陈建平","18754983927","909","670","309","0"
"浙江竞宏环保科技股份有限公司","合资企业","台州市海茂路1538号","浙江竞宏环保科技股份有限公司","陈欣","18113184174","852","812","127","1"
"德清县粮食收储有限公司","私营企业","武康镇永安街中房大厦B座6层","德清县粮食收储有限公司","刘玉","14545987781","1674","1625","252","0"
"杭州商辂丝绸有限公司","国有企业","淳安县威坪镇兴华街258号","杭州商辂丝绸有限公司","孙飞","13942245144","1616","1355","459","1"
"泰顺盛大房地产开发有限公司","外资企业","泰顺县雅阳镇祥云路1号","泰顺盛大房地产开发有限公司","傅桂珍","15962239676","1403","1000","307","0"
"浙江省冶金物资有限公司","国有企业","浙江省杭州市秋涛北路278号","浙江省冶金物资有限公司","樊建平","18641356788","534","419","83","0"
"温州市华夏人造革有限公司","国有企业","浙江温州工业园区长海路104号","温州市华夏人造革有限公司","刘俊","13076220912","762","762","158","1"
"浙江大港房地产开发有限公司","国有控股企业","湖州市织里镇吴兴大道88号一幢A单元405室","浙江大港房地产开发有限公司","周敏","18115086790","1892","1855","691","1"
"嘉兴兴城置业有限公司","国有企业","浙江省嘉兴市东升西路2588号","嘉兴兴城置业有限公司","宋岩","13980362722","933","720","440","1"
"浙江科旺纺织有限公司","私营企业","绍兴市柯桥区中国轻纺城坯布市场A区1楼1012、1013、1013A、1015号（连通营业房）","浙江科旺纺织有限公司","吴海燕","15526106411","1877","1120","203","0"
"杭州景浦置业有限公司","国有控股企业","杭州富阳区富春街道迎宾路48-31号","杭州景浦置业有限公司","张雪梅","15627890631","1956","1162","135","0"
"玉环一帆万向节有限公司","外资企业","玉环市芦浦镇漩门工业城","玉环一帆万向节有限公司","潘健","13362519585","1649","1158","351","0"
"杭州科明电子有限公司","私营企业","浙江省杭州市富阳区鹿山街道日月大道2号第10幢","杭州科明电子有限公司","张明","13984374880","1435","803","376","1"
"绍兴金丰电线电缆有限公司","私营企业","绍兴袍江工业区越东路","绍兴金丰电线电缆有限公司","罗霞","14584382187","1113","630","197","0"
"浙江东大环境工程有限公司","合资企业","诸暨市陶朱街道西二环路300号","浙江东大环境工程有限公司","刘建华","18880299684","1155","756","185","1"
"浙江万众皮业有限公司","国有企业","平阳县水头镇麻园工业区金园大道7号","浙江万众皮业有限公司","王秀珍","15224190412","1647","1384","25","0"
"浙江捷众进出口有限公司","合资企业","金华市宾虹路二段85号二楼","浙江捷众进出口有限公司","张峰","13314136140","809","692","322","1"
"中国人民财产保险股份有限公司舟山市分公司","合资企业","舟山市定海区临城街道定沈路620号1501、1502、1601、1602、1701、1702、1801、1802室，626号101、201室","中国人民财产保险股份有限公司舟山市分公司","韩桂兰","18522784356","998","746","285","0"
"浙江正亮置业投资有限公司巽宅分公司","合资企业","永嘉县巽宅镇巽宅村","浙江正亮置业投资有限公司巽宅分公司","徐洋","18272833945","1118","1005","499","1"
"华亿生态建设有限公司","国有企业","三门县海游街道梧桐路20号2602室","华亿生态建设有限公司","周旭","13981551176","1361","840","641","1"
"长兴众盛置业有限公司","外资企业","长兴县雉城镇柏家浜村","长兴众盛置业有限公司","吴云","15891514378","823","670","210","0"
"浙江威斯乔雅制衣有限公司","合资企业","温州市瓯海仙岩工业园翔凤路168号","浙江威斯乔雅制衣有限公司","徐金凤","13116918738","1219","832","465","1"
"广大建设集团有限公司","国有控股企业","浙江省诸暨市王家井镇市南路148-1号","广大建设集团有限公司","李波","15548739744","1804","1776","268","1"
"富新集团有限公司","外资企业","浙江省永康市花街镇新川村","富新集团有限公司","石秀珍","14541219453","501","298","1","0"
"浙江瑞联健康科技有限公司","国有控股企业","嘉兴市大桥镇亚太工业园区（A9）399室","浙江瑞联健康科技有限公司","鞠成","15888782249","1214","1160","21","1"
"杭州迅安铁路车辆装备有限公司","外资企业","杭州经济技术开发区三号大街2号","杭州迅安铁路车辆装备有限公司","易东","15006339818","500","372","86","0"
"浙江中晟燃气经营有限公司","外资企业","嘉兴市南湖区七星镇张字宇村","浙江中晟燃气经营有限公司","刘霞","18252947302","1079","897","122","1"
"浙江省义乌市中盛房地产开发有限公司","国有企业","义乌市江东街道梅湖新村19幢6号","浙江省义乌市中盛房地产开发有限公司","赵雷","13942491509","1839","927","167","0"
"温州市高通人力资源开发有限公司","外资企业","温州经济技术开发区滨海园区管委会5108室","温州市高通人力资源开发有限公司","程桂兰","15232083443","1942","1814","81","1"
"诸暨市岽海贡廷大酒店","国有控股企业","诸暨市暨阳街道苎萝东路138号","诸暨市岽海贡廷大酒店","杨秀梅","13498496544","1327","1139","59","0"
"浙江闪铸三维科技有限公司","国有控股企业","浙江省金华市婺城区仙源路518号标准厂房B-F3","浙江闪铸三维科技有限公司","万辉","13281704286","960","911","72","1"
"煌盛集团有限公司","合资企业","温州经济技术开发区雁荡西路45号","煌盛集团有限公司","刘峰","14785127706","1268","885","154","0"
"永康市波涛实业有限公司","私营企业","永康市古山镇前黄工业区","永康市波涛实业有限公司","王鑫","13081598966","1527","1461","227","0"
"浙江玖久特钢有限公司","外资企业","嘉兴市南湖区凤桥镇工业园区三星路12号","浙江玖久特钢有限公司","刘瑜","18042411003","589","388","65","1"
"温州创汇皮革有限公司","国有企业","平阳县水头镇皮革基地雁湖西路27号","温州创汇皮革有限公司","李冬梅","14505354173","1955","1325","503","0"
"浙江海川计算机网络技术有限公司","合资企业","金华市金东区望府街917号二楼","浙江海川计算机网络技术有限公司","赵阳","15352080497","1022","815","252","1"
"浙江友谊新材料有限公司","国有控股企业","浙江省诸暨市陶朱街道千禧路28号","浙江友谊新材料有限公司","杨鑫","13483035217","767","678","153","0"
"磐安县泰科电器有限公司","私营企业","浙江省磐安县冷水镇龙溪路888号","磐安县泰科电器有限公司","康云","13699546821","896","756","425","0"
"浙江宝鑫时代购物中心有限公司","私营企业","乐清市乐成镇站前路39号","浙江宝鑫时代购物中心有限公司","蒙红","18953140293","1331","1179","352","0"
"中国邮政速递物流股份有限公司嘉兴市分公司","私营企业","浙江省嘉兴市南湖区勤俭路721－1号","中国邮政速递物流股份有限公司嘉兴市分公司","彭桂兰","13079352977","1670","1284","139","0"
"浙江嘉禾建设有限公司嘉善大云分公司","外资企业","嘉善县大云镇曹家村区521号","浙江嘉禾建设有限公司嘉善大云分公司","胡凯","13250637469","1672","896","578","0"
"温州市布莱特机械设备制造有限公司","国有控股企业","温州经济技术开发区滨海五道338号","温州市布莱特机械设备制造有限公司","王晶","14731792504","1043","971","470","1"
"四川乾亨建设工程有限公司海盐分公司","私营企业","海盐县秦山镇沪杭公路105号","四川乾亨建设工程有限公司海盐分公司","郭淑华","13548427715","1756","1386","791","0"
"台州程隆电器有限公司","国有控股企业","温岭市泽国镇丹崖工业区空压机园区","台州程隆电器有限公司","徐慧","18927373425","1858","1297","840","0"
"平湖市丸荣印染有限公司","国有企业","平湖经济开发区兴工路1999号","平湖市丸荣印染有限公司","余桂英","14536170582","869","848","181","0"
"台州学友家具有限公司","外资企业","玉环市科技工业园区吴家段","台州学友家具有限公司","苏俊","15742727550","1717","1338","713","0"
"东阳市成立置业有限公司","外资企业","浙江省东阳市白云街道东义路159号","东阳市成立置业有限公司","施玲","15387424716","1719","1622","814","0"
"浙江省海运集团舟山五洲船舶修造有限公司","合资企业","浙江省舟山市定海区五奎山","浙江省海运集团舟山五洲船舶修造有限公司","杨楠","18647652364","1257","683","471","0"
"缙云县汽缸体厂","国有控股企业","浙江省","缙云县汽缸体厂","胡鑫","15025774644","1103","657","34","0"
"浙江百川新型建材有限公司","合资企业","台州市椒江区东海大道东段1007号","浙江百川新型建材有限公司","宁瑞","15567123196","1457","1284","395","1"
"杭州长顺建筑劳务有限公司","国有控股企业","杭州市滨江区聚工路23号7幢2层207室","杭州长顺建筑劳务有限公司","陈旭","13966747118","1290","655","171","0"
"桐庐县05、16省道有限责任公司","私营企业","桐庐县城瑶琳路","桐庐县05、16省道有限责任公司","张淑兰","15209270843","1581","1258","257","0"
"浙江鑫磊包装有限公司","外资企业","浙江省绍兴滨海新城沥海镇渔舟路8号","浙江鑫磊包装有限公司","彭杨","13356505350","779","438","260","0"
"浙江诚泰化工机械有限公司","国有控股企业","浙江安吉天子湖现代工业园","浙江诚泰化工机械有限公司","黄楠","13738383178","1744","953","467","0"
