"浦东新区高东镇高东新村第二居民委员会","吕娅琦","公民身份证","110116199408013532","玉桥街道潞阳桥西路花石匠东区旁","15301207707","家庭作坊","中国建设银行","6734395563163149543","半年"
"泉东第2居民委员会","平婉娴","公民身份证","110117199803206599","八宝庄小区11号楼","15906532057","家庭作坊","中国民生银行","6224385563163153663","五年"
"江春居民委员会","喻力","公民身份证","110526199511297533","广外大街手帕口西街广华轩4号楼","15605256393","律师","国家开发银行","6449043563163148082","五年"
"桃林第1居民委员会","孔思","公民身份证","111126199410027918","东兴隆街56号北京商界2楼西侧","13605743560","律师","中国工商银行","6981883563163151115","五个月"
"上海市浦东新区沪东新村街道办事处莱阳新家园居民委员会","戚维启","公民身份证","111404199805111208","白家庄东里甲4号","13702442363","家庭小时工","中信银行","6321327563163146894","三个月"
"上南九村居民委员会","章雄琛","公民身份证","111708199507172823","展览馆路3号","15502375627","家庭作坊","中国工商银行","6702496563163152591","三年"
"陆家嘴街道光辉居民委员会","花刚","公民身份证","111816199805245329","新街口大街板桥二条15号","15805718368","中介服务","中国工商银行","6899998563163152515","五个月"
"御庭居委会","黄杰涛","公民身份证","120107199607059361","双清路双清综合楼北","15505217935","微型企业","中国农业发展银行","6224555563163146885","三年"
"金杨新村街道金口路第一居民委员会","赵军","公民身份证","120308199409168086","展览馆路14号楼","15203113505","自由撰稿人","中国银行","6243828563163146084","五年"
"上海市老龄工作委员会","湛行时","公民身份证","120902199801073678","鲁谷南路半月园公园西侧","13107960857","中介服务","招商银行","6407103563163146776","四年"
"金樟居民委员会","姜钧冠","公民身份证","121002199504067483","东四十条王家园胡同西口","15508120553","微型企业","中国民生银行","6740095563163150327","一年"
"(环林西路)盛源居民委员会","戚行时","公民身份证","121219199501209660","小黄庄北街环贸新生活斜对面","13503523838","中介服务","中国民生银行","6139854563163147568","四年"
"银山路第5居民委员会","柳浩亮","公民身份证","121228199805106737","国美第一城2号院6号楼","13007986704","家庭小时工","交通银行","6498397563163152109","两年"
"杨思镇新华居民委员会","常中","公民身份证","121410199704109565","景东路14-2号时尚街区东区底商","13608873021","家庭作坊","中国银行","6850223563163149420","半年"
"银山路第5居民委员会","姚浩亮","公民身份证","121526199807039186","复兴路69号院2号华熙LIVE.hi-up东区B1层","15707323404","自由撰稿人","华夏银行","6300005563163150055","五个月"
"凌兆第10居民委员会","庞风航","公民身份证","121617199605055266","化工路建工双合家园D区4号楼","13708415051","歌手","交通银行","6427155563163151128","四个月"
"浦东新区花木街道东城第一居民委员会","宋广志","公民身份证","121711199706036633","金融大街甲9号金融街中心3层","15206644608","律师","中国邮政储蓄银行","6386090563163152866","四年"
"北蔡绿川第二居委会","屈舒","公民身份证","130221199408222868","久润花园东区","13603660646","自由撰稿人","中国光大银行","6128520563163152474","三年"
"周浦镇幸福居民委员会","狄晨辰","公民身份证","130507199707246384","新东路甲5号","13702582479","微型企业","中国建设银行","6276867563163151698","四年"
"江春居民委员会","常枝思","公民身份证","130727199804055945","东坝南门滨河路","15508170789","中介服务","国家开发银行","6291975563163150847","三个月"
"浦兴路第2居民委员会","卜保","公民身份证","131401199407224097","北新桥头条55号","15307345394","小型企业","中国邮政储蓄银行","6679955563163146241","三个月"
"川沙新镇市东社区居民委员会","章山仁","公民身份证","131715199408207801","崇文门祈年大街东打磨厂街7号新活馆三层","13303627649","家庭作坊","华夏银行","6423761563163151461","三个月"
"济中居民委员会","唐伊亚","公民身份证","140206199705038455","严正街16-2号国广公寓","13701281050","律师","中国人民银行","6625039563163153034","三年"
"三林镇三林村村民居民委员会","任彩","公民身份证","141121199408026579","方庄南路","15208447328","小型企业","招商银行","6365445563163145494","三年"
"浦东新区洋泾街道永安居委会","袁琳素","公民身份证","141223199712154757","甘家口甲8号甘家口大厦南侧北方朗逸酒店","13800985011","家庭小时工","中国人民银行","6631157563163146123","三年"
"浦东新区南汇新城镇芦潮港社区海芦居委会","苗可","公民身份证","151409199512049468","通朝大街233号","13906642856","自由撰稿人","国家开发银行","6115883563163153538","两年"
"曹路镇佳伟景苑居委会","韦策腾","公民身份证","151513199701225349","新中街13号","13106477048","歌手","中国人民银行","6498965563163153422","五个月"
"上南九村居民委员会","于博","公民身份证","151622199506263308","水碓子东路14号4号一楼","15101638485","家庭作坊","中国农业银行","6898960563163145515","五年"
