"史鸣","110122199804279620","中专","廊坊广播电视大学","新闻传播大类","2018-05-22","2018-11-10","13107454477","无","天坛路55-1号"
"姚娟","110304199510063993","中专","	廊坊大学城北大方正软件学院","医药卫生大类","2017-10-25","2019-01-01","15104057969","无","嘉园路安太嘉园医院对面"
"杨嘉","110421199508286445","中专","洛阳师范学院","装备制造大类","2017-08-27","2018-09-26","15202704760","无","南三里屯路复星国际对面"
"尤先","111015199510116910","中专","廊坊师范","公安与司法大类","2017-02-19","2018-03-31","15002742889","无","安四路黄花城村黄花城水长城旁"
"郎晶妍","111324199701177467","中专","湛江师范学院","公共管理与服务大类","2017-11-01","2018-01-02","13802994495","无","新中街"
"皮辰","111602199711079604","大专","廊坊市电子信息工程学校","公安与司法大类","2017-05-20","2018-12-10","13008128699","无","二七厂路杜家坎4号院内"
"卫祥","111603199706125244","大专","洛阳铁路信息工程学校","财经商贸大类","2017-03-25","2019-06-18","13101018382","无","北三环中路36号,双福家园边(金凤呈祥)"
"卜彪博","121204199410285789","大专","洛阳市财会学校","资源环境与安全大类","2018-02-01","2018-08-06","15003882199","无","广泽路望京花园小区214号"
"祝康星","121317199802189385","中专","广东医学院","医药卫生大类","2018-05-18","2019-06-01","15906577885","无","门城湖河堤路爱玛裕装饰城后门"
"岑菊","121327199711291132","中专","洛阳市中医药学校","水利大类","2018-01-03","2018-11-17","15505544104","无","延寿镇牛蹄岭旅游新村"
"水有","121807199501145410","大专","廊坊东方大学城北京传媒学院","医药卫生大类","2018-07-15","2018-12-11","13605870114","无","太阳宫中路12号凯德MALL4层"
"成成","130126199511251030","中专","廊坊东方职业技术学院","公安与司法大类","2017-07-13","2017-09-14","15805444591","无","幸福大街57号"
"俞固之","130623199604297906","大专","洛阳经济学校","教育与体育大类","2017-04-22","2017-10-10","15805642430","无","八角东街12号京成商厦2层203号"
"袁彪博","131101199805029386","中专","廊坊市东方大学城民航管理干部学院","能源动力与材料大类","2017-02-08","2017-07-29","13903482964","无","南湖南路15号院5号楼1-3层"
"薛荣","131114199508068493","中专","洛阳人民警察学校","旅游大类","2017-05-22","2017-12-25","13307241088","无","建国路91号金地广场3层"
"计薇","131812199802048951","中专","洛阳铁路信息工程学校","农林牧渔大类","2018-07-11","2019-03-16","13803001535","无","复兴门外大街15号长安商场5层"
"卫娅琦","140322199707126304","中专","洛阳市财会学校","土木建筑大类","2018-04-27","2018-08-11","15505903152","无","沿河景观路76-5号"
"苗磊民","140508199804141342","中专","洛阳人民警察学校","装备制造大类","2017-12-16","2018-06-11","15108512564","无","展览馆路14号楼"
"姚海","140812199602247411","中专","洛阳人民警察学校","财经商贸大类","2017-06-03","2018-11-16","13904842419","无","南湖北路南湖东园二区224号楼"
"潘新","141009199703131096","大专","湛江师范学院","农林牧渔大类","2018-03-18","2018-07-23","13304946638","无","长兴路12号中体奥园一区"
"钱以","141321199506133278","中专","北华航天工业学院","资源环境与安全大类","2018-09-15","2018-09-21","13005702104","无","旧宫镇树桥村酒厂路"
"毕琳素","141510199512135579","大专","廊坊市职业技术学院","电子信息大类","2017-04-26","2018-09-02","15908856754","无","双榆树北路61号"
"彭群豪","141827199603299655","中专","廊坊市工业学校","文化艺术大类","2017-04-09","2019-04-11","13207831966","无","水闸路12号三家店西口车站"
"史凡","150112199412214351","大专","廊坊市工业学校","公共管理与服务大类","2017-05-24","2018-04-10","13507418611","无","诚实胡同49号"
"姚荔","150420199505028750","中专","廊坊广播电视大学","交通运输大类","2017-08-02","2018-06-27","15702823217","无","嘉园路安太嘉园医院对面"
"郎哲","150621199603233200","中专","	廊坊大学城北大方正软件学院","食品药品与粮食大类","2018-03-24","2019-01-09","15500255576","无","月坛西街甲2号"
"苗有","150812199512252563","大专","洛阳理工学院","能源动力与材料大类","2018-06-23","2018-08-18","15303798834","无","广渠路c号"
"孟桂","150815199707226788","中专","廊坊市高级技工学校","资源环境与安全大类","2017-06-15","2019-05-02","13504746189","无","马家堡西路11号"
"薛真环","151327199701234434","大专","廊坊市高级技工学校","资源环境与安全大类","2018-11-22","2018-12-04","15007553954","无","十八里店老君堂老君堂中街甲5号"
"吴超","151710199612083867","大专","廊坊东方大学城北京联合大学","资源环境与安全大类","2018-12-19","2019-02-13","15805633070","无","朝内南小街139号"
"于纯毓","151813199709294446","大专","洛阳市旅游中等专业学校","能源动力与材料大类","2018-05-08","2018-12-19","15907866646","无","东长安街33号北京饭店C座7楼"
"彭波宁","211016199509078682","大专","洛阳幼儿师范学校","交通运输大类","2017-12-21","2018-04-01","13205788346","无","喇叭沟门孙栅子村西李营7号"
"冯琼勤","211022199407297118","中专","广东海洋大学","财经商贸大类","2017-05-14","2018-08-17","15202422585","无","康惠园2号院3号楼底商"
"苗风航","211323199706189327","中专","廊坊市大城县教师进修学院","水利大类","2017-11-20","2018-07-17","13400843968","无","金地格林格林"
"云雄琛","211727199612304056","大专","廊坊师范","能源动力与材料大类","2017-02-16","2018-08-02","13700177362","无","古北水镇小岭村10-2号"
"彭克伦","220305199603095515","中专","广东海洋大学","电子信息大类","2017-01-26","2018-08-19","13500095804","无","德胜门外大街乙11号"
"齐彪博","220527199708188820","中专","	廊坊大学城北大方正软件学院","文化艺术大类","2018-11-06","2019-02-01","15300510295","无","金顶街街道模式口西里社区"
"薛光天","220828199409167672","中专","廊坊市工业学校","能源动力与材料大类","2017-08-09","2019-03-11","13805143773","无","东三环中路59号富力双子座A座1楼"
"禹俊峰","221102199507084858","大专","广东海洋大学","旅游大类","2017-05-03","2018-05-26","13601745742","无","红螺路芦庄村西口87号"
"鲍月莺","221409199603165932","中专","湛江财贸学院","教育与体育大类","2018-05-26","2018-06-16","15507196961","无","西河沿149号"
"施艺","230624199506091019","大专","廊坊市工业学校","公共管理与服务大类","2017-05-09","2018-10-21","13905638291","无","远大路1号世纪金源购物中心5楼-嘉香美食城门口"
"沈家","230904199412157548","大专","洛阳师范学院","公共管理与服务大类","2017-07-02","2018-03-23","13605930638","无","金地格林格林"
"严娴","230913199604221990","中专","廊坊燕京职业技术学院","能源动力与材料大类","2017-12-08","2018-04-04","13505710274","无","南官房胡同5号"
"潘荔","231013199512182964","中专","洛阳市财会学校","能源动力与材料大类","2017-09-02","2018-09-24","15507298004","无","东三环北路38号院 民生保险大厦3层"
"梁华","231421199611038377","中专","湛江师范学院","土木建筑大类","2017-08-14","2018-11-27","15504468081","无","金宝街88号金宝汇购物中心5层"
