"沈以","110615199408153147","13903178228","良乡西潞北大街28号","北京巨弘同建筑装饰工程有限公司","泰达医院","2019-04-13","Q072860351771","皮肤科","自费","E015517144044"
"罗顺","110727198507034608","13703300367","月坛西街1号","重庆千圣建筑产业集团有限公司","泰达医院","2019-04-28","I070011263000","精神科","自费","G054104754755"
"何娴","111213198806169617","13007845039","珠江罗马嘉园57号楼702室","沈阳合弘集团股份有限公司","万杰医院","2019-05-27","N077012410354","五官科","城镇医保","A090632809633"
"梁素","111228198510066153","13308526071","李家坟7号院创意总社1949","成都洪生房地产开发有限公司","慈航医院","2019-05-23","N047393971240","心理咨询科","自费","J033785561994"
"酆澜","111323197110302198","13406594874","前山所前山岱山路74号工业区6幢1楼","成都聚荣信股份有限公司","爱康医院","2019-06-01","K030815351121","传染科","农村医保","C096954211163"
"金广志","111525197707309860","15306034146","左家庄静安里45号康菲特酒店1楼","南京祥耀股份有限公司","博仁医院","2019-06-22","J095957477341","内科","城镇医保","C045883592683"
"鲍言","120106197405318168","15501790471","北三环中路36号,双福家园边(金凤呈祥)","北京洪源房产经纪有限公司","康乐医院","2019-04-25","C011584653766","肿瘤科","城镇医保","C085158881279"
"窦建家","120203198709068647","15207627816","百子湾西里403号楼负一层","沈阳合台皇土石方工程有限公司","安达医院","2019-03-19","M070074255313","心理咨询科","农村医保","I048220921080"
"闵星","120515198909274444","15500756081","双清路85号","广州台生益国际工程技术有限公司","爱康医院","2019-06-16","E013291285382","中医科","城镇医保","J013724420340"
"穆义兴","120614198107106114","15506660991","体育馆路1号幸福大街南口天坛饭店一层","南京全盛台股份有限公司","景安医院","2019-06-04","J045333923993","内科","农村医保","F074241111435"
"陶晨辰","121120199801154067","13506755098","西安门大街75号","成都东裕贸易有限公司","人民医院","2019-05-19","G019825605930","精神科","农村医保","L087952540810"
"章平保","121228198707166129","15904305169","莲花池东路51号","北京公华土石方工程有限公司","蕙兰医院","2019-03-03","B028092381617","五官科","自费","K055997029026"
"吴梦","121318198203055711","15208476795","雍和宫大街153号交道口北三条内","南京康百通股份有限公司","英智医院","2019-03-08","L047278546731","皮肤科","城镇医保","C047843323709"
"许影荔","121326199201275947","15700907280","诚实胡同49号","深圳公华咨询管理有限责任公司","康乐医院","2019-04-01","E086473696808","肿瘤科","城镇医保","K085584349278"
"蓝薇","121725199312268897","13401605973","欣宁街15号荟聚购物中心3楼","沈阳兴本环境建设股份有限公司","爱康医院","2019-03-24","B075181341005","传染科","自费","N070931045755"
"祁力","130302199512098166","13900800775","永外果园8号欣雅汇生活广场4F-16","成都佳泰贵建筑装饰工程有限公司","慈航医院","2019-06-01","F013548432189","传染科","农村医保","L084845124960"
"冯新","130602197402268719","15805641118","苏州街15号","南京广洪宝房地产开发有限公司","安达医院","2019-03-13","D022055347992","五官科","农村医保","D074319722279"
"薛乐","130802198201102571","13006326325","展览馆路3号","济南干捷贸易有限公司","蕙兰医院","2019-04-21","R030925541984","皮肤科","自费","I095166786588"
"姜之","140305198301261671","15905892551","政府路8号","成都广洪宝科技有限公司","佳美医院","2019-05-17","Q097220535332","内科","农村医保","Q062970299591"
"明园艺","140610197402042088","13905583641","工人体育场东路20号春平购物广场底商1层","北京同优寿建筑产业集团有限公司","佳美医院","2019-03-28","D097854092345","肿瘤科","自费","J069495060040"
"闵辉力","140621198104291956","15004318969","百子湾巴音食坊旁边","北京中义物业管理有限公司","佳美医院","2019-06-21","F055792232302","精神科","自费","L098916151523"
"史昭","140713199006084598","15506614566","酒仙桥路甲4号3号楼二层商业F203","成都聚荣信房地产开发有限公司","康乐医院","2019-06-23","H020717492891","肿瘤科","农村医保","S004528011919"
"安有","140909198606066314","13204067202","来广营乡立水桥明天中心（B-06商业）-1层B06商场078号院","杭州宏鑫物业管理有限公司","景安医院","2019-05-18","P018878231969","肿瘤科","自费","H019614938074"
