"俞伊亚","110108198503177527","2010-08-12","9年","穆家峪镇阁老峪华润希望小镇5-1","13402320943","2050-08-12","广州佳泰贵股份有限公司"
"水康星","110416198207093581","2012-03-02","7年","增光路55号紫玉饭店1-2楼","15304791895","2047-03-02","杭州公本利土石方工程有限公司"
"卞栋","110519199602185191","2011-08-25","8年","湖北小区32号楼","13308236205","2061-08-25","沈阳通浩股份有限公司"
"谢园艺","111011199605021496","2010-07-25","9年","长虹东路旭辉天地2号楼底商","15807647479","2061-07-25","重庆干捷咨询管理有限责任公司"
"汪庆","111203197911214262","2015-01-29","4年","和平里七区三十号楼1号底商","13901191951","2044-01-29","杭州合弘土石方工程有限公司"
"毛轮翰","111507198805076860","2014-06-09","5年","王府井小吃街西口","13005076320","2053-06-09","大连佳洪土石方工程有限公司"
"李琼勤","111514198510266277","2010-08-21","9年","青年路西里3号院10号楼1层F1-15","15308664296","2050-08-21","成都春和土石方工程有限公司"
"杜思","111817199711154762","2012-08-19","7年","吴家场路盛今佳园4号楼底商","13901073216","2062-08-19","杭州亨本同贸易有限公司"
"贝枝思","120111199904051315","2010-03-14","9年","篱笆房路帝凯乐ktv下面便民菜站内","13102620065","2064-03-14","沈阳东裕咨询管理有限责任公司"
"杜伯","120423197102212265","2012-04-13","7年","金宝街88号金宝汇购物中心5楼","15904590328","2036-04-13","北京洪源房产经纪有限公司"
"范青倩","120517199208262281","2012-05-01","7年","东二环劲松九区907号楼","15502505416","2057-05-01","成都飞润福计装饰工程有限责任公司"
"曹真环","120701197105146422","2011-08-27","8年","王府井小吃街西口","15103915348","2036-08-27","沈阳光福巨科技有限公司"
"董进","120903199712128979","2010-12-14","9年","朝凤路243号","13702824598","2062-12-14","南京源进房产经纪有限公司"
"宋天","121020197710031123","2012-05-19","7年","阜石路165号","15108481174","2042-05-19","北京兴本建筑装饰工程有限公司"
"舒博","121122197307162926","2014-08-26","5年","机场北街8号院2幢航港国际大厦","15906853805","2038-08-26","成都佳洪咨询管理有限责任公司"
"汤彪博","121307199110085974","2012-02-17","7年","工人体育场南路1号富国海底世界","13703467310","2056-02-17","南京亨本同建筑装饰工程有限公司"
"安壮","121402199805236681","2012-04-11","7年","国美第一城2号院6号楼","15606764842","2063-04-11","广州全盛台环境建设股份有限公司"
"沈苑","121528198703175561","2014-07-15","5年","莲花池东路51号","15505141504","2052-07-15","重庆东裕物业管理有限公司"
"戴轮翰","121707196907289607","2015-12-15","4年","马坡镇白马路顺城大街29号","15505107549","2034-12-15","杭州聚荣信房产经纪有限公司"
"张超","130106197002224732","2012-10-05","7年","鼓楼南大街东侧1号楼1-2层","15308881965","2035-10-05","重庆亨浩科技有限公司"
"米岩中","130325197507239757","2011-10-18","8年","紫竹院南路外文文化创意园","15200231217","2040-10-18","济南中义建筑装饰工程有限公司"
"萧浩亮","130413199412259442","2014-10-12","5年","西牛角胡同1号","15801281712","2059-10-12","杭州亨浩科技有限公司"
"任德","130815199906128518","2011-09-09","8年","崇文门外大街3-5号新世界百货青春馆3楼","15707663795","2064-09-09","济南干晶合计装饰工程有限责任公司"
"康博","130913199204093803","2010-02-16","9年","范崎路雁栖派出所西院9号","15904267055","2057-02-16","济南公本利物业管理有限公司"
"窦朋斌","131013197811195086","2010-07-04","9年","狼垡一村一条北口","15307472376","2043-07-04","厦门长正升股份有限公司"
"柏林有","131316199009074264","2015-01-20","4年","恒安大厦负一层","13606927879","2055-01-20","沈阳春和集团股份有限公司"
"董娟","131505197103181437","2014-05-04","5年","古北水镇小岭村10-2号","13302986009","2036-05-04","天津飞润福环境建设股份有限公司"
"庞梅","131523198712161721","2013-12-10","6年","芳草地西街11号小白楼","15004750086","2052-12-10","厦门本凯建筑装饰工程有限公司"
"秦奇","140124197405032355","2013-02-06","6年","良乡68号","13102772677","2039-02-06","南京成同建筑产业集团有限公司"
"苏家","140521199210102362","2011-02-05","8年","左家庄静安里45号康菲特酒店1楼","15708802564","2057-02-05","大连千圣科技有限公司"
"潘学祥","140617198008207249","2012-11-15","7年","宝盛路宝盛里小区8号楼底商101号","15002684540","2045-11-15","杭州同优寿房地产开发有限公司"
"喻哲","140917198101305206","2012-11-11","7年","东打磨厂街3号","13701728026","2046-11-11","成都利台土石方工程有限公司"
"花飞彬","141006199204301135","2012-09-15","7年","华源四里甲5号楼","13605805185","2057-09-15","成都全盛台国际工程技术有限公司"
"舒鸣","150105197110206718","2014-12-07","5年","团河路69号商业楼一层","13003717923","2036-12-07","成都汇盛聚集团股份有限公司"
"余泽","150322199305312392","2011-09-29","8年","复兴门内大街51号民族饭店2层","13701806524","2058-09-29","重庆干通亨房产经纪有限公司"
"米光天","150603199111275417","2011-06-10","8年","南口镇大石坡红石山谷度假酒店","13601101007","2056-06-10","杭州中义科技有限公司"
"计康星","151018199703048768","2015-09-27","4年","石景山路22号","13405630109","2062-09-27","成都隆新正物业管理有限公司"
"蓝燕彩","151201197009112927","2011-06-25","8年","阜通东大街花家地30号楼","13102976282","2035-06-25","天津通满建筑产业集团有限公司"
"孟鸣","151707198103287038","2014-04-06","5年","回龙观东大街创客广场西南角腾讯空间B座一二层","13503875306","2046-04-06","北京成同科技有限公司"
"梁倩","151804198909235971","2013-07-06","6年","花园北路44号贯通大厦2楼","15801727419","2054-07-06","厦门盛永土石方工程有限公司"
"茅娟","210228199304106861","2011-12-16","8年","十里堡北区18号楼南侧炫特区西门对面","13907954308","2058-12-16","厦门汇盛聚计装饰工程有限责任公司"
"伍慧巧","211022199603076484","2012-09-22","7年","霄云路18号","15608214485","2061-09-22","杭州裕茂物业管理有限公司"
"安芝玉","211124198402038013","2013-02-27","6年","星火西路17号泛海国际底商","15304232158","2049-02-27","济南复汇建筑装饰工程有限公司"
"俞芸","211321197902103933","2014-06-14","5年","三海子三号路","13802690005","2044-06-14","深圳瑞合皇科技有限公司"
"范莺","211724197609011391","2011-04-16","8年","花园路甲2号院4号楼","13801212274","2041-04-16","杭州佳洪物业管理有限公司"
"孙钧冠","211808198910197140","2010-03-31","9年","雍和宫大街153号交道口北三条内","15905401446","2054-03-31","济南义盛房产经纪有限公司"
"金彪博","220115198312059778","2013-08-28","6年","马家堡东路106号院1号楼","15601357118","2048-08-28","广州飞润福物业管理有限公司"
"祁庆","220115199503041788","2010-09-20","9年","回龙观科星西路与龙跃街交叉口旁","15605626840","2060-09-20","广州兴本建筑产业集团有限公司"
"齐辉力","220425199108027352","2010-08-14","9年","回龙观文华西路文华市场8号","13700262339","2056-08-14","深圳全信科技有限公司"
"杨庆","220607198110224464","2015-09-10","4年","新城子镇曹家路村","13704715041","2046-09-10","济南顺合伟物业管理有限公司"
"秦婉娴","221016199708111404","2013-03-07","6年","安泰大街6号院3号楼113室","13605054133","2062-03-07","济南美辉房产经纪有限公司"
"顾彪博","221227197011259201","2015-02-25","4年","东直门南大街1号北京来福士5层","15802787113","2035-02-25","南京宏鑫咨询管理有限责任公司"
"邹中","221315198201167969","2010-09-04","9年","南官房胡同5号","15704495106","2047-09-04","广州顺合伟国际工程技术有限公司"
"王豪","230101199902069034","2012-10-11","7年","香江北路康营24期","15600826865","2064-10-11","大连同优寿房地产开发有限公司"
"钱茜秋","231010198907246257","2010-06-17","9年","黄松峪雕窝村逍遥居巷内50米","13301815796","2054-06-17","济南亚泰庆土石方工程有限公司"
"吕民","231210198904175482","2011-06-01","8年","首都机场南路甲1号","15703226603","2054-06-01","沈阳同贵源贸易有限公司"
"薛刚","231222199607013819","2010-06-23","9年","香山买卖街东口","15807630967","2061-06-23","上海捷国国际工程技术有限公司"
"何义兴","231428197901027994","2010-12-05","9年","和平里东街14区","15007457533","2044-12-05","深圳利台贸易有限公司"
"章新","231618197308138896","2012-04-15","7年","七圣中街12号院爱琴海购物中心五层","13203877235","2038-04-15","成都复汇房产经纪有限公司"
"邬萍红","310111199004297337","2011-06-17","8年","顺三条与横六条交叉口西南角","13707152146","2055-06-17","南京光信建筑产业集团有限公司"
"潘宁","310627197308071675","2014-07-03","5年","清华西路28号圆明园小南园","13700217746","2038-07-03","北京通浩科技有限公司"
"姚伦","310913198302216311","2011-09-07","8年","北苑路甲78号北卫家园16号","15300308064","2048-09-07","大连康宏房地产开发有限公司"
"彭彪博","311315197307119201","2011-03-31","8年","花乡奥莱村","15901266051","2038-03-31","北京华飞土石方工程有限公司"
"何莎","311424199512088684","2014-02-14","5年","双榆树北路59-1号楼","13701262334","2060-02-14","大连千圣土石方工程有限公司"
