"1","许福明","410708196605221535","14520440167","强奸罪","俞剑飞","浙江金宏律师事务所"
"2","罗孟勤","330608197207093329","18578609257","敲诈勒索罪","严丽华","浙江靖霖律师事务所"
"3","杨珠红","441619199305205196","13560817340","其他民事","楼旭东","浙江曦明律师事务所"
"4","倪广银","411012199705245542","18977881909","销售有毒有害食品罪","黄达","浙江云邦律师事务所"
"5","梁光权","361809199112121621","14705925907","人身损害赔偿","汤小东","浙江诺力亚律师事务所"
"6","李学泉","150118197404161943","18711035585","追索劳动报酬纠纷","卢静","浙江震瓯律师事务所"
"7","郭华","611405196611246243","18645256716","诈骗罪","张婧","浙江天卫律师事务所"
"8","余振忠","631605199206215868","18542315642","强迫交易罪","杨钰","浙江诺力亚律师事务所"
"9","谢家豪","710306198607072216","15934502604","故意伤害罪","戴潮龙","浙江嘉瑞成永嘉律师事务所"
"10","黄丹","810424198807161254","15937265639","劳动争议","徐兆红","浙江求直律师事务所"
"11","张冬雪","230102199203289888","14560563336","生产销售假药罪","贾爱仁","浙江建桥律师事务所"
"12","林夏香","630605198707014829","18691302034","财产确权","邹慧聪","丽水市莲城公证处"
"13","李康炜","650804198911262854","18891428571","妨害信用卡管理罪","王培静","浙江五洲律师事务所"
"14","廖佳","450218198311279535","18258576338","开设赌场罪","屠骏蔚","浙江中锐律师事务所"
"15","陈明初","501310198511175231","15641162522","人身损害赔偿","宋颖莹","浙江嘉丰律师事务所"
"16","应林强","310618197312093593","13242485845","追索劳动报酬纠纷","刘樟龙","浙江浙源律师事务所"
"17","陈锦江","420724196906021315","13074350748","盗窃罪","蔡郑爽","浙江震瓯律师事务所"
"18","王小容","541816196112079732","13030604422","组织领导传销活动罪","竺旦颖","浙江乾盛律师事务所"
"19","蒋运国","431612198110201404","13232577848","诈骗罪","洪小娟","北京德恒温州律师事务所"
"20","张跃","531204196412086176","18534853705","开设赌场罪","陈娟","浙江共业律师事务所"
"21","周晓扬","430316198602184431","14503749350","诈骗罪","徐建宏","浙江中汇律师事务所"
"22","王正刚","440216199505194696","18600341293","交通肇事罪","曾清","浙江研墨律师事务所"
"23","黄欣平","420516197402141445","15366842414","妨害信用卡管理罪","周国平","浙江刚诚律师事务所"
"24","郭国良","141107198812234115","13044401988","寻衅滋事罪","毛林辉","浙江慈中律师事务所"
"25","王知会","231409196309236413","18166298408","工伤赔偿纠纷","郎嘉","武义县中天法律服务所"
"26","张士文","141401197705044240","15902560833","工伤赔偿纠纷","宋卓艺","慈溪市法律援助中心"
"27","马守军","151825196210088697","18071086820","敲诈勒索罪","任春君","浙江大丰律师事务所"
"28","郑佳俊","150203199503209364","18226212079","寻衅滋事罪","王云龙","浙江浙源律师事务所"
"29","朱彪","370714197607306610","18138720702","聚众斗殴罪","郑峰","浙江红大律师事务所"
"30","闫如奎","110903199208182101","15991268666","盗窃罪","胡海娟","浙江明显律师事务所"
"31","王大前","130428196011154297","15614724719","非法制造买卖运输邮寄储存枪支弹药爆炸物罪","陈剑影","浙江九州大众律师事务所"
"32","郑见","521811199307194374","18120972517","聚众斗殴罪","顾军杰","浙江金嘉律师事务所"
"33","罗盛宁","130704197706105109","13781279731","盗窃罪","奚静","浙江同元律师事务所"
"34","阙执春","151021198502032165","18092718808","继承纠纷","涂玉梅","云和县同心法律服务所"
"35","周海浪","321625199612122562","13887320165","诈骗罪","王伟","上海浩信杭州律师事务所"
"36","官定安","430302197812279972","15211202871","贩卖毒品罪","徐海霞","浙江法君律师事务所"
"37","谢金秀","500614198401168986","18940319684","工伤赔偿纠纷","连静蓉","浙江振才律师事务所"
"38","杨涛涛","531013196810203019","18865359141","寻衅滋事罪","周燕青","浙江合一律师事务所"
"39","赵坤","461806197111063490","13726735878","诈骗罪","陈倩","浙江鼎联律师事务所"
"40","姚俊","341407197708165112","15127316407","集资诈骗罪","张晓芳","浙江厚望律师事务所"
"41","杨柳春","141815196811212135","18186770585","销售有毒有害食品罪","王素花","浙江法校诸暨律师事务所"
