"1","南京江宁武夷幼儿园
南京市江宁武陵幼儿","南京江宁上元大街165号武夷花园北门","苏琰","15207961355","幼儿园","公办","江苏省教育部","","史承乐","13907970520","317",""
"2","高淳县砖墙镇港口锦绣幼儿园","江苏省南京市高淳县砖墙镇港口村","皮莉桂","15206756667","幼儿园","公办","江苏省教育部","","周冰爽","15203242558","280",""
"3","六合县龙袍镇中心幼儿园","江苏南京市六合区","狄力","13605816581","幼儿园","公办","江苏省教育部","","许勇毅","13002166983","260",""
"4","南京建邺实验幼儿园","江苏南京市建邺区南京建邺实验幼儿园","殷达安","13903616091","幼儿园","公办","江苏省教育部","","施飘育","13408881716","220",""
"5","南京市南湖育英幼儿园","江苏省南京市建邺区育英村9号","郑俊峰","13400656528","幼儿园","公办","江苏省教育部","","纪翔旭","13203512394","217",""
"6","南京市南湖蓓蕾幼儿园","建邺区蓓蕾村内","孟天","15702684826","幼儿园","公办","江苏省教育部","","潘晓","15500124023","335",""
"7","莫愁新寓幼儿园","江苏省南京市建邺区莫愁新寓迎春里16号","和婷姣","13207291229","幼儿园","公办","江苏省教育部","","谈勇毅","13108227852","266",""
"8","南京市建邺区人民政府机关幼儿园","江苏省南京市建邺区丰富路203号","费和","13906424095","幼儿园","公办","江苏省教育部","","任亨奇","15103766610","248",""
"9","栖霞中心幼儿园","江苏省南京市栖霞区栖霞镇红枫路","姜壮","15906920386","幼儿园","公办","江苏省教育部","","唐瑶","13402192625","246",""
"10","南京民办幕府山庄幼儿园","江苏省南京市栖霞区和燕路507号","范旭","15504459100","幼儿园","公办","江苏省教育部","","熊致树","15706593947","330",""
"11","南京市天景山小学","南京市江宁区天景山小区","葛克伦","13301547818","小学","公办","江苏省教育部","","成维启","13208400383","612",""
"12","南京市江宁区科学园小学","南京市江宁区东山镇莱茵达路299号","祁荣","15300691239","小学","公办","江苏省教育厅","","王德","13404326845","600",""
"13","南京市翠屏山小学","南京市江宁区通淮街20号","席素","15107073987","小学","公办","江苏省教育厅","","潘瑶","13603968900","584",""
"14","江宁区龙都中心小学","江宁区龙都集镇","贝裕","15506674192","小学","公办","江苏省教育厅","","陈晶妍","15504052694","667",""
"15","江宁区铜山中心小学","江宁区铜山集镇","闵波宁","13304611477","小学","公办","江苏省教育厅","","韩健世","15902627510","570",""
"16","南京市江宁区陆郎中心小学","南京市江宁区江宁镇陆郎集镇文苑巷","陶伟刚","13800422950","小学","公办","江苏省教育厅","","米翠雅","13806753778","606",""
"17","江宁区麒麟中心小学","江宁区麒麟集镇丹青路1号","廉月莺","15706464526","小学","公办","江苏省教育厅","","阮钧冠","13307536083","687",""
"18","江宁区上峰中心小学","江宁区上峰集镇","屈博","13004249057","小学","公办","江苏省教育厅","","尹中","15600613195","707",""
"19","江宁区汤山中心小学","南京市江宁区汤山镇汤泉西路38号
","施绍功","15001043181","小学","公办","江苏省教育厅","","吴勤","13008096079","531",""
"20","江宁区上坊中心小学","江宁区东山街道天云社区万安东路64号","柏浩亮","15101247013","小学","公办","江苏省教育厅","","彭霭","15505421494","449",""
"21","南京市江宁区淳化中心小学","南京市江宁区淳化街道淳关路127#","殷力","15302267322","小学","公办","江苏省教育厅","","张宏言","13007243053","610",""
"22","江宁区周岗中心小学","江宁区湖熟镇周岗长干路158号","常诚先","15707232385","小学","公办","江苏省教育厅","","史永","13604095874","518",""
"23","土桥中心小学","江宁区土桥镇","孟桂","13006267924","小学","公办","江苏省教育厅","","乐行时","13704418136","573",""
"24","南京市江宁区湖熟中心小学","南京市江宁区湖熟镇灵顺南路150号","殷园艺","15308674634","小学","公办","江苏省教育厅","","黄仪","15903583071","850",""
"25","禄口小学","江宁区禄口街道来凤路10号","毕毅","15904603973","小学","公办","江苏省教育厅","","杨政谦","13700378978","607",""
"26","南京市江宁区秣陵中心小学","南京市江宁区秣陵娘娘圩","尤子","15600861442","小学","公办","江苏省教育厅","","金姣","15205398726","411",""
"27","江宁区丹阳中心小学","江宁区丹阳宁阳街86号","孔伦","13004158016","小学","公办","江苏省教育厅","","萧勇毅","13002216807","413",""
"28","南京市江宁区东善桥中心小学","江宁区东善桥集镇文苑巷88号
","何敬震","15004428030","小学","公办","江苏省教育厅","","茅彩","13508523757","781",""
"29","南京市江浦实验小学","南京市浦口区文昌路","湛树","15102233971","小学","公办","江苏省教育厅","","戚庆","13504098814","751",""
"30","浦口桥林小学","桥林镇桥林街道","钱武新","13400828856","小学","公办","江苏省教育厅","","何永","15705935585","456",""
"31","浦口石桥小学","石桥镇石桥街道","舒中","13506182048","小学","公办","江苏省教育厅","","尹勇毅","15100853132","732",""
"32","浦口星甸小学","星甸镇星甸街道","陶育","13402855718","小学","公办","江苏省教育厅","","平致树","13306383768","794",""
"33","浦口永宁小学","永宁镇永宁街道","张学祥","15607286639","小学","公办","江苏省教育厅","","尹亨奇","15501001460","754",""
"34","浦口庆丰小学","盘城镇落桥村","贺保","13903216302","小学","公办","江苏省教育厅","","章壮","13105242176","419",""
"35","浦口盘城小学","盘城镇盘城南路42号","项和","15300605890","小学","公办","江苏省教育厅","","屈致树","15002608044","667",""
"36","浦口复兴小学","沿江街道复兴村","熊福","13001763248","小学","公办","江苏省教育厅","","蓝芬芳","13407877326","823",""
"37","浦口六一小学","泰山街道花旗工地","乐宏言","13103535245","小学","公办","江苏省教育厅","","郝泰盛","13606791487","728",""
"38","浦口铁路小学","泰山街道扶轮后街33号","元鹏泽","15605276721","小学","公办","江苏省教育厅","","米广志","13708705914","477",""
"39","浦口柳袱小学","泰山街道桥北村265号","严聪澜","15206516356","小学","公办","江苏省教育厅","","王贞","13501584120","410",""
"40","浦口泰山小学","泰山街道泰西路39号","陈斌","13206530353","小学","公办","江苏省教育厅","","酆慧巧","13305485800","449",""
"41","浦口三河小学","泰山街道三河村1号","严克伦","13001665657","小学","公办","江苏省教育厅","","平心邦","15601585291","838",""
"42","浦口区浦口小学","泰山街道码头街3号","曹姬舒","13608635759","小学","公办","江苏省教育厅","","湛秋","13204250952","759",""
"43","南京市栖霞区二公司小学","南京市栖霞区尧化门中石化二公司","熊晶妍","13306603018","小学","公办","江苏省教育厅","","陶羽希","13503008997","417",""
"44","江苏南京栖霞龙潭中国水泥厂小学","南京市栖霞区龙潭镇中国水泥厂河东街58号","雷利清","15000234721","小学","公办","江苏省教育厅","","梁莲","13506566683","556",""
"45","南京市栖霞区化肥厂小学","南京市栖霞区化肥厂生活区内","戴宏言","13107788393","小学","公办","江苏省教育厅","","苗江超","15900552925","636",""
"46","江苏省南京市栖霞区八卦洲下坝小学","江苏省南京市栖霞区八卦洲下坝村","邹妍","13806198040","小学","公办","江苏省教育厅","","陈昌成","15806383648","667",""
"47","金陵石化公司化工二厂子弟小学","南京市栖霞区燕子矶街道太平村西","邹裕","13507104872","小学","公办","江苏省教育厅","","施舒","13804785850","824",""
"48","南京化纤新村小学","南京市栖霞区燕子矶街道化纤新村内","邹康星","13606984883","小学","公办","江苏省教育厅","","汤健世","15000032936","697",""
"49","南京市栖霞区太平村学校","南京市栖霞区燕子矶街道太平小区","蓝功","13003368959","小学","公办","江苏省教育厅","","钱行时","13100374628","679",""
"50","南京市栖霞区八卦洲中桥小学","南京市栖霞区八卦洲中桥村","孔富顺","13006517234","小学","公办","江苏省教育厅","","熊信子","13301285101","661",""
"51","南京市栖霞区华电小学","江苏省南京市栖霞区华电路1号","闵枝思","13807575093","小学","公办","江苏省教育厅","","喻浩亮","15304266544","853",""
"52","南京市栖霞区仙林小学","南京市栖霞区仙林大学城文范路1号
","毕康星","15106552863","小学","公办","江苏省教育厅","","米良海","13200246580","696",""
"53","南京市栖霞区幕府山庄小学","南京市栖霞区燕子矶街道幕府山庄小区内","茅寒","15703347702","小学","公办","江苏省教育厅","","董辉力","15102541204","662",""
"54","南京市栖霞区甘家巷小学","南京市栖霞区栖霞街道甘家巷","纪克伦","13805358075","小学","公办","江苏省教育厅","","金可","13004282136","625",""
"55","南京市栖霞区花园小学","南京市栖霞区龙潭街道花园村
","苏心邦","15006333060","小学","公办","江苏省教育厅","","乐瑶","13505866317","457",""
"56","南京市仙林小学","南京市文范路1","萧彬","15105273952","小学","公办","江苏省教育厅","","纪盛","13701634817","580",""
"57","南京市三牌楼小学","南京市新模范马路94号","祝富顺","13002135340","小学","公办","江苏省教育厅","","萧达安","15308098177","497",""
"58","南京理工大学附属小学","南京市玄武区孝陵卫200号","李朗伯","15505911892","小学","公办","江苏省教育厅","","戴宏言","15905014043","656",""
"59","南京林业大学子弟小学","南京市玄武区龙蟠路159号","陈明永","13004835342","小学","公办","江苏省教育厅","","平婉娴","15704754377","545",""
"60","南京市月苑第一小学","南京市玄武区月苑南路10号","蓝丹","13207864391","小学","公办","江苏省教育厅","","薛时","15005720848","605",""
"61","南京市第九中学（东南大学附属中学）","南京市玄武区碑亭巷51","朱会思","15804812987","中学","公办","江苏省教育厅","","梁致树","15007168810","496",""
"62","南京市宁海中学","南京市宁海路39号
","吴辰","13906828999","中学","公办","江苏省教育厅","","祝琛","15903397583","635",""
