"李国水","李国水","120101194902079588","1949-02-07","男","汉族","安徽省沈阳市","安徽省沈阳市翔安阜新街U座 560356","安徽省沈阳市","博士研究生","未婚","党员","无","个体","云南省峰市","云南省峰市长寿张路a座 594876","14710547003","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","WZACID00000000000000000000000907","监狱转接","缓刑","盗窃","吸毒史","涉赌","否","缓刑","十年有期徒刑","2015-01-09","2020-03-28","1","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","死亡","吴杰","女","370831193903185743","1939-03-18","成员","瑞安市","13828126886","浙江省东郊监狱","0","良好","良好","0","无","暂无","全部纠正","无","无","否","无"
"丁国文","丁国文","120104195008270613","1950-08-27","女","汉族","湖南省沈阳市","湖南省沈阳市花溪蒋路f座 268272","湖南省沈阳市","本科","已婚","党员","无","职工","福建省上海市","福建省上海市华龙苏街K座 858730","13872892120","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","84d0cc53dc88488da6bf8bf365b016ac","监狱转接","暂无","抢劫","吸毒史","涉赌","否","暂无","十年有期徒刑","2015-01-09","2020-03-28","1","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","死亡","靳雪梅","女","431121197311123674","1973-11-12","成员","西湖区","18731280531","浙江省西郊监狱","1","差","良好","0","无","暂无","全部纠正","无","无","否","无"
"吴旭东","吴旭东","120111195204285042","1952-04-28","女","汉族","甘肃省峰市","甘肃省峰市和平张街K座 261752","甘肃省峰市","专科","未婚","群众","无","无业","贵州省嘉禾市","贵州省嘉禾市合川孙路m座 691971","13725849860","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","379958cf92b7426e873d193f0bc234c4","监狱转接","缓刑","抢劫","自杀史","涉赌","否","缓刑","三年有期徒刑","2015-01-09","2020-03-28","1","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","死亡","陈慧","男","370112193608253857","1936-08-25","组长","吴兴区","13753957632","浙江省第六监狱","1","差","良好","0","无","暂无","全部纠正","无","无","否","无"
"黄琼","黄琼","130207193001173631","1930-01-17","女","汉族","山西省海口市","山西省海口市长寿黄街Y座 432229","山西省海口市","专科","离异","群众","无","个体","四川省丽丽市","四川省丽丽市海陵蓝街o座 526915","13600284203","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","1179a89a973447d78896f767256064bf","监狱转接","缓刑","盗窃","脱逃史","涉赌","否","缓刑","五年有期徒刑","2015-01-09","2020-03-28","0","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","收监执行","李燕","女","440204197602256248","1976-02-25","组长","金华市","14700524963","浙江省乔司监狱","0","良好","良好","0","无","暂无","全部纠正","无","无","否","无"
"陆宏斌","陆宏斌","130281194105088974","1941-05-08","男","汉族","湖北省凤英市","湖北省凤英市滨城乌鲁木齐路n座 504396","湖北省凤英市","本科","未婚","群众","无","职工","海南省兵市","海南省兵市牧野北京街v座 451899","15882969072","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","06b0524f324d4598adfd9595f8f52519","监狱转接","缓刑","盗窃","袭警史","涉赌","否","缓刑","十年有期徒刑","2015-01-09","2020-03-28","1","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","矫正期满","李健","男","510802196007118591","1960-07-11","组长","德清县","18590482127","浙江省东郊监狱","0","良好","良好","0","无","暂无","全部纠正","无","无","否","无"
"叶高聚","叶高聚","130427197507080656","1975-07-08","女","汉族","四川省永安市","四川省永安市南湖夏街V座 594444","四川省永安市","专科","离异","群众","无","个体","四川省冬梅市","四川省冬梅市秀英邹路T座 921799","18968096084","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","TAIZHOU0000000000000000000001987","监狱转接","缓刑","抢劫","吸毒史","涉毒","否","缓刑","三年有期徒刑","2015-01-09","2020-03-28","0","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","死亡","杜红霞","女","370687193905041955","1939-05-04","组长","三门县","14555692182","浙江省第六监狱","1","良好","良好","0","无","暂无","全部纠正","无","无","否","无"
"金年源","金年源","130432199608066874","1996-08-06","女","汉族","青海省莉市","青海省莉市城北熊路h座 865167","青海省莉市","博士研究生","已婚","党员","无","职工","湖南省台北市","湖南省台北市闵行玉路V座 503954","15211870998","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","ea4f16ac514640f98fa241e4bf008832","监狱转接","缓刑","盗窃","自杀史","涉毒","否","缓刑","三年有期徒刑","2015-01-09","2020-03-28","0","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","矫正期满","霍彬","女","542133194601195260","1946-01-19","组长","湖州市","15644831903","浙江省南郊监狱","0","差","差","0","无","暂无","全部纠正","无","无","否","无"
"朱建波","朱建波","130526195208311928","1952-08-31","女","汉族","吉林省昆明市","吉林省昆明市六枝特罗路c座 758167","吉林省昆明市","博士研究生","已婚","团员","无","个体","福建省鹏市","福建省鹏市徐汇崔路v座 177912","14758938213","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","ff42081ffcb744139f18390d557acb3f","监狱转接","缓刑","盗窃","袭警史","涉赌","是","缓刑","十年有期徒刑","2015-01-09","2020-03-28","1","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","收监执行","王超","男","420822193704028460","1937-04-02","组长","余姚市","15689613700","浙江省东郊监狱","0","良好","良好","0","无","暂无","全部纠正","无","无","否","无"
"叶锋","叶锋","130534194909300610","1949-09-30","女","汉族","河北省淑兰市","河北省淑兰市萧山陈街Y座 757925","河北省淑兰市","本科","离异","团员","无","职工","福建省乌鲁木齐市","福建省乌鲁木齐市大兴汪街V座 514601","13710210025","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","TAIZHOU0000000000000000000000904","监狱转接","缓刑","抢劫","自杀史","涉赌","否","缓刑","十年有期徒刑","2015-01-09","2020-03-28","1","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","死亡","唐凤英","男","421200193805203985","1938-05-20","组长","黄岩区","13153159281","浙江省乔司监狱","0","良好","差","0","无","暂无","全部纠正","无","无","否","无"
"吴美珍","吴美珍","130600199702193429","1997-02-19","女","汉族","甘肃省海口市","甘肃省海口市淄川任街b座 927485","甘肃省海口市","硕士研究生","离异","团员","无","职工","江西省淑珍市","江西省淑珍市闵行陈街W座 998410","15743716302","http://img.52z.com/upload/news/image/20180704/20180704114839_58188.jpg","737d366cd0604f079ef24e776e5369e5","监狱转接","缓刑","盗窃","脱逃史","涉赌","是","缓刑","五年有期徒刑","2015-01-09","2020-03-28","1","司法所工作人员,所居住社区基层组织成员,社会工作者,社会志愿者,社区矫正人员的家庭成员、监护人或者保证人","死亡","卞桂荣","男","140722197107137138","1971-07-13","组长","余姚市","13175181026","浙江省第六监狱","0","差","差","0","无","暂无","全部纠正","无","无","否","无"
