"02901e34-a899-41c8-8eed-1db7a7c185d7000","山西省荣军医院","三级甲等","无","山西省太原市南郊区荣军南街7号","社会医院","张国雄","13538765374","国家事业单位","王巧芬","13123319333","804942492@qq.com","是","是","公立"
"029381bf-a7b5-4275-9778-f592df86960b000","吉林大学第一医院二部","三级甲等","无","吉林大路与乐群街交汇处 吉林大路3302号","社会医院","潘安乐","13192517365","国家事业单位","张永潮","13700048317","337230239@qq.com","是","是","公立"
"03C75DAD3AD810C7E0530F01A8C0CA32000","南昌市第二医院","三级甲等","无","南昌市八一大道90号（老福山）","社会医院","赵乐乐","13114876206","国家事业单位","柷骥","13867337487","758232707@qq.com","是","是","公立"
"04E61512B6465AEDE0530F01A8C080B9000","内蒙古国际蒙医医院","三级甲等","无","大学东街83号","社会医院","郑龙","13679808180","国家事业单位","丁建红","13598936677","847469356@qq.com","是","是","公立"
"04E61512B8765AEDE0530F01A8C080B9000","内蒙古医科大学第二附属医院","三级甲等","无","呼和浩特市营坊道一号","社会医院","陈慈云","13934485680","国家事业单位","张思逸","13223165302","252422881@qq.com","是","是","公立"
"05ba2f6c-ec92-4a58-a6d0-31befb5474ed000","中山大学附属第三医院天河医院","三级甲等","无","广东省广州市天河区天河路600号","社会医院","郑行勇","13568473318","国家事业单位","刘博","13710905081","891614773@qq.com","是","是","公立"
"08319D6686C53137E0530F01A8C095E4000","广州医科大学附属第一医院","三级甲等","无","广州市沿江路151号(原市总工对面)","社会医院","黄伟伟","13370826754","国家事业单位","张国娟","13298329409","854274388@qq.com","是","是","公立"
"08a48932-bf29-4cc7-bc57-7e7e58f6f6a5000","西安市中医医院","三级甲等","无","凤城八路与育新路十字西北角西安市凤城八路69号...","社会医院","陈学峰","13149911049","国家事业单位","陈利梅","13511140690","398868889@qq.com","是","是","公立"
"0ba4a4af-6a09-47ef-8bc6-6ecd1a7d3bb4000","上海交通大学医学院附属第九人民医院","三级甲等","无","上海市黄浦区瞿溪路500号","社会医院","宋娟","13783139513","国家事业单位","汪祺烨","13787412492","421255548@qq.com","是","是","公立"
"125336070937502000","复旦大学附属中山医院","三级甲等","无","上海市徐汇区枫林路180号","社会医院","刘志奋","13220125382","国家事业单位","刘千华","13915776045","845514145@qq.com","是","是","公立"
"125336754304601000","复旦大学附属华山医院","三级甲等","无","上海市静安区乌鲁木齐中路12号","社会医院","张永潮","13555081736","国家事业单位","黄海涛","13684670465","187966807@qq.com","是","是","公立"
"125358368239002000","复旦大学附属肿瘤医院","三级甲等","无","上海市徐汇区东安路270号","社会医院","陈维政","13254611527","国家事业单位","嵇静","13983821000","381219955@qq.com","是","是","公立"
"125361059609302000","复旦大学附属眼耳鼻喉科医院","三级甲等","无","上海市徐汇区汾阳路83号","社会医院","颜招芳","13729512710","国家事业单位","朱式满","13449544447","935243647@qq.com","是","是","公立"
"126811834070259000","复旦大学附属妇产科医院杨浦院区","三级甲等","无","上海市杨浦区沈阳路128号","社会医院","高振想","13901505679","国家事业单位","余雪苗","13873788204","591884394@qq.com","是","是","公立"
"128229647014009000","上海中医药大学附属岳阳中西医结合医院","三级甲等","无","上海市虹口区甘河路110号","社会医院","金兴春","13464471087","国家事业单位","李承烨","13569303263","857482831@qq.com","是","是","公立"
"137228411108884000","苏州大学附属儿童医院","三级甲等","无","总院：苏州工业园区钟南街92号；景德路院区：江...","社会医院","李莎莎","13880172392","国家事业单位","邵泽斌","13449612286","671392353@qq.com","是","是","公立"
