"0","8·24嫖娼事件","","百子湾路29号","是","2006/8/24","邵坚信","13403581510","元枝真","4","小","否","否","嫖娼","2006年8月24日在百子湾路29号发生了嫖娼事件"
"1","1·20寻衅滋事事件","","十八里店周庄嘉园C区4号院西门北200米","是","2017/1/20","田琛士","13407362840","祁珠嘉","2","小","否","是","寻衅滋事","2017年1月20日在十八里店周庄嘉园C区4号院西门北200米发生了寻衅滋事事件"
"2","9·29毒品违法活动事件","","花园路8号","否","2006/9/29","云丹丹","15207857602","甄琬园","4","小","否","否","毒品违法活动","2006年9月29日在花园路8号发生了毒品违法活动事件"
"3","4·25寻衅滋事事件","","大栅栏西街88号","否","2008/4/25","霍红","13907981972","翟育","16","中","否","否","寻衅滋事","2008年4月25日在大栅栏西街88号发生了寻衅滋事事件"
"4","7·26扰乱单位秩序事件","","春泽路与临泓路交叉口南行80米路西","否","2012/7/26","蓝民","13700260156","余露莺","6","大","否","否","扰乱单位秩序","2012年7月26日在春泽路与临泓路交叉口南行80米路西发生了扰乱单位秩序事件"
"5","3·4阻碍执行职务事件","","回龙观西大街9号 东亚上北 北侧底商16-10","否","2006/3/4","董山","15205603557","贾琰亚","10","小","否","否","阻碍执行职务","2006年3月4日在回龙观西大街9号 东亚上北 北侧底商16-10发生了阻碍执行职务事件"
"6","8·19阻碍执行职务事件","","望京小街望京商业中心F座","否","2011/8/19","喻天","13803746693","陆宏清","4","中","否","否","阻碍执行职务","2011年8月19日在望京小街望京商业中心F座发生了阻碍执行职务事件"
"7","10·22赌博事件","","万寿路君安写字楼","否","2007/10/22","周力","13704708558","沈波","16","小","否","否","赌博","2007年10月22日在万寿路君安写字楼发生了赌博事件"
"8","6·25抢夺事件","","亦庄荣昌东街地铁站旁","否","2017/6/25","段凤","15508703190","苏心","5","小","否","否","抢夺","2017年6月25日在亦庄荣昌东街地铁站旁发生了抢夺事件"
"9","5·16寻衅滋事事件","","广顺北大街六佰本商业街","否","2011/5/16","史青芬","13706854903","殷星","8","中","否","否","寻衅滋事","2011年5月16日在广顺北大街六佰本商业街发生了寻衅滋事事件"
