"1","倪文","男","310911199105224340","1991-05-22","硕士研究生","所长","永康市民心法律服务所","15715862642"
"2","陈秀梅","男","310112199705072848","1997-05-07","本科","副所长","杭州市天官法律服务所","15205428249"
"3","吴萍","女","131712198309268793","1983-09-26","硕士研究生","所长","湖州市菰城法律服务所","13253049989"
"4","陈强","男","151416199206244391","1992-06-24","本科","司法辅警","杭州市天恒法律服务所","18523393301"
"5","曾俊","男","631819199007186830","1990-07-18","专科","司法辅警","台州市金清法律服务所","13985430142"
"6","王莹","男","610223198311252381","1983-11-25","本科","司法辅警","杭州市力平法律服务所","14561028290"
"7","白娜","女","420509198307197747","1983-07-19","本科","副所长","杭州市塘栖法律服务所","18846573373"
"8","刘春梅","男","360118197709213606","1977-09-21","博士研究生","所长","绍兴市新世纪法律服务所","14516459530"
"9","陈鹏","男","341804199107194439","1991-07-19","专科","所长","玉环市珠港法律服务所","18869981092"
"10","刘成","男","150810199609056871","1996-09-05","博士研究生","专职人民调解员","诸暨市城区法律服务所","18836690510"
"11","蒲宁","男","440813198212272316","1982-12-27","硕士研究生","司法助理员","温州市罗东法律服务所","15737361752"
"12","赵明","男","641808199307258530","1993-07-25","博士研究生","司法助理员","湖州市埭溪法律服务所","15916129213"
"13","黄梅","女","621712198411209525","1984-11-20","博士研究生","司法辅警","诸暨市城区法律服务所","15854644034"
"14","郑欢","女","341516198805232852","1988-05-23","硕士研究生","副所长","杭州市坎山法律服务所","13049800446"
"15","石秀云","女","621322197606266143","1976-06-26","专科","副所长","台州市安永法律服务所","15155974239"
"16","纪桂芳","女","321512199408105147","1994-08-10","本科","所长","衢州市樟潭法律服务所","13187486444"
"17","姚瑞","女","431602197607125300","1976-07-12","硕士研究生","所长","嘉兴市长虹法律服务所","14576447422"
"18","孙英","男","321220199609227629","1996-09-22","博士研究生","司法助理员","绍兴市越州法律服务所","13563786931"
"19","郝东","男","350121199405019463","1994-05-01","本科","副所长","杭州市金剑法律服务所","18715453701"
"20","彭秀荣","男","440426199212035421","1992-12-03","专科","司法助理员","义乌市商城法律服务所","13276970608"
"21","范杨","女","371009197206239514","1972-06-23","博士研究生","司法辅警","杭州市公望法律服务所","15570993847"
"22","宁宁","男","210717198110081208","1981-10-08","硕士研究生","司法辅警","平湖市新创法律服务所","15136928272"
"23","胡坤","女","611127198107025603","1981-07-02","本科","副所长","金华市曙光法律服务所","15633702814"
"24","高雪梅","男","510409198103067729","1981-03-06","硕士研究生","专职人民调解员","平阳县瓯南法律服务所","13810563490"
"25","程秀芳","女","141012197704252909","1977-04-25","硕士研究生","所长","杭州市立山法律服务所","15580049229"
"26","罗建国","女","341323198003054029","1980-03-05","本科","专职人民调解员","台州市万向法律服务所","18557346505"
"27","周丹","女","640526198602188186","1986-02-18","本科","司法辅警","宁波市东方法律服务所","15526982401"
"28","聂想","女","331205197206192655","1972-06-19","博士研究生","司法助理员","台州市金清法律服务所","13324636194"
"29","古秀芳","男","510303199203306934","1992-03-30","专科","副所长","衢州市上方法律服务所","13793968298"
"30","李平","男","451206199309275353","1993-09-27","本科","副所长","杭州市闻堰法律服务所","13202406793"
"31","宋杰","女","440425197001034477","1970-01-03","博士研究生","司法助理员","杭州市银湖法律服务所","13408027173"
"32","冶丹","男","411212197704094241","1977-04-09","专科","司法辅警","宁波市四明法律服务所","18271105868"
"33","杨静","男","441228198210095578","1982-10-09","硕士研究生","司法助理员","永康市大众法律服务所","13407305193"
"34","庞涛","女","320814199411198719","1994-11-19","专科","专职人民调解员","三门县城关法律服务所","13533832915"
"35","殷雪","女","510126199509303746","1995-09-30","本科","司法辅警","平阳县公平法律服务所","14753878853"
"36","罗勇","女","210205198602215176","1986-02-21","硕士研究生","司法辅警","杭州市新纪元法律服务所","13952339896"
"37","杨桂芝","男","110402199612213794","1996-12-21","硕士研究生","司法辅警","绍兴市马山法律服务所","15034283691"
"38","陈芳","男","110320197510174752","1975-10-17","博士研究生","司法助理员","温州市东城法律服务所","13110017160"
"39","苏文","男","520611198709136432","1987-09-13","专科","司法辅警","杭州市新城法律服务所","15635675695"
"40","梁璐","女","330524199503098008","1995-03-09","硕士研究生","司法助理员","杭州市凯旋法律服务所","15674502365"
"41","马婷","男","501808198909272948","1989-09-27","博士研究生","副所长","杭州市昌前法律服务所","13423028300"
"42","邢华","女","520725198410288968","1984-10-28","博士研究生","司法助理员","杭州市立山法律服务所","15359889934"
"43","牛旭","男","221701196912052406","1969-12-05","硕士研究生","副所长","杭州市萧然法律服务所","18188179921"
"44","梅秀华","女","430603198804068433","1988-04-06","专科","司法辅警","嘉善县天成法律服务所","13654892551"
"45","洪静","女","410123197808258022","1978-08-25","博士研究生","司法辅警","宁波市正大法律服务所","14586134292"
"46","高玉珍","男","500512197005275703","1970-05-27","专科","司法助理员","乐清市荆山法律服务所","13792201319"
"47","高燕","女","640911197012292519","1970-12-29","本科","副所长","绍兴市求实法律服务所","13997737911"
"48","辛梅","男","531204199507155518","1995-07-15","专科","副所长","江山市南方法律服务所","13792626629"
