"任婕馨","男","330206197609101130","浙江省绍兴市正禄如通有限公司","欠费","未发放"
"罗怡婵","男","331012199807035993","浙江省金华市巨久有限公司","停交","已发放"
"汪时","女","330413197906235267","浙江省衢州市德高有限公司","停交","异常"
"禹宁欣","男","330607197201052131","浙江省台州市伟荣有限公司","欠费","已发放"
"贝哲","女","330807198701058482","浙江省绍兴市长隆有限公司","欠费","异常"
"许才发","女","330114197802216101","浙江省温州市同福有限公司","欠费","一次性发放"
"窦若鸣","男","331027197708065212","浙江省杭州市吉如有限公司","正常","一次性发放"
"茅环","男","330303199001076971","浙江省丽水市乾广有限公司","停交","一次性发放"
"花家","女","330328197408289404","浙江省湖州市乾广有限公司","停交","已发放"
"邹春菊","女","330508198612208309","浙江省丽水市隆安有限公司","正常","已发放"
"贺哲","女","330220199712116229","浙江省绍兴市万鼎有限公司","正常","已发放"
"常辰","男","330919199204173450","浙江省温州市飞庆有限公司","停交","异常"
"窦茜秋","女","330523199201256965","浙江省金华市聚兴有限公司","停交","异常"
"孙昭","男","330512198406066238","浙江省湖州市公佳有限公司","欠费","异常"
"薛利清","男","330919199303168332","浙江省绍兴市万康有限公司","停交","未发放"
"范琴","男","330114199812185594","浙江省衢州市旺利有限公司","停交","已发放"
"尹善","男","330902197702244296","浙江省温州市皇贵有限公司","正常","未发放"
"尹伊亚","男","330721197912222398","浙江省绍兴市洪仁有限公司","欠费","一次性发放"
"明邦","女","330618197111195989","浙江省舟山市 春信有限公司","欠费","异常"
"俞轮翰","男","330706198705319475","浙江省舟山市 公盈有限公司","欠费","未发放"
"卜家","男","330421197510228896","浙江省湖州市鑫德有限公司","停交","异常"
"陶贞","男","330803197704296493","浙江省杭州市东弘有限公司","正常","未发放"
"汤山仁","女","331021197206014740","浙江省宁波市元优有限公司","欠费","一次性发放"
"元旭","男","330413198107153773","浙江省湖州市瑞丰有限公司","欠费","异常"
"李保","男","330315197301059171","浙江省温州市华飞有限公司","停交","已发放"
"孙月莺","女","330905199205091949","浙江省舟山市 元优有限公司","欠费","已发放"
"罗伯","女","330212199407228467","浙江省绍兴市春谦有限公司","正常","已发放"
"方广志","男","330402197503139210","浙江省台州市耀顺有限公司","停交","未发放"
"卜刚","男","331019198105233839","浙江省丽水市辉圣有限公司","欠费","一次性发放"
"许清","女","330606197205284105","浙江省宁波市正禄如通有限公司","正常","异常"
"谢邦","男","330403198206261495","浙江省嘉兴市昌益有限公司","欠费","已发放"
"屈志","女","330208199201035985","浙江省杭州市久协有限公司","欠费","未发放"
"卜松善","男","331028197503251953","浙江省舟山市 多乾有限公司","停交","未发放"
"严和","女","330111198309295186","浙江省绍兴市聚兴有限公司","正常","一次性发放"
"安姣","女","330710199808027406","浙江省衢州市旺利有限公司","欠费","异常"
"韦斌","男","330604197610247870","浙江省舟山市 隆安有限公司","停交","一次性发放"
"卜进","女","330501199311118227","浙江省台州市德高有限公司","欠费","一次性发放"
"和筠柔","男","330225198803316091","浙江省衢州市万康有限公司","欠费","异常"
"杨颖","男","330518198301048971","浙江省绍兴市长福有限公司","正常","已发放"
"云清","女","330622197012241647","浙江省宁波市伟荣有限公司","正常","已发放"
"成哲","男","330420198501221751","浙江省杭州市多乾有限公司","正常","已发放"
"殷俊峰","男","330802197512235611","浙江省宁波市利如有限公司","停交","异常"
"周艺","男","330328198008121658","浙江省衢州市同福有限公司","正常","一次性发放"
"周辉力","男","330327197206013191","浙江省衢州市洪仁有限公司","停交","一次性发放"
"黄民","男","330122198810046577","浙江省金华市长隆有限公司","停交","已发放"
"邹兰凤","女","330308197210122783","浙江省丽水市昌益有限公司","正常","已发放"
"吴时","女","331007198211085469","浙江省嘉兴市伟复有限公司","欠费","未发放"
"和康星","女","330522197211125066","浙江省衢州市隆高有限公司","停交","已发放"
"屈树","男","331009197904143450","浙江省金华市华飞有限公司","欠费","异常"
"施岩中","女","330725199009192169","浙江省舟山市 洪仁有限公司","停交","一次性发放"
"彭中","女","330925199204212642","浙江省衢州市万康有限公司","欠费","异常"
"殷乐","男","330809198006165076","浙江省温州市耀顺有限公司","正常","一次性发放"
"米江超","男","330727199903032630","浙江省嘉兴市广安有限公司","停交","已发放"
"时顺","女","330301197809175548","浙江省绍兴市聚兴有限公司","停交","未发放"
"任晶妍","女","330906198010295526","浙江省绍兴市多乾有限公司","正常","已发放"
