"一汽轿车股份有限公司","北京北京市房山区佛子庄乡
","余投容","14976508983","印铸刻字业","彭超西","18285097516","青公特旅字第5301号","784008282655589","2022/8/14","18279564946","02261948647","无隐患","无"
"上海三毛企业(集团)股份有限公司","天津天津市南开区鼓楼街道
","戴题名","18457864031","出入境服务行业","李免菜","13973812652","吉公特旧字第7246号","543547570130769","2021/4/16","13118486942","02952457579","有隐患","已整改"
"上海华源股份有限公司","北京北京市海淀区苏家坨
","茅调技","15290453996","典当业","卞赶属","15727363551","桂公特旅字第6107号","164675465865904","2022/10/18","17058357917","055168076236","无隐患","无"
"上海同济科技实业股份有限公司","河北石家庄市裕华区长江街道
","和显毫","15719511538","旧货业","项派士","14537220313","闽公特典字第7738号","892775281841273","2020/10/16","18922114673","02986834658","无隐患","无"
"上海大屯能源股份有限公司","北京北京市房山区周口店
","屈后么","17055822571","印铸刻字业","穆她知","14776304548","青公特典字第3736号","414252501170372","2020/3/31","13544098351","02146877663","无隐患","无"
"上海延华智能科技股份有限公司","北京北京市通州区永乐店镇
","凤明珍","18155302373","信托寄卖业","贝手表","13753086861","琼公特旅字第2471号","862343888436728","2020/5/4","14742807137","031335191032","有隐患","未整改"
"上海梅林正广和股份有限公司","天津天津市河北区铁东路街道
","邬报性","17659400167","拍卖业","俞令笔","18080810849","黑公特印字第4577号","469082314662220","2022/9/25","13390693343","02389522106","有隐患","未整改"
"上海永生投资管理股份有限公司","河北石家庄市灵寿县灵寿镇
","严世架","13228552658","信托寄卖业","宋旁造","14785988344","琼公特收字第8574号","321897669644734","2022/5/11","17657959577","02163826004","无隐患","无"
"上海浦东路桥建设股份有限公司","河北石家庄市赞皇县南清河乡
","计九胜","18775926386","典当业","陈干消","17019187232","粤公特拍字第3990号","148673879136876","2021/7/12","14945647771","02356243266","无隐患","无"
"上海海立(集团)股份有限公司","河北石家庄市辛集市马庄乡
","堪康坐","14744862511","出入境服务行业","花声肯","15520553283","晋公特典字第7736号","240551591262034","2020/7/9","17510009524","02332227373","有隐患","未整改"
"上海港集装箱股份有限公司","北京北京市昌平区南邵镇
","时月要","15239218349","拍卖业","昌州怎","18410072097","湘公特旅字第6249号","858423011157648","2020/8/29","18911463118","01042461574","无隐患","无"
"上海百联集团股份有限公司","天津天津市东丽区万新街道
","戴种最","18368093238","信托寄卖业","郎平","14780168064","湘公特印字第4167号","535335204042417","2022/1/21","17140760266","055180797572","有隐患","已整改"
"中海油田服务股份有限公司","天津天津市红桥区双环村街道
","伏增条","17818153984","典当业","明叫青","13082182577","辽公特典字第5222号","563352631968975","2021/7/29","13244276729","041173888895","无隐患","无"
"中海集装箱运输股份有限公司","天津天津市红桥区丁字沽街道
","卫反器","14539363405","印铸刻字业","屈年","13687650734","鲁公特印字第5428号","350857942542266","2021/4/8","13011557391","02731638856","有隐患","已整改"
"中粮屯河股份有限公司","天津天津市宁河县苗庄镇
","顾含佛","15610633981","信托寄卖业","滕根梦","15792255721","桂公特收字第6190号","359151916631469","2021/11/30","14732188385","02976391897","无隐患","无"
"中视传媒股份有限公司","北京北京市丰台区花乡
","鲁质展","15849540971","印铸刻字业","汤木医","13239705781","粤公特典字第9223号","747402691229173","2020/9/20","14939875331","02994467034","有隐患","未整改"
"乐普（北京）医疗器械股份有限公司","北京北京市大兴区礼贤镇
","臧空英","18651227975","旧货业","元土门","14526148729","黑公特收字第9958号","579522919563542","2020/11/29","15577858814","031312054375","无隐患","无"
"云南城投置业股份有限公司","天津天津市河北区新开河街道
","祝时待","14930116151","旅馆业","齐因确","18310047694","桂公特旅字第9535号","439692810562977","2020/3/29","15335258047","02197211166","有隐患","未整改"
"云南锡业股份有限公司","北京北京市门头沟区大台街道
","贺曲村","15067679181","印铸刻字业","潘范止","18924547968","沪公特典字第7701号","822206690214769","2022/7/24","17250712838","02328393274","有隐患","已整改"
"京东方科技集团股份有限公司","天津天津市南开区万兴街道
","范有","14558565939","旧货业","彭戏弟","18856572437","赣公特旅字第4932号","676903893569272","2020/12/30","13473903098","041185299210","有隐患","未整改"
