"石家庄宝石电子玻璃股份有限公司","黄府诉","18349070999","影剧院","北京北京市朝阳区香河园街道
派出所","北京北京市丰台区东高地街道
","无隐患","无"
"北京当升材料科技股份有限公司","戴旁归","15573062034","公共交通","北京北京市通州区永乐店镇
派出所","北京北京市大兴区北京经济技术开发区
","有隐患","未整改"
"北京华胜天成科技股份有限公司","朱复开","13271690978","其他","天津天津市西青区西营门街道
派出所","北京北京市大兴区采育镇
","无隐患","无"
"华远地产股份有限公司","薛票药","13776268509","公共交通","天津天津市滨海新区向阳街道
派出所","北京北京市大兴区黄村
","有隐患","已整改"
"贵州茅台酒股份有限公司","滕黄定","13955101487","体育场所","北京北京市大兴区中关村国家自主创新示范区大兴生物医药产业基地
派出所","北京北京市密云县东邵渠镇
","有隐患","已整改"
"苏州宝馨科技实业股份有限公司","黄队祖","13060209881","影剧院","天津天津市红桥区芥园街道
派出所","北京北京市密云县冯家峪镇
","无隐患","无"
"河北威远生物化工股份有限公司","汪引友","14566544095","车站","河北石家庄市鹿泉市黄壁庄镇
派出所","北京北京市密云县北京密云经济开发区
","无隐患","无"
"广东东方锆业科技股份有限公司","乐登年","18910338017","公共交通","北京北京市密云县古北口镇
派出所","北京北京市密云县古北口镇
","有隐患","已整改"
"天津经纬电材股份有限公司","何拥压","17656487570","车站","北京北京市平谷区渔阳
派出所","北京北京市密云县密云镇
","无隐患","无"
"海南天然橡胶产业集团股份有限公司","伍局渐","18585647871","影剧院","河北石家庄市正定县南牛乡
派出所","北京北京市平谷区滨河街道
","无隐患","无"
"厦门建发股份有限公司","岑承简","17357807760","商场","天津天津市津南区葛沽镇
派出所","北京北京市平谷区镇罗营镇
","无隐患","无"
"丹东化学纤维股份有限公司","柏秘争","15118785650","商场","北京北京市平谷区夏各庄镇
派出所","北京北京市平谷区黄松峪乡
","有隐患","未整改"
"泰豪科技股份有限公司","臧右默","13652393118","影剧院","河北石家庄市鹿泉市大河镇
派出所","北京北京市延庆县儒林街道
","无隐患","无"
"内蒙古兰太实业股份有限公司","贺忙女","15761512410","车站","河北石家庄市井陉矿区贾庄镇
派出所","北京北京市延庆县千家店镇
","无隐患","无"
"金瑞新材料科技股份有限公司","潘红肯","14983517194","影剧院","北京北京市怀柔区杨宋镇
派出所","北京北京市延庆县张山营镇
","有隐患","已整改"
"华丽家族股份有限公司","穆命平","18147408499","旅游景点","天津天津市宝坻区黄庄农场
派出所","北京北京市延庆县旧县镇
","无隐患","无"
"南京欣网视讯科技股份有限公司","余达勒","14743275583","商场","北京北京市海淀区温泉
派出所","北京北京市延庆县沈家营镇
","无隐患","无"
"珠海鑫光集团股份有限公司","孙特例","15829963333","体育场所","天津天津市河北区光复道街道
派出所","北京北京市延庆县香营乡
","无隐患","无"
"江苏三友集团股份有限公司","孔轻亮","18490236070","体育场所","北京北京市平谷区山东庄镇
派出所","北京北京市怀柔区渤海镇
","有隐患","未整改"
"长城信息产业股份有限公司","冯要路","17030495604","影剧院","河北石家庄市晋州市周家庄乡
派出所","北京北京市怀柔区长哨营满族乡
","无隐患","无"
"广西桂东电力股份有限公司","卜午落","18632555349","影剧院","北京北京市门头沟区龙泉
派出所","北京北京市房山区向阳街道
","无隐患","无"
"中国有色金属建设股份有限公司","禹送","13718285695","体育场所","河北石家庄市桥东区东华街道
派出所","北京北京市房山区拱辰街道
","有隐患","未整改"
"山东华泰纸业股份有限公司","贺读七","17654135166","车站","天津天津市红桥区咸阳北路街道
派出所","北京北京市房山区星城街道
","有隐患","已整改"
"杭州士兰微电子股份有限公司","伍突跳","17531407369","公共交通","北京北京市顺义区木林镇
派出所","北京北京市房山区良乡
","无隐患","无"
"上海延华智能科技股份有限公司","郎况排","14528034426","体育场所","天津天津市红桥区铃铛阁街道
派出所","北京北京市房山区蒲洼乡
","无隐患","无"
"新疆啤酒花股份有限公司","吕长多","17555062695","影剧院","北京北京市通州区西集镇
派出所","北京北京市房山区青龙湖镇
","无隐患","无"
"太原狮头水泥股份有限公司","吴员救","15014355701","公共交通","河北石家庄市行唐县北河乡
派出所","北京北京市昌平区东小口
","无隐患","无"
"招商局地产控股股份有限公司","乐营秘","13087517287","其他","河北石家庄市井陉县天长镇
派出所","北京北京市昌平区南口
","无隐患","无"
"辽宁曙光汽车集团股份有限公司","曹宣突","13684373257","旅游景点","天津天津市滨海新区胜利街道
派出所","北京北京市海淀区西三旗街道
","有隐患","已整改"
"珠海万力达电气股份有限公司","云弟","13773929220","公共交通","北京北京市密云县檀营
派出所","北京北京市西城区广安门外街道
","无隐患","无"
"新疆天宏纸业股份有限公司","章著专","15313512055","影剧院","河北石家庄市新乐市化皮镇
派出所","北京北京市西城区德胜街道
","无隐患","无"
