"8","奚秉绶","男","2017/8/21","浙江省杭州市","38","良好","6","51","扈幼翠","30","中国","汉族","身份证","330806198802067968","奚裕添","22","中国","汉族","身份证","330214199508113984","浙江省杭州市","浙江省妇幼保健院","238947401","2017-08-21","浙江省妇幼保健院"
"49","易科跃","男","2018/3/13","浙江省杭州市","34","良好","2","50","卢绿春","38","中国","汉族","身份证","331011197909264000","易知轩","22","中国","汉族","身份证","330113199601214976","浙江省杭州市","浙江省妇幼保健院","593411983","2018-03-13","浙江省妇幼保健院"
"50","乜荣淳","男","2018/8/22","浙江省杭州市","37","良好","4","55","松梦柏","25","中国","汉族","身份证","330903199311027968","乜明敬","22","中国","汉族","身份证","330506199604262016","浙江省杭州市","浙江省妇幼保健院","384057148","2018-08-22","浙江省妇幼保健院"
"63","仇雨国","男","2018/5/12","浙江省杭州市","38","良好","3","49","窦傲芙","22","中国","汉族","身份证","330219199605123008","仇嘉彦","34","中国","汉族","身份证","330724198406192000","浙江省杭州市","浙江省妇幼保健院","890737538","2018-05-12","浙江省妇幼保健院"
"280","陶荣学","男","2019/1/23","浙江省杭州市","33","良好","4","53","宿海莲","27","中国","汉族","身份证","330226199203123008","陶俊德","27","中国","汉族","身份证","331023199207014976","浙江省杭州市","浙江省妇幼保健院","976583593","2019-01-23","浙江省妇幼保健院"
"486","常蒲石","男","2019/1/18","浙江省杭州市","34","良好","6","48","堵代曼","24","中国","汉族","身份证","330627199409307008","常元宇","35","中国","汉族","身份证","331022198402051008","浙江省杭州市","浙江省妇幼保健院","146065427","2019-01-18","浙江省妇幼保健院"
"522","刘荀述","男","2017/2/28","浙江省杭州市","41","良好","5","53","乐亦瑶","39","中国","汉族","身份证","330517197808108992","刘茂实","25","中国","汉族","身份证","331024199203211008","浙江省杭州市","浙江省妇幼保健院","322087912","2017-02-28","浙江省妇幼保健院"
"543","福楼云","男","2018/6/21","浙江省杭州市","35","良好","6","47","薄雅蕊","40","中国","汉族","身份证","330128197806172992","福予正","26","中国","汉族","身份证","330203199202060992","浙江省杭州市","浙江省妇幼保健院","386765039","2018-06-21","浙江省妇幼保健院"
"609","崔实勇","男","2016/1/9","浙江省杭州市","38","良好","2","49","尤秋春","39","中国","汉族","身份证","330111197707043008","崔穆钦","29","中国","汉族","身份证","330214198706268032","浙江省杭州市","浙江省妇幼保健院","457640659","2016-01-09","浙江省妇幼保健院"
"618","丁永利","男","2017/9/15","浙江省杭州市","37","良好","6","47","后惜雪","41","中国","汉族","身份证","330508197611123008","丁南栋","27","中国","汉族","身份证","330623199008102976","浙江省杭州市","浙江省妇幼保健院","752093332","2017-09-15","浙江省妇幼保健院"
"681","范嘉利","男","2018/3/24","浙江省杭州市","35","良好","5","49","申海安","29","中国","汉族","身份证","330125198907044992","范然耀","34","中国","汉族","身份证","330903198401038976","浙江省杭州市","浙江省妇幼保健院","892605215","2018-03-24","浙江省妇幼保健院"
"801","郎跃林","男","2015/8/30","浙江省杭州市","38","良好","6","46","白怀蝶","22","中国","汉族","身份证","330521199309139008","郎柏晗","27","中国","汉族","身份证","331017198806011008","浙江省杭州市","浙江省妇幼保健院","614051937","2015-08-30","浙江省妇幼保健院"
"887","索家卫","男","2018/3/24","浙江省杭州市","37","良好","4","50","姚听寒","41","中国","汉族","身份证","330326197707036032","索智瑜","34","中国","汉族","身份证","330901198409128000","浙江省杭州市","浙江省妇幼保健院","107035751","2018-03-24","浙江省妇幼保健院"
"938","胡谷柏","男","2018/12/21","浙江省杭州市","43","良好","5","47","哈以亦","24","中国","汉族","身份证","331020199412153024","胡渊浩","44","中国","汉族","身份证","330314197504166016","浙江省杭州市","浙江省妇幼保健院","380182553","2018-12-21","浙江省妇幼保健院"
"958","宫宏俊","男","2015/6/5","浙江省杭州市","39","良好","5","53","雷新柔","34","中国","汉族","身份证","331002198110027008","宫玉轩","22","中国","汉族","身份证","330619199311233024","浙江省杭州市","浙江省妇幼保健院","208486584","2015-06-05","浙江省妇幼保健院"
