"卫又境","340123195903031619","1959/3/3","中国","朱敢长","522722197811142283","1978/11/14","中国","J557978-1976-2204","1976/9/1","湖南省邵阳市婚姻登记处","无"
"朱山歌","220183198303071812","1983/3/7","中国","周园纪","542335199303251099","1993/3/25","中国","J220301-1984-3312","1984/3/18","湖南省娄底市婚姻登记处","无"
"伏员伤","440523195004091891","1950/4/9","中国","方青显","533323196403162990","1964/3/16","中国","J501650-2010-1592","2010/10/7","重庆重庆市婚姻登记处","无"
"康求需","412727195605302715","1956/5/30","中国","鲍态人","210804196705272790","1967/5/27","中国","J347846-1990-1284","1990/6/4","澳门特别行政区澳门半岛婚姻登记处","无"
"滕响歌","52020319740927284X","1974/9/27","中国","华食掉","130926199601132467","1996/1/13","中国","J457626-1956-3165","1956/6/30","广西壮族自治区百色市婚姻登记处","无"
"狄探考","420881199110092382","1991/10/9","中国","狄争","130922197607052586","1976/7/5","中国","J457010-1953-1835","1953/7/13","广东省江门市婚姻登记处","无"
"时顶战","341302198912011226","1989/12/1","中国","潘维掉","130403196110111826","1961/10/11","中国","J502532-1961-2115","1961/9/25","新疆维吾尔自治区博尔塔拉蒙古自治州婚姻登记处","无"
"岑士","510122198602082868","1986/2/8","中国","秦以","130923196801281421","1968/1/28","中国","J389695-1954-1017","1954/2/28","湖南省衡阳市婚姻登记处","无"
"喻造初","37040419680516129X","1968/5/16","中国","谈快喝","41040119861111130X","1986/11/11","中国","J626820-2006-1454","2006/1/27","福建省厦门市婚姻登记处","无"
"孟备次","51322119511108201X","1951/11/8","中国","张多","622629199412042367","1994/12/4","中国","J626033-2004-1969","2004/7/31","辽宁省阜新市婚姻登记处","无"
"茅者系","222424195712112499","1957/12/11","中国","卜圣队","230127196910221060","1969/10/22","中国","J354489-1957-2444","1957/12/5","海南省三沙市婚姻登记处","无"
"成剧支","421123195208262838","1952/8/26","中国","黄火节","142202196110302979","1961/10/30","中国","J262886-1974-1260","1974/12/10","广东省潮州市婚姻登记处","无"
"堪句常","36042819821007294X","1982/10/7","中国","秦编它","53292319790617253X","1979/6/17","中国","J639125-1976-2561","1976/12/19","江苏省南京市婚姻登记处","无"
"纪婚喜","450311196109152769","1961/9/15","中国","张传丽","120104195301312843","1953/1/31","中国","J304919-2002-3063","2002/11/20","北京北京市婚姻登记处","无"
"毕女乾","445201197910041123","1979/10/4","中国","卞初营","220202195506071621","1955/6/7","中国","J441755-2018-1023","2018/3/15","西藏自治区山南地区婚姻登记处","无"
"鲍套微","332523198311152076","1983/11/15","中国","滕枪仍","130521195607061901","1956/7/6","中国","J285160-1980-3311","1980/4/12","山东省潍坊市婚姻登记处","无"
"花唱研","640302195907111480","1959/7/11","中国","元具差","542132199604212659","1996/4/21","中国","J499362-1958-1189","1958/5/26","陕西省宝鸡市婚姻登记处","无"
"奚数民","622322196803032663","1968/3/3","中国","费难斗","43030219620306145X","1962/3/6","中国","J139733-1984-2323","1984/3/10","吉林省白山市婚姻登记处","无"
"李速色","142623196207191535","1962/7/19","中国","施力州","332528195808112473","1958/8/11","中国","J544266-1995-1752","1995/12/22","宁夏回族自治区中卫市婚姻登记处","无"
"周名兵","362402196206191225","1962/6/19","中国","元当","421083199409082330","1994/9/8","中国","J477131-1947-1474","1947/8/25","上海上海市婚姻登记处","无"
"穆层","44060219571124132X","1957/11/24","中国","云就读","142431197410141705","1974/10/14","中国","J460849-1996-1531","1996/10/1","贵州省铜仁市婚姻登记处","无"
"陶停妙","520324197312302296","1973/12/30","中国","黄注外","430102196908052691","1969/8/5","中国","J169045-1965-1179","1965/12/1","天津天津市婚姻登记处","无"
"廉汽许","452630195110082385","1951/10/8","中国","祝何除","450204195005211986","1950/5/21","中国","J128265-1986-1272","1986/6/23","浙江省绍兴市婚姻登记处","无"
"薛窗金","522702195701132493","1957/1/13","中国","许打断","642221197808201012","1978/8/20","中国","J344659-1974-3395","1974/2/19","新疆维吾尔自治区克孜勒苏柯尔克孜自治州婚姻登记处","无"
"蒋往唱","430811196304291899","1963/4/29","中国","曹妈态","230203197204111939","1972/4/11","中国","J448008-1993-2564","1993/5/22","上海上海市婚姻登记处","无"
