"1","王瑗","女","511827201109303264","2011/9/30","群众","小学","15905540491","乐进涛","13003415734","龙华区外国语学校","2-4班"
"2","孟婷","男","810221200812054753","2008/12/5","群众","小学","15001418154","樊伟浩","15201031452","福苑学校","5-6班"
"3","洪毓莎","男","810602201112035736","2011/12/3","群众","小学","15807796004","尹有亮","13607560700","观澜中心小学","2-6班"
"4","吉康","男","511209201201162476","2012/1/16","群众","小学","15901126796","元光","15803445966","观澜第二小学","1-9班"
"5","薛月","男","421420200901062016","2009/1/6","群众","小学","13604294603","皮璧瑶","15908206169","振能小学","4-9班"
"6","纪璧荔","女","130612200801088061","2008/1/8","群众","小学","13208696794","朱奇乐","15305718719","龙华区教育科学研究院附属小学","5-9班"
"7","霍琦","男","311810200712086118","2007/12/8","群众","小学","13701350932","杨贵哲","15706417141","广培小学","6-4班"
"8","许固刚","男","311705201108103278","2011/8/10","群众","小学","15200155169","邵昭岚","15705808079","德风小学","2-8班"
"9","罗佳","男","521606201105312315","2011/5/31","群众","小学","13403678197","路进","15901516900","桂花小学","2-7班"
"10","宁荔","女","640917201009219324","2010/9/21","群众","小学","15001381533","梁琼","15705981239","库坑小学","3-10班"
"11","诸豪善","女","520225201108306046","2011/8/30","群众","小学","13907093036","魏月","15203827942","大水坑小学","2-3班"
"12","殷盛","女","371602201303064607","2013/3/6","群众","小学","13505478998","罗峰贵","13301012372","高峰学校","1-8班"
"13","翟山峰","男","220106201010317033","2010/10/31","群众","小学","15904183691","柯福","15905330487","大浪实验学校","3-8班"
"14","钟艺","男","531823201209268574","2012/9/26","群众","小学","15801948699","倪晓","13007023725","同胜学校","1-4班"
"15","孔香洁","女","371603200808275361","2008/8/27","群众","小学","13705145570","甄雅","13308294925","龙华中心小学","5-4班"
"16","孟滢咏","女","541601201006285868","2010/6/28","群众","小学","15604038633","屈震旭","13404008066","松和小学","3-6班"
"17","李凝","女","410206201108095340","2011/8/9","群众","小学","15900868400","席炎","13504771039","龙华第二小学","2-5班"
"18","戚惠","男","131526201109095995","2011/9/9","群众","小学","15105910454","杜彪","13103538478","清湖小学","2-8班"
"19","曹柔璐","男","220423200907189496","2009/7/18","群众","小学","15803648660","谢霞惠","13507376098","潜龙学校","4-1班"
"20","范纯","女","501313201003196864","2010/3/19","群众","小学","15701458522","华仪菁","13704690988","玉龙学校","3-5班"
"21","莫咏淑","女","220807201203017386","2012/3/1","群众","小学","13503622669","平家","13507547927","行知小学","1-7班"
"22","孙荣岚","男","360215201201262410","2012/1/26","群众","小学","13204730708","邬毅","15308500320","民治小学","1-6班"
"23","邵楠","女","711117200708212920","2007/8/21","群众","小学","15608542954","吴伟","15806234553","上芬小学","6-5班"
"24","费菊","女","231210201204194760","2012/4/19","群众","小学","13908165115","杜会","13908495120","丹堤实验学校","1-4班"
"25","乔奇俊","男","111221200912123852","2009/12/12","群众","小学","15107186142","唐环","15902792552","书香小学","4-3班"
"26","宋家","女","360214201207035626","2012/7/3","群众","小学","15106063930","计坚俊","15801855403","民顺小学","1-7班"
"27","熊青","女","410805200909299361","2009/9/29","群众","小学","15302563489","邵士","13606825497","行知实验小学","4-5班"
"28","成轮顺","男","450324201005187058","2010/5/18","群众","小学","13308380540","朱筠韵","13504828375","龙华区实验学校","3-9班"
