"吉B48357","中型车","钱胜排","身份证","340102196812142308","18452068656","2018/4/21","北京北京市海淀区温泉
","驾驶轻便摩托车载人的","3","500","已缴"
"吉B73042","中型车","沈阳特种环保设备制造股份有限公司","身份证","210727195606121772","14974190937","2016/3/18","河北石家庄市赞皇县院头镇
","使用轮式专用机械牵引车辆的","9","1000","未缴"
"吉C68998","小型车","许空受","身份证","230606198904082492","13856387238","2018/7/18","河北石家庄市新华区革新街街道
","超越执行紧急任务的工程救险车的","0","50","已缴"
"吉H35291","中型车","安徽新华传媒股份有限公司","身份证","432502198804032998","13577605601","2018/11/13","天津天津市南开区向阳路街道
","其他机动车喷涂特种车特定标志图案的","2","200","已缴"
"吉H35503","中型车","熊代听","身份证","140202197302152445","15756933994","2018/11/8","河北石家庄市元氏县东张乡
","伪造、变造机动车检验合格标志的 ","0","100","已缴"
"吉I46618","中型车","柳州钢铁股份有限公司","身份证","130203196203201686","14770361880","2017/9/1","河北石家庄市深泽县深泽镇
","在限速为50公里以下的道路，时速超过限定时速50%以上不到70%的","2","200","已缴"
"吉M58346","大型车","山东齐星铁塔科技股份有限公司","身份证","511325195501062339","17864061192","2016/5/10","河北石家庄市高邑县中韩乡
","在快速路上行驶的两轮摩托车载人的","1","2000","未缴"
"宁A98596","大型车","褚圣士","身份证","360203195201222457","18923138670","2016/8/23","天津天津市宝坻区大钟庄镇
","使用轮式专用机械牵引车辆的","2","500","未缴"
"宁B16637","中型车","祁碃才","身份证","510802198911101463","18099315315","2017/1/26","北京北京市石景山区八角街道
","故意遮挡机动车号牌的 ","6","100","未缴"
"宁K77975","小型车","上海振华重工(集团)股份有限公司","身份证","45060119750729164X","14594944752","2018/5/11","北京北京市海淀区东升
","驾驶机动车不按规定使用转向灯的（另：未放置保险标志的）","3","1000","未缴"
"宁K84245","中型车","江苏长青农化股份有限公司","身份证","430811196912232455","13850970624","2016/3/7","天津天津市河东区唐家口街道
","非机动车在机动车行驶的","3","2000","已缴"
"川A16844","中型车","柳财掉","身份证","142726195006281139","18148366646","2016/4/13","天津天津市宁河县岳龙镇
","不使用教练车在道路上学习驾驶机动车的","1","100","未缴"
"川B52056","中型车","浙江亚太机电股份有限公司","身份证","513437198704262281","14548854897","2018/4/28","北京北京市海淀区上庄
","超越执行紧急任务的工程救险车的","12","50","未缴"
"川D13177","小型车","武汉三镇实业控股股份有限公司","身份证","130424199704222457","13759903320","2016/5/13","天津天津市宁河县潘庄镇
","机动车通过有灯控路口时，不按所需向驶入导向车道的","2","1000","已缴"
"川D52666","中型车","上海飞乐股份有限公司","身份证","610331195402252049","14744005757","2018/7/27","北京北京市延庆县沈家营镇
","在高速公路中，不按规定与前车保持必要的安全距离的","9","200","未缴"
"川E54330","小型车","史兵坏","身份证","340521196207222490","17811997069","2018/5/23","北京北京市通州区梨园
","货运机动车违反规定载客的 B:B违反规定载客3人以上的 ","3","1000","未缴"
"川F16498","小型车","飞亚达（集团）股份有限公司","身份证","360401199105141872","15361333821","2016/8/4","天津天津市和平区新兴街道
","在驾驶证暂扣期间仍驾驶机动车的 A:在驾驶证暂扣期间仍驾驶非汽车类机动车的","9","50","已缴"
