"严布入","130106199812072119","13250853201","四川金顶(集团)股份有限公司","2015/2/19"
"严秋造","452702199406162657","13376790249","厦门国贸集团股份有限公司","2017/4/6"
"乐例跑","52252619580609151X","15847743178","武汉高德红外股份有限公司","2017/4/14"
"于忘内","510923195610272342","14958878405","安徽四创电子股份有限公司","2015/12/14"
"于责归","330127196406142615","18234738804","北京恒业世纪科技股份有限公司","2017/10/10"
"任员呢","41152319530313181X","15847430510","哈尔滨哈投投资股份有限公司","2016/7/20"
"任山机","152322199511171689","14593099520","中兵光电科技股份有限公司","2015/11/21"
"任永萨","654101195011142397","18162834639","广东省高速公路发展股份有限公司","2015/4/15"
"任睛兰","360423197903252816","18743194746","广州广电运通金融电子股份有限公司","2018/3/20"
"任睡米","210904199712261116","18330828446","云南马龙产业集团股份有限公司","2017/7/28"
"伍听参","130983199202021441","18373942755","大化集团大连化工股份有限公司","2015/12/19"
"伍喜谁","37132819780420130X","18963167230","芜湖港储运股份有限公司","2016/1/11"
"伍越兰","330821198011262735","14566499970","山东省中鲁远洋渔业股份有限公司","2018/7/30"
"伏午呀","54232519550929128X","17584431164","安徽六国化工股份有限公司","2017/9/15"
"伏午米","622923199208181368","13569335672","深圳市迪威视讯股份有限公司","2015/7/21"
"伏顺开","140411197202061228","17241238110","泰豪科技股份有限公司","2017/5/29"
"何员照","140501199912252450","15114302789","四川双马水泥股份有限公司","2015/3/6"
"何界调","430503195012181881","18312511586","杭州锅炉集团股份有限公司","2016/3/28"
"余每景","440509199611182278","15844667617","山东鲁抗医药股份有限公司","2018/4/8"
"倪功久","411325196412032526","15569270603","厦门钨业股份有限公司","2016/4/24"
"倪在","500383196406202909","17699849462","风帆股份有限公司","2016/9/3"
"倪洗般","150425195108102346","14949223854","广州东华实业股份有限公司","2015/6/28"
"傅士错","231085197507222630","15814708535","北京绵世投资集团股份有限公司","2015/3/14"
"元时的","410105196510301753","17821541900","长春欧亚集团股份有限公司","2018/2/7"
"元梦父","320203199401301353","18041037563","天津天药药业股份有限公司","2016/8/17"
"冯福画","51160219911208143X","15397856483","中国西电电气股份有限公司","2016/10/19"
"华深总","65302219550519220X","13139999170","原子高科股份有限公司","2015/8/11"
"华首悲","522427197511151028","15057674303","东莞市方达再生资源产业股份有限公司","2015/6/29"
"卜利南","321324195612241653","18149516444","北京城乡贸易中心股份有限公司","2017/9/16"
"卞听贵","142703195112312775","15570661598","茂名石化实华股份有限公司","2015/10/1"
"卫归于","513338196803181956","15668299813","成都三泰电子实业股份有限公司","2015/9/2"
"史歌拉","510132199308141342","15648098603","上海医药集团股份有限公司","2016/6/15"
"吕她袋","542223197710121603","14731537875","长春一东离合器股份有限公司","2018/12/24"
"吕彩","152629198209231122","15334144709","焦作万方铝业股份有限公司","2016/10/5"
"吴希好","532322196807211325","15346062609","北京四方继保自动化股份有限公司","2016/4/3"
"吴死型","320582198805061912","17655900550","四川天一科技股份有限公司","2018/11/12"
"吴汽走","230305195712242256","17560368463","万向钱潮股份有限公司","2015/3/9"
"吴牛利","431222196311262356","18234788815","咸阳偏转股份有限公司","2017/11/17"
"吴球司","142729195201041797","15811645049","万科企业股份有限公司","2017/12/16"
"吴窗曾","320902195210081478","13922031128","浙江仙琚制药股份有限公司","2015/9/19"
"周争至","513428198612032669","13493518354","合肥美菱股份有限公司","2017/8/7"
"周纳睡","542421199308191299","14970653096","浙江万丰奥威汽轮股份有限公司","2018/11/15"
"唐托","410704195512211040","13975909839","云南临沧鑫圆锗业股份有限公司","2016/8/22"
"唐虽味","510301195004222505","13836161507","上海耀华皮尔金顿玻璃股份有限公司","2016/3/13"
"喻成多","452632198809232961","14554873009","北大国际医院集团西南合成制药股份有限公司","2018/3/27"
"喻编楼","421224196905212701","17394100627","深圳经济特区房地产(集团)股份有限公司","2017/10/8"
"喻近命","430801195204252588","14784523871","杭州巨星科技股份有限公司","2018/10/30"
"奚秋刻","441426196003031685","15367785739","深圳一致药业股份有限公司","2015/6/30"
"奚铁乡","440201195511192175","17157804975","大众交通(集团)股份有限公司","2017/10/11"
"姚每空","142703200109292139","18899199298","四川川润股份有限公司","2015/10/10"
"姚珍始","142733198809071327","17539916070","云南罗平锌电股份有限公司","2015/11/30"
"姚甚也","42102419790614242X","18995099345","浙江金固股份有限公司","2017/5/29"
"姜乱失","45068119580716272X","18746771972","营口港务股份有限公司","2015/6/26"
"姜屋岛","120102195906172035","14587672625","佛山市国星光电股份有限公司","2018/5/8"
"孔吗话","53012719830203128X","18639539332","重庆九龙电力股份有限公司","2015/6/18"
"孔条已","610427199110271570","13746312948","重庆港九股份有限公司","2016/5/23"
"安既奖","370801198905191711","15359602000","江苏综艺股份有限公司","2015/9/2"
"安有铁","37030219940303260X","14512085073","中国重汽集团济南卡车股份有限公司","2018/3/28"
"安能鲁","37068619840210261X","17310543151","上海白猫股份有限公司","2016/2/9"
"尤令超","542627196303032518","14973331481","南通江海电容器股份有限公司","2018/5/17"
"尹屋早","622925199008031472","15969998879","上海三毛企业(集团)股份有限公司","2016/12/17"
"屈及演","130133199601142729","13396365588","湖南汉森制药股份有限公司","2018/7/20"
"屈帝诗","370705199207242029","14517613700","上海九百股份有限公司","2016/1/7"
"屈母治","441521196304072353","17079326310","哈药集团股份有限公司","2018/5/3"
"屈起价","410523196110211622","18849126693","康佳集团股份有限公司","2015/5/10"
"岑总旁","441284195410202232","14728455150","上海海欣集团股份有限公司","2016/11/29"
"岑获权","610402195511261052","13172349539","株洲千金药业股份有限公司","2018/3/28"
"常供向","632221196809061449","17387878162","鲁泰纺织股份有限公司","2018/5/18"
