"11305","易平","330115197901064000","男","古北水镇景区司马台新村蔡家窝铺村7-4","浙江省杭州市","13689608221","2018-12-28","未取得《医疗机构执业许可证》开展诊疗活动的"
"11306","付广成","330425197911203968","男","悦秀路77号楼","浙江省嘉兴市","13661203067","2016-09-18","①未取得或者以非法手段取得医师资格从事医疗活动的"
"11307","沈文明","331009197212033984","男","开放路1号剧场院内","浙江省台州市","13512451407","2015-11-20","未取得《医疗机构执业许可证》开展诊疗活动的"
"11308","王秋荣","331025198910110976","男","张家湾张采路祥和乐园西区底商","浙江省台州市","13758558374","2017-10-27","未取得《医疗机构执业许可证》开展诊疗活动的"
"11309","涂德怀","330925197507260992","男","东小口地区鹏云山泉茶社","浙江省舟山市","13979963320","2018-12-13","未取得《医疗机构执业许可证》开展诊疗活动的"
"11310","金敏芬","330223198705027968","女","于家务村西口站往南200米","浙江省宁波市","13313359639","2015-07-08","未取得《医疗机构执业许可证》开展诊疗活动的"
"11311","王向荣","330826198709216000","男","南池子大街缎库胡同5号","浙江省衢州市","13215255274","2016-07-26","未取得《医疗机构执业许可证》开展诊疗活动的 ①未取得或者以非法手段取得医师资格从事医疗活动的"
"11312","许和占","330103197904012992","男","超市发超市魏公村店对面平方底商","浙江省杭州市","13721260706","2015-02-10","未取得《医疗机构执业许可证》开展诊疗活动的 ①未取得或者以非法手段取得医师资格从事医疗活动的"
"11313","张德友","330503197603233024","男","回龙观镇农学院北路9号院一区2号楼1层110","浙江省湖州市","13800608218","2016-08-03","未取得《医疗机构执业许可证》开展诊疗活动的 ②个人未取得《医疗机构执业许可证》开办医疗机构的"
"11314","张淑玲","330601198508219008","女","定安路7号","浙江省绍兴市","13870415845","2016-08-25","未取得《医疗机构执业许可证》开展诊疗活动的"
"11315","谢前良","330321197008020992","男","丰台路188号","浙江省温州市","13490458903","2018-11-09","未取得《医疗机构执业许可证》开展诊疗活动的"
"11316","华业松","330616198309081984","男","甜水园北里1号楼东半侧的西侧一层","浙江省绍兴市","13848065686","2018-11-28","未取得《医疗机构执业许可证》开展诊疗活动的"
"11317","叶露静","330824198905276992","女","广渠门内白桥大街22号","浙江省衢州市","13337432105","2018-03-22","未取得《医疗机构执业许可证》开展诊疗活动的"
"11318","郁士木","330409197608145984","男","后沙峪镇西白辛庄名都园南门外","浙江省嘉兴市","13460184759","2018-11-01","未取得《医疗机构执业许可证》开展诊疗活动的"
"11319","刘引海","330414197702097984","男","南郎家园1号大北写字楼前","浙江省嘉兴市","13235921971","2019-07-02","①未取得或以非法手段取得医师资格从事医疗活动的"
"11320","武贺","330706199804262016","男","新源南路10号","浙江省金华市","13770090955","2019-04-01","未取得《医疗机构执业许可证》开展诊疗活动的"
"11321","周爱兰","330706198909262016","女","花园东路牡丹园西里11号","浙江省金华市","13158021618","2017-10-24","未取得《医疗机构执业许可证》开展诊疗活动的"
"11322","徐根木","331017199409012992","男","亮马桥路48号四季酒店2楼","浙江省台州市","13909765185","2018-03-06","未取得《医疗机构执业许可证》开展诊疗活动的 ①未取得或者以非法手段取得医师资格从事医疗活动的"
"11323","唐忠玉","330413199609268992","男","朝阳路八里庄98号住邦2000二号楼西侧2楼","浙江省嘉兴市","13588446863","2019-07-02","未取得《医疗机构执业许可证》开展诊疗活动的 "
"11324","于英秀","331001198406017984","女","安苑路1号","浙江省台州市","13762094848","2015-10-29","未取得《医疗机构执业许可证》开展诊疗活动的"
