"金华市武义县生物学会","社团","月坛西街甲2号","平舒","吕娟","330117198606178761","委宣传部","13308222512","002100278","研究生物","是","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"嘉兴市南湖区书画协会","社团","定福庄路西50米","成珍贞","汪毅","330226197309303149","政协","13505702065","003953912","书画交流","是","是","39","本组织合法存在，坚持党的领导","获市优秀组织奖"
"温州市平阳县电子商会","社团","太平桥路44号中青旅山水酒店1楼","傅诚先","吴晨辰","330901198505207656","总工会","15506647192","004971021","商务交流","否","是","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"杭州市拱墅区收藏家协会","社团","十八里店乡老君堂村天宜公寓底商","熊功","郑子","330618198708251015","科协","15103820092","008303238","鉴宝","否","是","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"衢州市开化县气象学会","社团","南菜园街12号2楼","禹文","伍会思","330602199105234857","人民政府","15804346541","009025529","研究气象","否","是","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"杭州市淳安县音乐协会","社团","增光路35号","孟飘育","喻超","330701197403305213","政协","13006056562","016497935","音乐交流","是","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"杭州市建德市计算机协会","社团","X024","唐振壮","邹朗伯","330909197306158143","工商局","13606081993","018956049","交流技术","否","是","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"嘉兴市海盐县体育协会","社团","幸福大街57号北楼","廉天","戚平保","330206199809238675","工商局","13506401483","021715332","体育交流","是","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"宁波市宁海县会计学会","社团","建国门南大街5号","鲍子","陈朋斌","330223197009012890","委宣传部","13803218728","026306246","会计交流","否","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"温州市泰顺县书画协会","社团","东北旺路二号西一","曹山仁","常邦","330124199708201369","教育局","13907660458","030893887","书画交流","是","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"绍兴市新昌县气象学会","社团","鲁谷路台湾街2号","郝进","席清","330311199501111264","总工会","13008219086","049136668","研究气象","否","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"台州市仙居县计算机协会","社团","北房镇南房村西100米","狄祥","鲍梅","330220199807311532","委宣传部","15301461540","051771769","交流技术","否","是","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"绍兴市新昌县桥牌爱好者团体","社团","王府井大街帅府园胡同9号","乐义兴","周绍功","330415198910103704","工商局","15904431179","065734808","娱乐","否","是","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"杭州市临安区桥牌爱好者团体","社团","朝内南小街139号","蓝元全","唐芝玉","330123199101212678","总工会","15804947235","069527999","娱乐","否","是","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"台州市三门县生物学会","社团","三里屯北路19号三里屯太古里北区3层","水全","余厚庆","330220197711263013","委宣传部","13904226058","074634910","研究生物","是","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"温州市泰顺县慈善总会","社团","北新华街96号","孙朋斌","苏士以","331027197506203249","工商局","15905236516","082290790","做慈善","否","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"台州市仙居县收藏家协会","社团","西四环北路117号","雷朗伯","伍文","330126199808234899","科协","15207288687","083010734","鉴宝","否","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"衢州市衢江区体育协会","社团","苹果园大街琅山苗圃36号","柏瑾颖","谈克伦","330607199611034876","委宣传部","13402521379","090224067","体育交流","是","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"杭州市滨江区慈善总会","社团","回龙观科星西路与龙跃街交叉口旁","康新","水峰","330209199401194298","工商局","13008555098","106488015","做慈善","否","是","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"金华市磐安县气象学会","社团","聚兴园9号楼","于超","毛菊","330927196909258408","文联","15003209040","114429547","研究气象","是","是","5","本组织合法存在，坚持党的领导","获市优秀组织奖"
"宁波市镇海区书画协会","社团","团结湖中路南三条南门对面","姚芝玉","屈义兴","330607197712177071","教育局","13804264915","114848561","书画交流","是","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"杭州市桐庐县气象学会","社团","光华路15号伯豪瑞廷3层","尹彪博","沈瑶","330916198305102522","科协","13101611225","121742775","研究气象","是","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"潮州市南浔区老战士联谊会","社团","团河路69号商业楼一层","范娴","陶瑞凡","330408199412094091","人民政府","15505469013","123819117","联谊战友","否","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"衢州市开化县音乐协会","社团","万盛北街万盛北里甲420号楼一层105室","钱福","皮珠","330619197403232332","工商局","15206405530","124951765","音乐交流","否","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"杭州市拱墅区书画协会","社团","良乡西潞北大街28号","黄彪博","萧松善","330822199703282409","委宣传部","15605865296","126228392","书画交流","是","是","16","本组织合法存在，坚持党的领导","获市优秀组织奖"
"衢州市衢江区体育协会","社团","崔村镇昌金路西段","董宏言","杨慧巧","330220197306307473","政协","13807721957","135572575","体育交流","否","否","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
"宁波市镇海区天主教爱国会","社团","永外路果园8号合生广场4层","凤爽","周新","330423199906012255","总工会","15507168388","137580734","教徒群体","否","是","0","本组织合法存在，坚持党的领导","获市优秀组织奖"
