"1","安瑶","男","350723193712253777","浙江省金华市隆高有限公司","冻结状态","离休"
"2","云思","女","610405194708304964","浙江省湖州市隆安有限公司","参保缴费","退休"
"3","葛中","男","711104193708084775","浙江省杭州市春信有限公司","暂停缴费","离休"
"4","穆云莲","女","510120194901216628","浙江省嘉兴市乾美有限公司","参保缴费","退休"
"5","邹振壮","男","320925193702105576","浙江省湖州市乾富有限公司","参保缴费","离休"
"6","皮富顺","男","451101195707193955","浙江省杭州市合亨有限公司","参保缴费","退休"
"7","窦轮翰","女","640320194309138562","浙江省温州市东弘有限公司","参保缴费","退休"
"8","范琼勤","男","350507193301141898","浙江省衢州市同富有限公司","参保缴费","退休"
"9","华荔","男","710923193903077618","浙江省嘉兴市乾富有限公司","暂停缴费","退休"
"10","华松善","男","621201193407277513","浙江省湖州市万康有限公司","冻结状态","离休"
"11","奚荔","男","500616194903232979","浙江省嘉兴市旺利有限公司","暂停缴费","离休"
"12","云兰凤","男","120223195705019574","浙江省嘉兴市德高有限公司","冻结状态","退休"
"13","卫苑","女","331319195705135408","浙江省绍兴市元正有限公司","暂停缴费","退休"
"14","贺爽","男","361109193111097818","浙江省绍兴市华飞有限公司","参保缴费","离休"
"15","郑善","男","140617193109208037","浙江省舟山市 伟荣有限公司","参保缴费","离休"
"16","郝若鸣","女","311707193205223042","浙江省温州市聚兴有限公司","冻结状态","退休"
"17","邹珠","男","320319194810075317","浙江省湖州市久多有限公司","暂停缴费","离休"
"18","董永","男","430903193804149618","浙江省丽水市同福有限公司","参保缴费","离休"
"19","卜滢馥","女","641719193203037509","浙江省金华市东弘有限公司","暂停缴费","退休"
"20","周家","男","420824195111075538","浙江省衢州市东弘有限公司","冻结状态","离休"
"21","卞承乐","男","330428194705291032","浙江省衢州市聚兴有限公司","暂停缴费","退休"
"22","谈亮","女","230222195205292406","浙江省台州市飞庆有限公司","参保缴费","退休"
"23","褚波宁","女","111518194111308567","浙江省舟山市 飞庆有限公司","暂停缴费","离休"
"24","章家","女","640715194009264326","浙江省嘉兴市聚兴有限公司","参保缴费","退休"
"25","殷诚先","女","221211195712178484","浙江省嘉兴市飞庆有限公司","暂停缴费","离休"
"26","邬超","男","230121195409277610","浙江省绍兴市春信有限公司","参保缴费","退休"
"27","庞环","男","221013195510209731","浙江省杭州市同福有限公司","参保缴费","离休"
"28","萧芳","女","500412194704172585","浙江省湖州市辉圣有限公司","参保缴费","离休"
"29","岑震","男","231716195808209470","浙江省宁波市隆高有限公司","参保缴费","离休"
"30","奚奇","女","511722195908068983","浙江省湖州市公盈有限公司","暂停缴费","退休"
"31","常婵","男","710610193101107678","浙江省丽水市元优有限公司","冻结状态","退休"
"32","毕友裕","男","131205195406268078","浙江省湖州市华飞有限公司","冻结状态","离休"
"33","周羽希","女","611120193305191305","浙江省温州市东弘有限公司","参保缴费","退休"
"34","彭伯","男","620313194110206210","浙江省杭州市春信有限公司","暂停缴费","退休"
"35","孟君琴","男","430723193909135491","浙江省绍兴市贵丰有限公司","冻结状态","离休"
"36","俞中","女","360323192908285124","浙江省绍兴市辉圣有限公司","参保缴费","退休"
"37","董咏卿","女","440505195807161426","浙江省舟山市 盛欣有限公司","参保缴费","退休"
"38","时彪博","男","230310195601207994","浙江省宁波市瑞丰有限公司","参保缴费","退休"
"39","穆婉娴","男","310508195001204273","浙江省金华市广安有限公司","参保缴费","退休"
"40","钱策腾","男","331019193605033616","浙江省金华市万鼎有限公司","冻结状态","离休"
"41","和晶妍","男","230318194001205156","浙江省杭州市耀佳有限公司","参保缴费","退休"
"42","黄亚","女","521819193510131389","浙江省衢州市巨久有限公司","暂停缴费","退休"
"43","安武新","女","231713195806255701","浙江省金华市东昌有限公司","冻结状态","离休"
"44","尹贵福","女","440707195110109986","浙江省金华市鑫德有限公司","参保缴费","退休"
"45","滕露瑶","男","111815193711196517","浙江省衢州市伟复有限公司","暂停缴费","退休"
"46","穆栋","男","611428195302049396","浙江省台州市旺利有限公司","冻结状态","退休"
"47","梁玲","男","630711194609175277","浙江省杭州市春谦有限公司","暂停缴费","离休"
"48","尤时","男","351602193304238859","浙江省金华市瑞丰有限公司","暂停缴费","退休"
"49","柏炎德","男","530815194403199152","浙江省嘉兴市元优有限公司","冻结状态","离休"
"50","柏芳","男","221202193703022078","浙江省温州市久协有限公司","冻结状态","退休"
"51","冯建家","男","710110194910214890","浙江省台州市耀顺有限公司","冻结状态","离休"
"52","蒋婵","男","450804195408206950","浙江省绍兴市昌益有限公司","参保缴费","离休"
"53","宋婉娴","男","641018195210315316","浙江省温州市瑞丰有限公司","冻结状态","离休"
"54","昌海","男","231128193508144035","浙江省宁波市洪亚有限公司","参保缴费","离休"
"55","华秋","男","310123195310287458","浙江省丽水市春信有限公司","暂停缴费","退休"
"56","韦冠","男","220719193610216914","浙江省台州市利如有限公司","冻结状态","退休"
"57","于黛","男","611123194002253376","浙江省台州市洪仁有限公司","暂停缴费","退休"
"58","邹咏卿","男","410312194601238956","浙江省温州市德祥有限公司","冻结状态","离休"
"59","萧玲","女","641611195011122005","浙江省绍兴市广安有限公司","参保缴费","离休"
"60","熊毅","男","420516195501134199","浙江省绍兴市耀佳有限公司","冻结状态","退休"
"61","屈哲","女","431411193609144665","浙江省舟山市 伟复有限公司","暂停缴费","离休"
"62","韩琼勤","男","320213194707203097","浙江省金华市多乾有限公司","暂停缴费","离休"
"63","朱娅琦","女","350725193206287125","浙江省湖州市长福有限公司","参保缴费","退休"
"64","苏枫芸","男","411418195604058139","浙江省舟山市 洪仁有限公司","参保缴费","退休"
"65","姚天","女","711426193102048823","浙江省湖州市元优有限公司","冻结状态","退休"
"66","酆锦黛","男","431611193205189230","浙江省杭州市鑫德有限公司","冻结状态","退休"
"67","吴承乐","女","321625193006128202","浙江省金华市万鼎有限公司","冻结状态","离休"
"68","汪琛","男","420728194303245891","浙江省嘉兴市公佳有限公司","暂停缴费","退休"
"69","凤鹏泽","女","351127193010296864","浙江省嘉兴市盛欣有限公司","冻结状态","离休"
"70","卫薇","男","501720195604174238","浙江省温州市伟荣有限公司","暂停缴费","离休"
"71","黄婉娴","女","411725195608159905","浙江省台州市德高有限公司","参保缴费","离休"
"72","闵河哲","女","620823193210048826","浙江省温州市洪亚有限公司","参保缴费","离休"
"73","姚芳","男","151117193011208130","浙江省舟山市 利如有限公司","冻结状态","退休"
