"1","110113198805270853","卜问","无","男","1988/5/27","汉族","北京北京市","北京北京市通州区北苑街道
","2015/11/17","半合成毒品","三级管控","潘话给","15345573473","解决就业","魏治律","17762259472","无","无","逆反心理","自残","自残","毒品滥用","大麻","1997/9/21","是"
"2","110113198005232273","倪底制","无","男","1980/5/23","汉族","天津天津市","天津天津市滨海新区杨家泊镇
","2018/12/31","天然毒品","三级管控","谈来蜖","14762193928","解决贫困","顾平放","18220706667","有","民主权利罪","刺激心理","自残","生理脱毒","精神障碍","摇头丸","1998/12/31","否"
"3","110113198109141050","云可基","无","男","1981/9/14","汉族","天津天津市","天津天津市河西区马场街道
","2012/3/3","半合成毒品","二级管控","纪宫五","14547476158","解决贫困","萧望路","17627262271","无","无","好奇心理","诱发犯罪","心理脱毒","偶尔吸食","冰毒","2015/4/3","是"
"4","120104199401042156","葛小容","无","男","1994/1/4","汉族","河北石家庄市","河北石家庄市深泽县深泽镇
","2000/9/6","天然毒品","一级管控","费生句","17589619562","提供精神治疗","冯杀之","13975666319","有","破坏社会主义市场经济秩序罪","刺激心理","扰乱社会风气","心理脱毒","偶尔吸食","大麻","2004/7/31","否"
"5","12010519880112198X","祁求受","无","男","1988/1/12","汉族","北京北京市","北京北京市门头沟区大台街道
","2008/1/24","天然毒品","二级管控","禹空旧","14581148806","提供生活物资","邵队欧","13394702875","无","无","刺激心理","诱发犯罪","心理脱毒","偶尔吸食","吗啡","2000/12/18","否"
"6","130127195606032718","韩春然","无","女","1956/6/3","汉族","天津天津市","天津天津市河东区向阳楼街道
","2013/11/7","天然毒品","二级管控","廉沙计","14793973125","解决贫困","酆命然","18599302000","无","无","刺激心理","扰乱社会风气","心理脱毒","成瘾依赖","大麻","1998/7/13","是"
"7","130181198511092437","朱曲","无","男","1985/11/9","汉族","天津天津市","天津天津市津南区咸水沽镇
","1999/12/8","半合成毒品","三级管控","于恩范","15196830538","提供生活物资","时街决","13659954269","无","无","刺激心理","危害家庭","心理社会能力重建","成瘾依赖","K粉","1999/2/1","是"
"8","130229196511092470","伍学","无","男","1965/11/9","苗族","北京北京市","北京北京市通州区宋庄镇
","2006/11/29","半合成毒品","三级管控","滕快资","15215966260","解决子女学费","余牙江","17359140732","无","无","即乐心理","自残","心理社会能力重建","精神障碍","吗啡","2010/8/6","是"
"9","130502199003142603","伏禁说","无","女","1990/3/14","满族","北京北京市","北京北京市大兴区林校路街道
","1997/4/19","天然毒品","一级管控","茅算供","14535881553","解决就业","郑片算","15937056716","无","无","逆反心理","诱发犯罪","生理脱毒","毒品滥用","三唑仑","2008/4/4","否"
"10","130724198306101265","韦或兰","无","男","1983/6/10","满族","天津天津市","天津天津市津南区咸水沽镇
","2006/9/20","半合成毒品","三级管控","韦向结","13536713195","解决子女学费","王察庭","13171203850","无","无","即乐心理","自残","心理脱毒","精神障碍","冰毒","2003/6/15","否"
"11","130801195111021691","曹汉派","无","男","1951/11/2","壮族","河北石家庄市","河北石家庄市深泽县桥头乡
","1997/2/3","半合成毒品","一级管控","章醒树","15720690792","提供生活物资","韩凡光","15154892069","有","民主权利罪","好奇心理","扰乱社会风气","自残","精神障碍","大麻","2002/11/16","是"
"12","130822199511112197","康渐朝","康堂正","男","1995/11/11","汉族","河北石家庄市","河北石家庄市裕华区裕华路街道
","1999/12/24","合成毒品","二级管控","彭而未","13380732216","提供精神治疗","赵案轻","18629485018","无","无","好奇心理","自残","自残","偶尔吸食","冰毒","2003/5/24","否"
"13","131025196002171116","秦洛八","无","女","1960/2/17","维吾尔族","北京北京市","北京北京市昌平区南邵镇
","2018/1/2","天然毒品","二级管控","堪似空","15778652259","提供精神治疗","舒怎此","18226023491","有","危害公共安全罪","即乐心理","危害家庭","生理脱毒","精神障碍","可卡因","2011/10/4","是"
"14","131026199811051296","彭幸精","无","男","1998/11/5","汉族","北京北京市","北京北京市门头沟区潭柘寺镇
","2015/8/4","天然毒品","二级管控","邬物翻","13269325628","解决贫困","张杂拉","13748995990","无","无","侥幸心理","危害家庭","生理脱毒","偶尔吸食","冰毒","2007/3/16","是"
"15","131126197201151545","喻门怀","无","男","1972/1/15","汉族","天津天津市","天津天津市东丽区综合保税区
","2003/1/19","合成毒品","二级管控","费到子","17014979520","解决就业","和程批","13874711573","有","危害公共安全罪","好奇心理","扰乱社会风气","心理脱毒","偶尔吸食","大麻","2005/5/27","否"
"16","131182197606191529","马亲深","无","女","1976/6/19","维吾尔族","河北石家庄市","河北石家庄市长安区高营镇
","2015/8/8","半合成毒品","二级管控","廉指雄","15088578631","解决子女学费","贝兵紶","15676889013","无","无","好奇心理","危害家庭","心理脱毒","成瘾依赖","摇头丸","1999/6/3","是"
"17","14050219610125157X","吴智","无","女","1961/1/25","汉族","河北石家庄市","河北石家庄市井陉县苍岩山镇
","2015/8/2","半合成毒品","一级管控","伏百闻","15729374966","解决子女学费","纪戏让","17148550442","无","无","即乐心理","扰乱社会风气","生理脱毒","成瘾依赖","古柯","2009/9/25","是"
"18","142225197509211825","平妻千","无","男","1975/9/21","汉族","河北石家庄市","河北石家庄市鹿泉市铜冶镇
","1997/6/24","天然毒品","二级管控","袁贝识","15785822930","解决就业","于克做","17655921034","无","无","即乐心理","诱发犯罪","自残","精神障碍","大麻","1997/4/16","是"
