"北京北京市东城区东直门街道
","京泰大厦 ","住宅","南京青松物业管理有限公司","戴奖伴","452129196401222167","14750647027","错层户型","2008/4/10","92.00","框架-剪力墙","其他","合并","房屋所有权证","权685744459","2012/9/3","土地使用权证","津国用201714131","2017/10/6","个人","杨群","身份证","450111195012071406","13381307462"
"北京北京市东城区天坛街道
","汇亚大厦","办公","南京赞辰物业管理有限公司","钱着餐","542127195605131819","14943542900","错层户型","2010/7/14","137.00","钢架结构","仓库","购买","房屋所有权证","权679957016","2015/8/14","土地使用权证","桂国用201125916","2011/8/7","个人","殷脑夫","身份证","54232519711004151X","18871166212"
"北京北京市东城区永定门外街道
","星游城","商业","江苏金奥天地资产管理有限责任公司","萧谈想","53010119950513137X","15755853424","复式户型","2008/6/18","97.00","木质结构","住宅","购买","房屋所有权证","权511385512","2017/1/18","土地使用权证","闽国用201414762","2014/9/17","个人","秦白请","身份证","370406197710082335","14756556921"
"北京北京市丰台区东铁匠营街道
","英斯泰克大厦","住宅","南京苏宁物业管理有限公司","常便技","610425198408201818","13469658374","跃层户型","2001/12/14","66.00","砖混结构","医疗用房","合并","房屋所有权证","权992581455","2017/2/1","土地使用权证","藏国用201738877","2017/5/4","企业法人","邵餐性","身份证","430723199707151851","18037212743"
"北京北京市丰台区丰台街道
","亚太企业大楼","办公","南京德锦物业管理有限公司","邵挥午","652823198512032055","18737959045","错层户型","2006/11/28","144.00","框架结构","医疗用房","赠与","房屋所有权证","权148963829","2017/7/8","土地使用权证","冀国用201625436","2016/4/8","企业法人","乐帝支","身份证","630103197812161250","14576059153"
"北京北京市丰台区大红门街道
","金中环商务大厦","住宅","南京清泉物业管理有限责任公司","孙莱证","542522195212261882","18361764810","跃层户型","2005/5/28","68.00","框架-剪力墙","住宅","继承","房屋所有权证","权666156897","2017/6/19","土地使用权证","琼国用201826009","2018/10/26","企业法人","云免光","身份证","513228197812021467","13786218734"
"北京北京市丰台区太平桥街道
","恒积广场","商业","高力国际物业","明照","230521195108032309","14745572397","复式户型","2000/8/25","127.00","木质结构","住宅","赠与","房屋所有权证","权419062060","2018/2/8","土地使用权证","鄂国用201646024","2016/9/23","个人","郎闻录","身份证","411328199407152147","14958061931"
"北京北京市大兴区北京经济技术开发区
","华亭伊势丹","住宅","南京新发展物业管理有限公司","米孤农","450801197201292712","17348955811","跃层户型","2005/1/29","143.00","砖混结构","住宅","分割","房屋所有权证","权224446706","2016/12/30","土地使用权证","贵国用201436471","2014/4/13","个人","殷景向","身份证","370883198008181550","14979829199"
"北京北京市密云县古北口镇
","亮马中心及二期","办公","南京扬子园林景观工程有限责任公司","毕自付","230123196301282428","18156239094","跃层户型","2007/11/12","102.00","框架-剪力墙","文化用房","交换","房屋所有权证","权933434729","2015/11/22","土地使用权证","吉国用201610000","2016/11/18","企业法人","祝钱李","身份证","622923196008071400","15940263884"
"北京北京市平谷区熊儿寨乡
","英斯泰克大厦","住宅","南京惠方物业服务有限公司","常路告","441623199509201966","13861223891","错层户型","2003/9/22","102.00","框架结构","教育用房","交换","房屋所有权证","权818085875","2017/2/2","土地使用权证","浙国用201238196","2012/10/29","企业法人","昌画笔","身份证","530181199710291518","18385158043"
