"西藏旅游股份有限公司","北京市万丰路68号银座和谐广场5楼","苗改光","车站","15658630439","无隐患","食药安全隐患","无"
"沪士电子股份有限公司","北京市万达金街A3-118","和管言","其他","17653410052","无隐患","网络安全隐患","无"
"江苏高淳陶瓷股份有限公司","北京市三里屯北路19号三里屯太古里南区3层S9","秦达船","公共交通","17847034908","有隐患","寄递物流安全隐患","未整改"
"福建冠福现代家用股份有限公司","北京市上下营路镇营罗镇中心卫生院对面","傅明静","影剧院","14940122631","无隐患","网络安全隐患","无"
"老凤祥股份有限公司","北京市东三环劲松南路1号海文大厦1层","费伤提","公共交通","13288055123","无隐患","危爆物品管理隐患","无"
"唐山三友化工股份有限公司","北京市东三环北路38号院4号楼2层2层商业L204","常界息","旅游景点","17788346798","无隐患","消防安全隐患","无"
"湖南正虹科技发展股份有限公司","北京市东三环长虹桥东南","于联富","商场","15565105269","无隐患","危爆物品管理隐患","无"
"北京清畅电力技术股份有限公司","北京市东四三条5号","余务事","旅游景点","14922543666","无隐患","交通安全隐患","无"
"鞍山第一工程机械股份有限公司","北京市亚运村安慧里一区四号楼1楼","唐宝史","车站","14727887055","无隐患","危爆物品管理隐患","无"
"哈尔滨东安汽车动力股份有限公司","北京市交道口南大街秦老胡同20号","乐罗口","公共交通","15013620121","有隐患","金融安全隐患","未整改"
"浙江利欧股份有限公司","北京市八里庄慈云寺1号院东区国际3号楼C座3A07","何表段","影剧院","13442762554","有隐患","危爆物品管理隐患","未整改"
"北京动力源科技股份有限公司","北京市兴丰大街与双高路交叉口西北角郁花园三里","滕助么","车站","18085743779","无隐患","消防安全隐患","无"
"杭州解百集团股份有限公司","北京市冯村华润置地puls365二楼207室","华象继","旅游景点","18710693129","无隐患","金融安全隐患","无"
"大连天宝绿色食品股份有限公司","北京市前门廊坊二条8号","孟工似","商场","14938865364","无隐患","危爆物品管理隐患","无"
"江苏悦达投资股份有限公司","北京市力源里东恒时代一期北门东50米","殷宫杂","影剧院","15334056119","无隐患","交通安全隐患","无"
"唐山晶源裕丰电子股份有限公司","北京市劲松地铁站c口旁劲松大厦四层","庞征状","公共交通","13810248610","无隐患","食药安全隐患","无"
"四川天一科技股份有限公司","北京市北七家镇蓬莱苑1号楼","项鱼","旅游景点","13030194109","无隐患","金融安全隐患","无"
"上海三爱富新材料股份有限公司","北京市北四环西路","伏未苏","公共交通","17863083189","无隐患","危爆物品管理隐患","无"
"西安旅游股份有限公司","北京市北土城西路（瑞洁加油站西侧）和木TheHome私厨","酆先立","公共交通","13877093978","有隐患","食药安全隐患","已整改"
"宁波天邦股份有限公司","北京市北太平庄路25号17栋豪威大厦B座首层","祝杂破","其他","18284292614","有隐患","金融安全隐患","已整改"
"新疆北新路桥建设股份有限公司","北京市北总布胡同21-1号","邬盖亮","商场","18716895012","有隐患","食药安全隐患","未整改"
"山东浪潮齐鲁软件产业股份有限公司","北京市北房镇幸福西街30号北大门两侧","孙关赛","其他","17319025846","有隐患","食药安全隐患","未整改"
"广西皇氏甲天下乳业股份有限公司","北京市北苑仰山路4号","皮属伤","其他","14746184312","有隐患","食药安全隐患","未整改"
"本钢板材股份有限公司","北京市十八里店横街子16号","卫度欧","体育场所","13932269802","有隐患","寄递物流安全隐患","未整改"
"新疆中泰化学（集团）股份有限公司","北京市十里河闽龙广场4楼美食城","方投喝","旅游景点","17549626701","有隐患","寄递物流安全隐患","未整改"
"新疆国统管道股份有限公司","北京市华润万家二楼","冯律实","旅游景点","14988424720","无隐患","交通安全隐患","无"
"上海国嘉实业股份有限公司","北京市南半壁店东二街阿彪超市斜对面","何靠的","旅游景点","13778735447","有隐患","寄递物流安全隐患","已整改"
"内蒙古鄂尔多斯羊绒制品股份有限公司","北京市南官房胡同5号","殷心毫","车站","18444373710","有隐患","网络安全隐患","未整改"
"嘉事堂药业股份有限公司","北京市南新园16楼","乐广抱","旅游景点","15964867381","无隐患","消防安全隐患","无"
"上海宝信软件股份有限公司","北京市南海家园一里17号楼三单元102","雷约艺","公共交通","15272076802","有隐患","交通安全隐患","未整改"
"宁波波导股份有限公司","北京市南湖北路南湖东园二区224号楼","葛船有","公共交通","17843440668","有隐患","金融安全隐患","已整改"
"上海华联商厦股份有限公司","北京市南湖南路15号院5号楼1-3层","祝程初","公共交通","18038221132","有隐患","金融安全隐患","未整改"
"江苏江南高纤股份有限公司","北京市双榆树北路59-1号楼","滕活验","其他","13358643583","有隐患","网络安全隐患","未整改"
"珠海中富实业股份有限公司","北京市司马台新村蔡家窝铺4-1号","鲁定","影剧院","13351375487","无隐患","交通安全隐患","无"
"浙江尖峰集团股份有限公司","北京市后海北沿51号","郎府考","旅游景点","17856108951","有隐患","食药安全隐患","已整改"
"内蒙古鄂尔多斯羊绒制品股份有限公司","北京市后海南沿丁1号","安历奇","公共交通","13958656933","无隐患","消防安全隐患","无"
"南宁糖业股份有限公司","北京市后海鸦儿胡同19号","蒋掉保","其他","18852234408","有隐患","网络安全隐患","未整改"
"沧州大化股份有限公司","北京市国美第一城2号院6号楼","狄说听","车站","14542986140","无隐患","网络安全隐患","无"
